|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1522.44        500.000       0.109423E-002   99.9890       0.986675E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.13        500.000       0.177452E-002   99.8098       0.113676E-002  0.187325                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.82        500.000                 NaN   99.1585       0.653573E-001  0.776141                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.51        500.000                 NaN   99.4494       0.725655E-002  0.543339                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.20        500.000                 NaN   99.4539       0.826652E-002  0.537866                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.89        500.000                 NaN   99.8943       0.137816E-002  0.104335                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.58        500.000                 NaN   99.0213       0.978408E-002  0.968950                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        500.000                 NaN   99.0830       0.152355E-001  0.901734                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.97        500.000                 NaN   99.8500                 NaN  0.150016                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.66        500.000                 NaN   99.4712       0.509675E-002  0.523657                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.35        500.000                 NaN   99.4718       0.430934E-002  0.523900                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.04        500.000                 NaN   99.4769       0.399069E-002  0.519125                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.73        500.000                 NaN   99.4787       0.354040E-002  0.517721                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.42        500.000                 NaN   99.4757       0.310751E-002  0.521180                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.11        500.000                 NaN   98.7659       0.239039E-001   1.21023                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.80        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.49        500.000                 NaN   99.7056                 NaN  0.294363                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        500.000                 NaN   99.5016       0.244868E-001  0.473909                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.87        500.000                 NaN   99.4961                 NaN  0.503876                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.56        500.000                 NaN   99.4986                 NaN  0.501449                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.25        500.000                 NaN   99.5005                 NaN  0.499499                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.94        500.000                 NaN   99.5052                 NaN  0.494781                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.63        500.000                 NaN   99.5087                 NaN  0.491279                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000                 NaN   99.5096                 NaN  0.490367                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.02        500.000                 NaN   99.5161       0.312672E-001  0.452650                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.71        500.000                 NaN   99.5137                 NaN  0.486337                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.40        500.000                 NaN   99.5206       0.417558E-001  0.437649                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.09        500.000                 NaN   99.5217                 NaN  0.478301                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.78        500.000                 NaN   99.3936                 NaN  0.330165E-001  0.573391                 NaN            NaN            NaN            NaN            NaN
  1484.47        500.000                 NaN   99.3927                 NaN            NaN  0.607293                 NaN            NaN            NaN            NaN            NaN
  1483.16        500.000                 NaN   99.3864                 NaN  0.402692E-001  0.573309                 NaN            NaN            NaN            NaN            NaN
  1481.85        500.000                 NaN   99.3929                 NaN  0.609374E-001  0.546206                 NaN            NaN            NaN            NaN            NaN
  1480.54        500.000                 NaN   99.3861                 NaN            NaN  0.613885                 NaN            NaN            NaN            NaN            NaN
  1479.23        500.000                 NaN   99.3871                 NaN            NaN  0.612879                 NaN            NaN            NaN            NaN            NaN
  1477.92        500.000                 NaN   99.3849                 NaN            NaN  0.615126                 NaN            NaN            NaN            NaN            NaN
  1476.61        500.000                 NaN   99.3822                 NaN            NaN  0.617825                 NaN            NaN            NaN            NaN            NaN
  1475.30        500.000                 NaN   99.3639                 NaN  0.182934E-002  0.634237                 NaN            NaN            NaN            NaN            NaN
  1473.99        500.000                 NaN   99.3977                 NaN            NaN  0.602298                 NaN            NaN            NaN            NaN            NaN
  1472.68        500.000                 NaN   99.3797                 NaN            NaN  0.620281                 NaN            NaN            NaN            NaN            NaN
  1471.37        500.000                 NaN   99.3731                 NaN            NaN  0.626939                 NaN            NaN            NaN            NaN            NaN
  1470.07        500.000                 NaN   99.3421                 NaN            NaN  0.657902                 NaN            NaN            NaN            NaN            NaN
  1468.76        500.000                 NaN   99.3912                 NaN            NaN  0.608768                 NaN            NaN            NaN            NaN            NaN
  1467.45        500.000                 NaN   99.3549                 NaN            NaN  0.131230E-001  0.631998                 NaN            NaN            NaN            NaN
  1466.14        500.000                 NaN   99.0122                 NaN            NaN  0.571500       0.416316                 NaN            NaN            NaN            NaN
  1464.83        500.000                 NaN   98.9875                 NaN            NaN  0.401741       0.610754                 NaN            NaN            NaN            NaN
  1463.52        500.000                 NaN   99.1944                 NaN  0.831168E-001  0.722493                 NaN            NaN            NaN            NaN            NaN
  1462.21        500.000                 NaN   98.8356                 NaN            NaN  0.486400       0.678024                 NaN            NaN            NaN            NaN
  1460.90        500.000                 NaN   99.0237                 NaN            NaN  0.589584       0.386763                 NaN            NaN            NaN            NaN
  1459.59        500.000                 NaN   99.0300                 NaN            NaN  0.585435       0.384606                 NaN            NaN            NaN            NaN
  1458.28        500.000                 NaN   99.0368                 NaN            NaN  0.581237       0.381918                 NaN            NaN            NaN            NaN
  1456.97        500.000                 NaN   99.0445                 NaN            NaN  0.379096       0.576393                 NaN            NaN            NaN            NaN
  1455.66        500.000                 NaN   99.0540                 NaN            NaN  0.374784       0.571238                 NaN            NaN            NaN            NaN
  1454.35        500.000                 NaN   99.0617                 NaN            NaN  0.371034       0.567251                 NaN            NaN            NaN            NaN
  1453.04        500.000                 NaN   99.0680                 NaN            NaN  0.563455       0.368519                 NaN            NaN            NaN            NaN
  1451.73        500.000                 NaN   99.0767                 NaN            NaN  0.557327       0.365956                 NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN   99.0846                 NaN            NaN  0.363197       0.552164                 NaN            NaN            NaN            NaN
  1449.12        500.000                 NaN   99.0891                 NaN            NaN  0.550079       0.360800                 NaN            NaN            NaN            NaN
  1447.81        500.000                 NaN   99.0973                 NaN            NaN  0.545099       0.357567                 NaN            NaN            NaN            NaN
  1446.50        500.000                 NaN   99.1055                 NaN            NaN  0.540263       0.354281                 NaN            NaN            NaN            NaN
  1445.19        500.000                 NaN   99.1126                 NaN            NaN  0.536058       0.351342                 NaN            NaN            NaN            NaN
  1443.88        500.000                 NaN   99.1183                 NaN            NaN  0.349187       0.532545                 NaN            NaN            NaN            NaN
  1442.57        500.000                 NaN   99.1245                 NaN            NaN  0.346511       0.528977                 NaN            NaN            NaN            NaN
  1441.26        500.000                 NaN   99.1316                 NaN            NaN  0.525151       0.343236                 NaN            NaN            NaN            NaN
  1439.95        500.000                 NaN   99.1380                 NaN            NaN  0.520824       0.341184                 NaN            NaN            NaN            NaN
  1438.64        500.000                 NaN   99.0332                 NaN            NaN  0.584511       0.382263                 NaN            NaN            NaN            NaN
  1437.33        500.000                 NaN   99.2618                 NaN            NaN  0.446100       0.292068                 NaN            NaN            NaN            NaN
  1436.02        500.000       0.551663E-003   99.1554                 NaN            NaN  0.509448       0.334601                 NaN            NaN            NaN            NaN
  1434.71        500.000                 NaN   99.1630                 NaN            NaN  0.330920       0.506079                 NaN            NaN            NaN            NaN
  1433.40        500.000                 NaN   99.1696                 NaN            NaN  0.501821       0.328591                 NaN            NaN            NaN            NaN
  1432.09        500.000                 NaN   99.1748                 NaN            NaN  0.326172       0.498997                 NaN            NaN            NaN            NaN
  1430.78        500.000       0.111597E-002   99.1781                 NaN            NaN  0.325559       0.495193                 NaN            NaN            NaN            NaN
  1429.47        500.000       0.153690E-002   99.1831                 NaN            NaN  0.324246       0.491086                 NaN            NaN            NaN            NaN
  1428.17        500.000       0.145568E-002   99.1964                 NaN            NaN  0.319084       0.483072                 NaN            NaN            NaN            NaN
  1426.86        500.000       0.140089E-002   99.1995                 NaN            NaN  0.317637       0.481450                 NaN            NaN            NaN            NaN
  1425.55        500.000       0.134297E-002   99.2039                 NaN            NaN  0.315498       0.479302                 NaN            NaN            NaN            NaN
  1424.24        500.000       0.128640E-002   99.2091                 NaN            NaN  0.476275       0.313339                 NaN            NaN            NaN            NaN
  1422.93        500.000       0.122072E-002   99.2151                 NaN            NaN  0.310691       0.473002                 NaN            NaN            NaN            NaN
  1421.62        500.000       0.117015E-002   99.2207                 NaN            NaN  0.308614       0.469483                 NaN            NaN            NaN            NaN
  1420.31        500.000       0.111793E-002   99.2252                 NaN            NaN  0.306864       0.466854                 NaN            NaN            NaN            NaN
  1419.00        500.000       0.107576E-002   99.2320                 NaN            NaN  0.304036       0.462925                 NaN            NaN            NaN            NaN
  1417.69        500.000       0.102012E-002   99.2364                 NaN            NaN  0.302038       0.460565                 NaN            NaN            NaN            NaN
  1416.38        500.000       0.972946E-003   99.2415                 NaN            NaN  0.457661       0.299871                 NaN            NaN            NaN            NaN
  1415.07        500.000       0.926935E-003   99.2463                 NaN            NaN  0.454837       0.297968                 NaN            NaN            NaN            NaN
  1413.76        500.000       0.875975E-003   99.2505                 NaN            NaN  0.452484       0.296178                 NaN            NaN            NaN            NaN
  1412.45        500.000       0.824860E-003   99.2562                 NaN            NaN  0.449303       0.293701                 NaN            NaN            NaN            NaN
  1411.14        500.000       0.785495E-003   99.2610                 NaN            NaN  0.291588       0.446610                 NaN            NaN            NaN            NaN
  1409.83        500.000       0.389179E-003   99.0238                 NaN            NaN  0.394699       0.472306       0.108808                 NaN            NaN            NaN
  1408.52        500.000       0.115454E-003   98.2292                 NaN            NaN  0.741769       0.556926       0.472001                 NaN            NaN            NaN
  1407.22        500.000       0.928891E-003   98.2537                 NaN            NaN  0.731954       0.548208       0.465172                 NaN            NaN            NaN
  1405.91        500.000                 NaN   98.2830                 NaN            NaN  0.540873       0.718594       0.457555                 NaN            NaN            NaN
  1404.60        500.000       0.898037E-004   98.3083                 NaN            NaN  0.708663       0.532564       0.450355                 NaN            NaN            NaN
  1403.29        500.000                 NaN   98.3310                 NaN            NaN  0.525928       0.699062       0.444060                 NaN            NaN            NaN
  1401.98        500.000                 NaN   98.3550                 NaN            NaN  0.518832       0.688775       0.437435                 NaN            NaN            NaN
  1400.67        500.000                 NaN   98.3769                 NaN            NaN  0.679856       0.511962       0.431299                 NaN            NaN            NaN
  1399.36        500.000                 NaN   98.4018                 NaN            NaN  0.503759       0.669980       0.424425                 NaN            NaN            NaN
  1398.05        500.000                 NaN   98.4233                 NaN            NaN  0.660670       0.497336       0.418689                 NaN            NaN            NaN
  1396.74        500.000                 NaN   98.4449                 NaN            NaN  0.490692       0.651736       0.412674                 NaN            NaN            NaN
  1395.43        500.000                 NaN   98.4661                 NaN            NaN  0.643716       0.483325       0.406816                 NaN            NaN            NaN
  1394.12        500.000                 NaN   98.4842                 NaN            NaN  0.635283       0.478544       0.401973                 NaN            NaN            NaN
  1392.81        500.000                 NaN   98.5051                 NaN            NaN  0.471388       0.627432       0.396114                 NaN            NaN            NaN
  1391.50        500.000                 NaN   98.5237                 NaN            NaN  0.619646       0.466023       0.390623                 NaN            NaN            NaN
  1390.19        500.000                 NaN   98.5437                 NaN            NaN  0.459238       0.611831       0.385206                 NaN            NaN            NaN
  1388.88        500.000                 NaN   98.5607                 NaN            NaN  0.604745       0.454062       0.380482                 NaN            NaN            NaN
  1387.57        500.000                 NaN   98.5800                 NaN            NaN  0.597469       0.447236       0.375259                 NaN            NaN            NaN
  1386.27        500.000                 NaN   98.5975                 NaN            NaN  0.442106       0.590079       0.370289                 NaN            NaN            NaN
  1384.96        500.000                 NaN   98.6142                 NaN            NaN  0.583275       0.436855       0.365701                 NaN            NaN            NaN
  1383.65        500.000                 NaN   98.6309                 NaN            NaN  0.431088       0.577038       0.360971                 NaN            NaN            NaN
  1382.34        500.000                 NaN   98.6470                 NaN            NaN  0.570354       0.426231       0.356453                 NaN            NaN            NaN
  1381.03        500.000                 NaN   98.6624                 NaN            NaN  0.564569       0.420947       0.352129                 NaN            NaN            NaN
  1379.72        500.000                 NaN   98.6783                 NaN            NaN  0.416056       0.557879       0.347724                 NaN            NaN            NaN
  1378.41        500.000                 NaN   98.6940                 NaN            NaN  0.410647       0.551795       0.343512                 NaN            NaN            NaN
  1377.10        500.000                 NaN   98.7092                 NaN            NaN  0.405764       0.545902       0.339130                 NaN            NaN            NaN
  1375.79        500.000                 NaN   98.7226                 NaN            NaN  0.401274       0.540943       0.335151                 NaN            NaN            NaN
  1374.48        500.000                 NaN   98.7367                 NaN            NaN  0.396848       0.535173       0.331268                 NaN            NaN            NaN
  1373.17        500.000                 NaN   98.7504                 NaN            NaN  0.530141       0.392097       0.327398                 NaN            NaN            NaN
  1371.86        500.000                 NaN   98.7642                 NaN            NaN  0.524578       0.387725       0.323507                 NaN            NaN            NaN
  1370.55        500.000                 NaN   98.7765                 NaN            NaN  0.520289       0.383129       0.320039                 NaN            NaN            NaN
  1369.24        500.000                 NaN   98.7886                 NaN            NaN  0.378930       0.515732       0.316703                 NaN            NaN            NaN
  1367.93        500.000                 NaN   98.8041                 NaN            NaN  0.374506       0.509273       0.312083                 NaN            NaN            NaN
  1366.62        500.000                 NaN   98.8141                 NaN            NaN  0.505600       0.371051       0.309272                 NaN            NaN            NaN
  1365.32        500.000                 NaN   98.8263                 NaN            NaN  0.501074       0.366697       0.305956                 NaN            NaN            NaN
  1364.01        500.000                 NaN   98.8387                 NaN            NaN  0.496516       0.362536       0.302287                 NaN            NaN            NaN
