|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        San(TH)        Sp(TH)         ilm            q             
  1509.49        2500.00        99.4894       0.470810       0.397687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        99.4921       0.468040       0.399079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        99.3172       0.635716       0.470903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        99.7104       0.281717       0.789066E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        99.4597       0.500998       0.393338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        99.5020       0.464086       0.339409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        99.5062       0.458522       0.352434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        99.5088       0.456128       0.350633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        99.5087       0.459236       0.320363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        99.4677       0.507837       0.244973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        99.3090       0.325074E-001  0.658455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.8160       0.183955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        99.5195       0.480521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        99.5227       0.477303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        99.5233       0.476660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        99.6302       0.369788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        99.4221       0.577872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        99.5305       0.469459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        99.5302       0.469826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        99.5333       0.466747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        99.5341       0.465866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        99.5374       0.462607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        99.4280       0.531497E-001            NaN            NaN  0.518896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        99.3674       0.194855E-001            NaN            NaN  0.613082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        99.3601                 NaN            NaN            NaN  0.639919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        99.1380                 NaN            NaN            NaN  0.447261       0.414735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        99.0693                 NaN            NaN            NaN  0.337265       0.593454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.0769                 NaN            NaN            NaN  0.333809       0.589324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        99.0816                 NaN            NaN            NaN  0.585996       0.332420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.0925                 NaN            NaN            NaN  0.579353       0.328146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.0980       0.610504E-001  0.947522E-005            NaN  0.584701       0.256265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        99.1038                 NaN            NaN            NaN  0.572153       0.324000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.1131       0.146119                 NaN            NaN  0.588465       0.152298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.1167                 NaN            NaN            NaN  0.319929       0.563394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.1229                 NaN            NaN            NaN  0.317264       0.559827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.2004       0.131259E-001  0.342273E-005            NaN  0.512379       0.274105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.0634                 NaN  0.110802E-001            NaN  0.603124       0.322396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.1465                 NaN  0.435282E-001            NaN  0.565265       0.244732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.1520                 NaN  0.424127E-001            NaN  0.244969       0.560616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.1574       0.152950E-001  0.403787E-001            NaN  0.558751       0.228175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.1629       0.228384E-001  0.385961E-001            NaN  0.220285       0.555413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.1695       0.192371E-001  0.376543E-001            NaN  0.223973       0.549616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.1738       0.189896E-001  0.365343E-001            NaN  0.224465       0.546225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.1780       0.973762E-001  0.301346E-001            NaN  0.552347       0.142139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.1854                 NaN  0.356591E-001            NaN  0.243293       0.535616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.1884                 NaN  0.344481E-001            NaN  0.533500       0.243662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        99.1937                 NaN  0.341340E-001            NaN  0.530145       0.242068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.2969       0.408249E-002  0.273338E-001            NaN  0.462085       0.209605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.1017       0.885415E-002  0.343023E-001            NaN  0.590262       0.264851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.2073       0.317362E-002  0.300314E-001            NaN  0.239363       0.520085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.2121       0.149583E-001  0.278542E-001            NaN  0.517975       0.227090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.2434       0.140573       0.549810E-001            NaN  0.561092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.1948                 NaN  0.391685E-004            NaN  0.324700       0.480438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.2659       0.103092       0.648034E-001            NaN  0.566160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        99.2544       0.144317       0.484383E-001            NaN  0.552881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.2594       0.144057       0.472396E-001            NaN  0.549301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.1738                 NaN  0.863861E-001            NaN  0.445404       0.294379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        99.2360                 NaN            NaN            NaN  0.274400       0.489576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.83        2500.00        99.2387                 NaN            NaN            NaN  0.272639       0.488621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        2500.00        99.2423                 NaN            NaN            NaN  0.271340       0.486354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.84        2500.00        98.4207                 NaN  0.604698E-001            NaN  0.500190       0.601992                 NaN  0.416625                 NaN            NaN            NaN            NaN            NaN
  1418.35        2500.00        98.2501                 NaN  0.245692                 NaN  0.544826       0.434176                 NaN  0.525164                 NaN            NaN            NaN            NaN            NaN
  1416.86        2500.00        98.2750                 NaN  0.244556                 NaN  0.424170       0.538235                 NaN  0.518073                 NaN            NaN            NaN            NaN            NaN
  1415.36        2500.00        98.3464                 NaN  0.239892                 NaN  0.514787       0.401464                 NaN  0.497481                 NaN            NaN            NaN            NaN            NaN
  1413.87        2500.00        98.2980                 NaN  0.248362                 NaN  0.533088       0.409894                 NaN  0.510656                 NaN            NaN            NaN            NaN            NaN
  1412.37        2500.00        98.3548                 NaN  0.243128                 NaN  0.391643       0.516012                 NaN  0.494444                 NaN            NaN            NaN            NaN            NaN
  1410.88        2500.00        98.3801                 NaN  0.242530                 NaN  0.509277       0.381592                 NaN  0.486485                 NaN            NaN            NaN            NaN            NaN
  1409.39        2500.00        98.4035                 NaN  0.242215                 NaN  0.371796       0.502891                 NaN  0.479564                 NaN            NaN            NaN            NaN            NaN
  1407.89        2500.00        98.4251                 NaN  0.241963                 NaN  0.497032       0.362590                 NaN  0.473273                 NaN            NaN            NaN            NaN            NaN
  1406.40        2500.00        98.4471                 NaN  0.242034                 NaN  0.352466       0.491674                 NaN  0.466680                 NaN            NaN            NaN            NaN            NaN
  1404.90        2500.00        98.4743                 NaN  0.239786                 NaN  0.344031       0.483791                 NaN  0.458129                 NaN            NaN            NaN            NaN            NaN
  1403.41        2500.00        98.4931                 NaN  0.240457                 NaN  0.478343       0.335130                 NaN  0.452986                 NaN            NaN            NaN            NaN            NaN
  1401.92        2500.00        98.5119                 NaN  0.241427                 NaN  0.474450       0.325088                 NaN  0.447180                 NaN            NaN            NaN            NaN            NaN
  1400.42        2500.00        98.4890                 NaN  0.240763                 NaN  0.337292       0.476267                 NaN  0.456716                 NaN            NaN            NaN            NaN            NaN
  1398.93        2500.00        98.5987                 NaN  0.237705                 NaN  0.454434       0.291024                 NaN  0.418158                 NaN            NaN            NaN            NaN            NaN
  1397.43        2500.00        98.5743                 NaN  0.238557                 NaN  0.457237       0.301586                 NaN  0.428275                 NaN            NaN            NaN            NaN            NaN
  1395.94        2500.00        98.5931                 NaN  0.238232                 NaN  0.452285       0.293734                 NaN  0.422660                 NaN            NaN            NaN            NaN            NaN
  1394.45        2500.00        98.6089                 NaN  0.238396                 NaN  0.286581       0.448062                 NaN  0.418093                 NaN            NaN            NaN            NaN            NaN
  1392.95        2500.00        98.6313                 NaN  0.237506                 NaN  0.277908       0.442236                 NaN  0.411005                 NaN            NaN            NaN            NaN            NaN
  1391.46        2500.00        98.6489                 NaN  0.236792                 NaN  0.437442       0.271191                 NaN  0.405703                 NaN            NaN            NaN            NaN            NaN
  1389.96        2500.00        98.6630                 NaN  0.238329                 NaN  0.263354       0.433353                 NaN  0.401936                 NaN            NaN            NaN            NaN            NaN
  1388.47        2500.00        98.6842                 NaN  0.234522                 NaN  0.259729       0.426832                 NaN  0.394733                 NaN            NaN            NaN            NaN            NaN
  1386.97        2500.00        98.6987                 NaN  0.235940                 NaN  0.250863       0.423807                 NaN  0.390656                 NaN            NaN            NaN            NaN            NaN
  1385.48        2500.00        98.7147                 NaN  0.235479                 NaN  0.419911       0.244186                 NaN  0.385715                 NaN            NaN            NaN            NaN            NaN
  1383.99        2500.00        98.7307                 NaN  0.235119                 NaN  0.237582       0.415643                 NaN  0.380947                 NaN            NaN            NaN            NaN            NaN
  1382.49        2500.00        98.7218                 NaN  0.282453                 NaN  0.176436       0.428712                 NaN  0.390615                 NaN            NaN            NaN            NaN            NaN
  1381.00        2500.00        98.7871                 NaN  0.185911                 NaN  0.282676       0.387720                 NaN  0.356637                 NaN            NaN            NaN            NaN            NaN
  1379.50        2500.00        98.7758                 NaN  0.234045                 NaN  0.403963       0.219118                 NaN  0.367071                 NaN            NaN            NaN            NaN            NaN
  1378.01        2500.00        98.7914                 NaN  0.233054                 NaN  0.399605       0.213641                 NaN  0.362260                 NaN            NaN            NaN            NaN            NaN
  1376.52        2500.00        98.8054                 NaN  0.232985                 NaN  0.395694       0.207845                 NaN  0.358050                 NaN            NaN            NaN            NaN            NaN
  1375.02        2500.00        98.8193                 NaN  0.232071                 NaN  0.202770       0.392132                 NaN  0.353684                 NaN            NaN            NaN            NaN            NaN
  1373.53        2500.00        98.8327                 NaN  0.231797                 NaN  0.388668       0.197263                 NaN  0.349549                 NaN            NaN            NaN            NaN            NaN
  1372.03        2500.00        98.8464                 NaN  0.231801                 NaN  0.384392       0.191871                 NaN  0.345545                 NaN            NaN            NaN            NaN            NaN
  1370.54        2500.00        98.8600                 NaN  0.231267                 NaN  0.381718       0.185549                 NaN  0.341433                 NaN            NaN            NaN            NaN            NaN
  1369.05        2500.00        98.8733                 NaN  0.228715                 NaN  0.377218       0.184115                 NaN  0.336654                 NaN            NaN            NaN            NaN            NaN
  1367.55        2500.00        98.8842                 NaN  0.229345                 NaN  0.375131       0.177756                 NaN  0.333550                 NaN            NaN            NaN            NaN            NaN
  1366.06        2500.00        98.8971                 NaN  0.228747                 NaN  0.173279       0.371377                 NaN  0.329496                 NaN            NaN            NaN            NaN            NaN
  1364.56        2500.00        98.9089                 NaN  0.228016                 NaN  0.368239       0.169127                 NaN  0.325755                 NaN            NaN            NaN            NaN            NaN
  1363.07        2500.00        98.9210                 NaN  0.227266                 NaN  0.365127       0.164595                 NaN  0.322009                 NaN            NaN            NaN            NaN            NaN
  1361.57        2500.00        98.9336                 NaN  0.226743                 NaN  0.361426       0.159970                 NaN  0.318271                 NaN            NaN            NaN            NaN            NaN
  1360.08        2500.00        98.9440                 NaN  0.225507                 NaN  0.156998       0.358815                 NaN  0.314701                 NaN            NaN            NaN            NaN            NaN
  1358.59        2500.00        98.9560                 NaN  0.224909                 NaN  0.355379       0.152633                 NaN  0.311112                 NaN            NaN            NaN            NaN            NaN
  1357.09        2500.00        98.9665                 NaN  0.223823                 NaN  0.352708       0.149429                 NaN  0.307505                 NaN            NaN            NaN            NaN            NaN
  1355.60        2500.00        98.9775                 NaN  0.222897                 NaN  0.349699       0.145821                 NaN  0.304094                 NaN            NaN            NaN            NaN            NaN
  1354.10        2500.00        99.5194                 NaN  0.252266E-001  0.108187E-001  0.808081E-001  0.226275                 NaN  0.137499                 NaN            NaN            NaN            NaN            NaN
  1352.61        2500.00        98.4515                 NaN  0.406627                 NaN  0.612943       0.658414E-001            NaN  0.463097                 NaN            NaN            NaN            NaN            NaN
  1351.12        2500.00        99.0090                 NaN  0.219959                 NaN  0.135881       0.341083                 NaN  0.294057                 NaN            NaN            NaN            NaN            NaN
  1349.62        2500.00        99.0188                 NaN  0.218600                 NaN  0.338203       0.133553                 NaN  0.290822                 NaN            NaN            NaN            NaN            NaN
  1348.13        2500.00        99.0286                 NaN  0.217678                 NaN  0.130586       0.335459                 NaN  0.287673                 NaN            NaN            NaN            NaN            NaN
  1346.63        2500.00        99.0335                 NaN  0.218578                 NaN  0.127100       0.334514                 NaN  0.286290                 NaN            NaN            NaN            NaN            NaN
  1345.14        2500.00        99.0497                 NaN  0.212889                 NaN  0.128789       0.328324                 NaN  0.280327                 NaN            NaN            NaN            NaN            NaN
  1343.65        2500.00        99.0561                 NaN  0.214705                 NaN  0.328162       0.122222                 NaN  0.278765                 NaN            NaN            NaN            NaN            NaN
  1342.15        2500.00        99.0667                 NaN  0.211336                 NaN  0.122829       0.324186                 NaN  0.274977                 NaN            NaN            NaN            NaN            NaN
  1340.66        2500.00        99.0364                 NaN  0.224044                 NaN  0.333834       0.119190                 NaN  0.286528                 NaN            NaN            NaN            NaN            NaN
  1339.16        2500.00        99.1159                 NaN  0.196469                 NaN  0.122314       0.308770                 NaN  0.256530                 NaN            NaN            NaN            NaN            NaN
  1337.67        2500.00        99.0936                 NaN  0.208028                 NaN  0.316620       0.115345                 NaN  0.266372                 NaN            NaN            NaN            NaN            NaN
  1336.17        2500.00        99.1017                 NaN  0.206858                 NaN  0.113363       0.314344                 NaN  0.263761                 NaN            NaN            NaN            NaN            NaN
  1334.68        2500.00        99.1092                 NaN  0.205776                 NaN  0.112174       0.311481                 NaN  0.261392                 NaN            NaN            NaN            NaN            NaN
  1333.19        2500.00        99.1193                 NaN  0.202203                 NaN  0.112595       0.308349                 NaN  0.257584                 NaN            NaN            NaN            NaN            NaN
  1331.69        2500.00        99.1262                 NaN  0.202018                 NaN  0.109808       0.306375                 NaN  0.255569                 NaN            NaN            NaN            NaN            NaN
  1330.20        2500.00        99.1337                 NaN  0.199903                 NaN  0.109444       0.304084                 NaN  0.252883                 NaN            NaN            NaN            NaN            NaN
  1328.70        2500.00        99.1421                 NaN  0.197457                 NaN  0.109256       0.301245                 NaN  0.249915                 NaN            NaN            NaN            NaN            NaN
  1327.21        2500.00        99.1495                 NaN  0.196036                 NaN  0.298975       0.107954                 NaN  0.247513                 NaN            NaN            NaN            NaN            NaN
  1325.72        2500.00        99.1579                 NaN  0.194197                 NaN  0.295873       0.107160                 NaN  0.244822                 NaN            NaN            NaN            NaN            NaN
  1324.22        2500.00        99.1334                 NaN  0.193895                 NaN  0.288649       0.128820                 NaN  0.255252                 NaN            NaN            NaN            NaN            NaN
  1322.73        2500.00        99.2022                 NaN  0.188452                 NaN  0.293737       0.887708E-001            NaN  0.226819                 NaN            NaN            NaN            NaN            NaN
  1321.23        2500.00        99.1793                 NaN  0.187532                 NaN  0.106967       0.288742                 NaN  0.237482                 NaN            NaN            NaN            NaN            NaN
  1319.74        2500.00        99.1872                 NaN  0.186365                 NaN  0.285923       0.105753                 NaN  0.234725                 NaN            NaN            NaN            NaN            NaN
  1318.25        2500.00        99.1937                 NaN  0.183802                 NaN  0.283424       0.106540                 NaN  0.232505                 NaN            NaN            NaN            NaN            NaN
  1316.75        2500.00        99.1991                 NaN  0.182788                 NaN  0.105097       0.282327                 NaN  0.230690                 NaN            NaN            NaN            NaN            NaN
  1315.26        2500.00        99.2081                 NaN  0.178217                 NaN  0.278143       0.108227                 NaN  0.227273                 NaN            NaN            NaN            NaN            NaN
  1313.76        2500.00        99.2139                 NaN  0.176879                 NaN  0.107728       0.276031                 NaN  0.225419                 NaN            NaN            NaN            NaN            NaN
  1312.27        2500.00        99.2205                 NaN  0.174425                 NaN  0.273241       0.108627                 NaN  0.223233                 NaN            NaN            NaN            NaN            NaN
  1310.77        2500.00        99.2269                 NaN  0.172101                 NaN  0.271118       0.108875                 NaN  0.220976                 NaN            NaN            NaN            NaN            NaN
  1309.28        2500.00        99.2336                 NaN  0.170153                 NaN  0.268826       0.108741                 NaN  0.218683                 NaN            NaN            NaN            NaN            NaN
