|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         ilm            San(TH)        q             
  1439.10        500.000        83.7195        6.31103        9.96952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.2364       0.288098       0.475460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.2414       0.472308       0.286247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.2458       0.470530       0.283633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.2483       0.282792       0.468889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.8664       0.758836E-001  0.505542E-001            NaN  0.713044E-002            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        97.2034        1.12655        1.08432                 NaN  0.585763                 NaN            NaN            NaN            NaN            NaN
  1431.40        500.000        97.8579       0.880067       0.681693                 NaN  0.580339                 NaN            NaN            NaN            NaN            NaN
  1430.30        500.000        97.8503       0.881826       0.685335                 NaN  0.582523                 NaN            NaN            NaN            NaN            NaN
  1429.20        500.000        97.9630       0.649756       0.835630                 NaN  0.551662                 NaN            NaN            NaN            NaN            NaN
  1428.09        500.000        97.9571       0.837032       0.653000                 NaN  0.552830                 NaN            NaN            NaN            NaN            NaN
  1426.99        500.000        97.9904       0.642907       0.822893                 NaN  0.543833                 NaN            NaN            NaN            NaN            NaN
  1425.89        500.000        98.0213       0.633567       0.809701                 NaN  0.535359       0.663669E-004            NaN            NaN            NaN            NaN
  1424.79        500.000        99.7058       0.120824       0.931475E-001            NaN  0.792745E-001            NaN  0.964348E-003            NaN            NaN            NaN
  1423.69        500.000        96.4327        1.45983        1.14346                 NaN  0.964000                 NaN            NaN            NaN            NaN            NaN
  1422.59        500.000        98.1090       0.607450       0.772627                 NaN  0.510959                 NaN            NaN            NaN            NaN            NaN
  1421.49        500.000        97.9870       0.821502       0.647474                 NaN  0.544027                 NaN            NaN            NaN            NaN            NaN
  1420.39        500.000        98.3132       0.688110       0.543165                 NaN  0.455498                 NaN            NaN            NaN            NaN            NaN
