|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         ilm            San(TH)        q             
  1439.10        500.000        85.6400        5.52450        8.83554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.3411       0.246665       0.412201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.3457       0.409344       0.244949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.3498       0.407610       0.242591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.3522       0.241755       0.406049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.8837       0.656438E-001  0.431523E-001            NaN  0.747281E-002            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        97.4811       0.963641       0.939869                 NaN  0.615434                 NaN            NaN            NaN            NaN            NaN
  1431.40        500.000        98.0491       0.751621       0.590075                 NaN  0.609178                 NaN            NaN            NaN            NaN            NaN
  1430.30        500.000        98.0430       0.752586       0.592924                 NaN  0.611467                 NaN            NaN            NaN            NaN            NaN
  1429.20        500.000        98.1466       0.561807       0.712618                 NaN  0.579003                 NaN            NaN            NaN            NaN            NaN
  1428.09        500.000        98.1421       0.713320       0.564350                 NaN  0.580217                 NaN            NaN            NaN            NaN            NaN
  1426.99        500.000        98.1731       0.555338       0.700790                 NaN  0.570738                 NaN            NaN            NaN            NaN            NaN
  1425.89        500.000        98.2021       0.546989       0.689062                 NaN  0.561807       0.529608E-004            NaN            NaN            NaN            NaN
  1424.79        500.000        99.7336       0.102513       0.802113E-001            NaN  0.830628E-001            NaN  0.626515E-003            NaN            NaN            NaN
  1423.69        500.000        96.7569        1.24240       0.987625                 NaN   1.01303                 NaN            NaN            NaN            NaN            NaN
  1422.59        500.000        98.2843       0.523583       0.656073                 NaN  0.536067                 NaN            NaN            NaN            NaN            NaN
  1421.49        500.000        98.1742       0.697196       0.557837                 NaN  0.570783                 NaN            NaN            NaN            NaN            NaN
  1420.39        500.000        98.4713       0.583380       0.467550                 NaN  0.477723                 NaN            NaN            NaN            NaN            NaN
  1419.29        500.000        98.3599       0.501355       0.626278                 NaN  0.512477                 NaN            NaN            NaN            NaN            NaN
  1418.19        500.000        98.3833       0.494713       0.616931                 NaN  0.505047                 NaN            NaN            NaN            NaN            NaN
  1417.09        500.000        98.2743       0.529316       0.657463                 NaN  0.538953                 NaN            NaN            NaN            NaN            NaN
  1415.99        500.000        98.5613       0.440844       0.548528                 NaN  0.449281                 NaN            NaN            NaN            NaN            NaN
  1414.89        500.000        98.4510       0.474891       0.590220                 NaN  0.483887                 NaN            NaN            NaN            NaN            NaN
  1413.79        500.000        98.4738       0.467887       0.581368                 NaN  0.476962                 NaN            NaN            NaN            NaN            NaN
  1412.69        500.000        98.4939       0.573453       0.462129                 NaN  0.470479                 NaN            NaN            NaN            NaN            NaN
  1411.59        500.000        98.5137       0.565931       0.456377                 NaN  0.464039                 NaN            NaN            NaN            NaN            NaN
  1410.49        500.000        98.5338       0.450462       0.557967                 NaN  0.457764                 NaN            NaN            NaN            NaN            NaN
  1409.39        500.000        98.5525       0.445187       0.550423                 NaN  0.451853                 NaN            NaN            NaN            NaN            NaN
  1408.29        500.000        98.4824       0.467214       0.576969                 NaN  0.473433                 NaN            NaN            NaN            NaN            NaN
  1407.19        500.000        98.6799       0.406371       0.502027                 NaN  0.411724                 NaN            NaN            NaN            NaN            NaN
  1406.08        500.000        98.6094       0.436093       0.493414                 NaN  0.438800       0.222496E-001            NaN            NaN            NaN            NaN
  1404.98        500.000        98.6273       0.329635       0.466451                 NaN  0.454952       0.121678                 NaN            NaN            NaN            NaN
  1403.88        500.000        98.6445       0.462179       0.320724                 NaN  0.449877       0.122709                 NaN            NaN            NaN            NaN
  1402.78        500.000        98.6626       0.312188       0.457747                 NaN  0.444340       0.123128                 NaN            NaN            NaN            NaN
  1401.68        500.000        98.6790       0.303849       0.453659                 NaN  0.439295       0.124167                 NaN            NaN            NaN            NaN
  1400.58        500.000        98.6956       0.295572       0.449821                 NaN  0.434219       0.124802                 NaN            NaN            NaN            NaN
  1399.48        500.000        98.7127       0.287207       0.445529                 NaN  0.429001       0.125583                 NaN            NaN            NaN            NaN
  1398.38        500.000        98.7265       0.279964       0.442180                 NaN  0.424995       0.126406                 NaN            NaN            NaN            NaN
  1397.28        500.000        98.7451       0.271679       0.437228                 NaN  0.419078       0.126932                 NaN            NaN            NaN            NaN
  1396.18        500.000        98.7597       0.434564       0.263586                 NaN  0.414564       0.127621                 NaN            NaN            NaN            NaN
  1395.08        500.000        98.7743       0.430893       0.256287                 NaN  0.410149       0.128352                 NaN            NaN            NaN            NaN
  1393.98        500.000        98.7869       0.428668       0.248778                 NaN  0.406403       0.129256                 NaN            NaN            NaN            NaN
  1392.88        500.000        98.8050       0.423030       0.241816                 NaN  0.400717       0.129470                 NaN            NaN            NaN            NaN
  1391.78        500.000        98.8186       0.234362       0.420256                 NaN  0.396499       0.130234                 NaN            NaN            NaN            NaN
  1390.68        500.000        98.8301       0.228120       0.417792                 NaN  0.393045       0.130969                 NaN            NaN            NaN            NaN
  1389.58        500.000        98.8462       0.413695       0.220820                 NaN  0.387975       0.131269                 NaN            NaN            NaN            NaN
  1388.48        500.000        98.8585       0.213835       0.410998                 NaN  0.384375       0.132245                 NaN            NaN            NaN            NaN
  1387.38        500.000        98.8708       0.205609       0.409564                 NaN  0.380631       0.133434                 NaN            NaN            NaN            NaN
  1386.28        500.000        98.8867       0.403488       0.201967                 NaN  0.375279       0.132557                 NaN            NaN            NaN            NaN
  1385.18        500.000        98.8972       0.193616       0.402954                 NaN  0.372369       0.133820                 NaN            NaN            NaN            NaN
  1384.07        500.000        98.9077       0.188731       0.400319                 NaN  0.369143       0.134138                 NaN            NaN            NaN            NaN
  1382.97        500.000        98.9255       0.395174       0.181129                 NaN  0.363372       0.134798                 NaN            NaN            NaN            NaN
  1381.87        500.000        98.9331       0.394388       0.175527                 NaN  0.361318       0.135704                 NaN            NaN            NaN            NaN
  1380.77        500.000        98.9472       0.170185       0.390675                 NaN  0.356648       0.135331                 NaN            NaN            NaN            NaN
  1379.67        500.000        98.9565       0.164373       0.389212                 NaN  0.353839       0.136122                 NaN            NaN            NaN            NaN
  1378.57        500.000        98.9692       0.385740       0.159136                 NaN  0.349817       0.136135                 NaN            NaN            NaN            NaN
  1377.47        500.000        98.9801       0.153282       0.383206                 NaN  0.346424       0.136943                 NaN            NaN            NaN            NaN
  1376.37        500.000        98.9904       0.381159       0.147450                 NaN  0.343417       0.137620                 NaN            NaN            NaN            NaN
  1375.27        500.000        99.0018       0.139560       0.379847                 NaN  0.340108       0.138684                 NaN            NaN            NaN            NaN
  1374.17        500.000        99.0149       0.374457       0.138811                 NaN  0.335044       0.136741                 NaN            NaN            NaN            NaN
  1373.07        500.000        99.0229       0.374010       0.132157                 NaN  0.332895       0.138036                 NaN            NaN            NaN            NaN
  1371.97        500.000        99.0329       0.127277       0.372040                 NaN  0.329624       0.138148                 NaN            NaN            NaN            NaN
  1370.87        500.000        99.0427       0.122001       0.369983                 NaN  0.326669       0.138683                 NaN            NaN            NaN            NaN
  1369.77        500.000        99.0518       0.367898       0.118450                 NaN  0.323538       0.138355                 NaN            NaN            NaN            NaN
  1368.67        500.000        99.0623       0.365661       0.112220                 NaN  0.320544       0.139298                 NaN            NaN            NaN            NaN
  1367.57        500.000        99.0716       0.362944       0.107539                 NaN  0.318013       0.139905                 NaN            NaN            NaN            NaN
  1366.47        500.000        99.0840       0.104326       0.361006                 NaN  0.312648       0.138002                 NaN            NaN            NaN            NaN
  1365.37        500.000        99.0859       0.360696       0.975633E-001            NaN  0.313666       0.142180                 NaN            NaN            NaN            NaN
  1364.27        500.000        99.1066       0.353321       0.982891E-001            NaN  0.305164       0.136610                 NaN            NaN            NaN            NaN
  1363.17        500.000        99.1087       0.923464E-001  0.355129                 NaN  0.305113       0.138668                 NaN            NaN            NaN            NaN
  1362.06        500.000        99.1159       0.354257       0.878637E-001            NaN  0.302887       0.139082                 NaN            NaN            NaN            NaN
  1360.96        500.000        99.1261       0.352117       0.838594E-001            NaN  0.299358       0.138537                 NaN            NaN            NaN            NaN
  1359.86        500.000        99.1343       0.795612E-001  0.350352                 NaN  0.296864       0.138916                 NaN            NaN            NaN            NaN
  1358.76        500.000        99.1425       0.348678       0.761682E-001            NaN  0.294016       0.138591                 NaN            NaN            NaN            NaN
  1357.66        500.000        99.1509       0.730359E-001  0.346415                 NaN  0.291256       0.138361                 NaN            NaN            NaN            NaN
  1356.56        500.000        99.1577       0.344916       0.695001E-001            NaN  0.289284       0.138623                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.1675       0.343368       0.653162E-001            NaN  0.285701       0.138074                 NaN            NaN            NaN            NaN
  1354.36        500.000        99.1756       0.340625       0.639510E-001            NaN  0.282823       0.137019                 NaN            NaN            NaN            NaN
  1353.26        500.000        99.1824       0.339646       0.600119E-001            NaN  0.280665       0.137295                 NaN            NaN            NaN            NaN
  1352.16        500.000        99.1816       0.339445       0.595062E-001            NaN  0.281418       0.138066                 NaN            NaN            NaN            NaN
  1351.06        500.000        99.2063       0.336188       0.497146E-001            NaN  0.271869       0.135905                 NaN            NaN            NaN            NaN
  1349.96        500.000        99.2051       0.334726       0.511624E-001            NaN  0.272954       0.136086                 NaN            NaN            NaN            NaN
  1348.86        500.000        99.2126       0.333140       0.478773E-001            NaN  0.270468       0.135907                 NaN            NaN            NaN            NaN
  1347.76        500.000        99.2190       0.466182E-001  0.331648                 NaN  0.267951       0.134743                 NaN            NaN            NaN            NaN
  1346.66        500.000        99.2263       0.430331E-001  0.330438                 NaN  0.265624       0.134587                 NaN            NaN            NaN            NaN
  1345.56        500.000        99.2332       0.408897E-001  0.328890                 NaN  0.263109       0.133879                 NaN            NaN            NaN            NaN
  1344.46        500.000        99.2404       0.389551E-001  0.326770                 NaN  0.260620       0.133240                 NaN            NaN            NaN            NaN
  1343.36        500.000        99.2471       0.325182       0.365724E-001            NaN  0.258381       0.132774                 NaN            NaN            NaN            NaN
  1342.26        500.000        99.2550       0.332973       0.907977E-002            NaN  0.258153       0.144783                 NaN            NaN            NaN            NaN
  1341.16        500.000        99.2590       0.313138       0.582022E-001            NaN  0.251322       0.118371                 NaN            NaN            NaN            NaN
  1340.05        500.000        99.2659       0.322524E-001  0.319957                 NaN  0.251486       0.130385                 NaN            NaN            NaN            NaN
  1338.95        500.000        99.2730       0.300764E-001  0.318944                 NaN  0.248823       0.129184                 NaN            NaN            NaN            NaN
