|6.6.6
Archiving\03_Data\fracLP/QFM/GRV/GRV_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  2000.00        500.000        99.1692       0.830774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.1692       0.830772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.1692       0.830770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.1692       0.830768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.1692       0.830766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.1692       0.830764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.1692       0.830762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.1692       0.830760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.1692       0.830758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.1692       0.830756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.1692       0.830753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.1692       0.830751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.1693       0.830749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.1693       0.830747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.1693       0.830745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.1693       0.830742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.1693       0.830740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.1693       0.830738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.1693       0.830735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.1693       0.830733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.1693       0.830731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.1693       0.830729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.1693       0.830726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.1693       0.830724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.1693       0.830721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.1693       0.830719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.1693       0.830716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.1693       0.830714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.1693       0.830711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.1693       0.830709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.1693       0.830706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.1693       0.830703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.1693       0.830701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.1693       0.830698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.1693       0.830695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.1693       0.830693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.1693       0.830690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.1693       0.830687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.1693       0.830685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.1693       0.830682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.1693       0.830679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.1693       0.830676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.1693       0.830673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.1693       0.830670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.1693       0.830668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.1693       0.830665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.1693       0.830662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.1693       0.830659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.1693       0.830656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.1694       0.830650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.1694       0.830650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.1694       0.830647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.1694       0.830644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.1694       0.830640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1694       0.830637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1694       0.830634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.1694       0.830631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.1694       0.830628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.1694       0.830625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1694       0.830620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1694       0.830618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.1694       0.830615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.1694       0.830611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.1694       0.830608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.1694       0.830605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.1694       0.830601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.1694       0.830598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1694       0.830594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1694       0.830591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1694       0.830587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1694       0.830584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1694       0.830580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1538       0.830576       0.156185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1508       0.830701       0.185077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1304       0.830856       0.387129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1687       0.831168       0.993868E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1530       0.831164       0.158354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1508       0.831291       0.179255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1520       0.831436       0.165603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1495       0.831569       0.189485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1506       0.831722       0.176664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1508       0.831864       0.173458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1507       0.832004       0.173316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1477       0.832143       0.201864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1536       0.832306       0.140956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1506       0.832419       0.169488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1506       0.832555       0.168200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1506       0.832690       0.167263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1505       0.832825       0.166654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1505       0.832959       0.165586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1507       0.833092       0.161871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1505       0.833222       0.162293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1483       0.833351       0.183181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1558       0.833501       0.107345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1475       0.833584       0.189471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1505       0.833737       0.157866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1505       0.833863       0.156139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.1504       0.833989       0.155635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.1504       0.834113       0.154572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.1505       0.834237       0.153008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.1504       0.834359       0.152175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.1505       0.834481       0.150633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.1504       0.834601       0.149654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.1504       0.834721       0.148531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        98.9381       0.834846       0.143342E-001  0.212694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3379                 NaN  0.792630E-002  0.654211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3440                 NaN  0.430512E-001  0.612920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3761                 NaN            NaN  0.623922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3583                 NaN  0.358587E-002  0.638108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3418                 NaN  0.136742E-001  0.644483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3359                 NaN  0.136835E-001  0.650452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3321                 NaN  0.136538E-001  0.654276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3258                 NaN  0.136617E-001  0.660555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3226                 NaN  0.136180E-001  0.663787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3135                 NaN  0.136770E-001  0.672839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3109                 NaN  0.136323E-001  0.675457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3033                 NaN  0.136416E-001  0.683017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2979                 NaN  0.136459E-001  0.688475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.2920                 NaN  0.136375E-001  0.694412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2870                 NaN  0.136314E-001  0.699351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2805                 NaN  0.136525E-001  0.705884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2950                 NaN  0.132492E-001  0.691723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2487                 NaN  0.140198E-001  0.737276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2624                 NaN  0.136506E-001  0.723932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2570                 NaN  0.136381E-001  0.729320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2582                 NaN  0.135184E-001  0.728304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.7601                 NaN  0.429813E-002  0.235640                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        98.7230                 NaN  0.230228E-001   1.25397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        98.9690                 NaN  0.183510E-001   1.01267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4966                 NaN  0.889274E-002  0.494512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2241                 NaN  0.136478E-001  0.762279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2184                 NaN  0.136579E-001  0.767982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2153                 NaN  0.136422E-001  0.771084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2123                 NaN  0.136198E-001  0.774040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
