|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/GRV/GRV_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.679282E-002   99.8138       0.179445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.417102E-003   99.3159       0.671834       0.118443E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.1313       0.868703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.1355       0.864499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000       0.808507E-004   99.1445       0.855381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1462       0.853773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1521       0.847899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.1547       0.845332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1607       0.839313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1646       0.835419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1701       0.829926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000       0.719405E-002   98.4708        1.52206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.8758       0.124158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.2056       0.794405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1865       0.813540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1891       0.810877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.1886       0.787800                 NaN  0.236203E-001            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   98.9939                 NaN            NaN   1.00605                 NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   98.9790                 NaN            NaN   1.02099                 NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   98.9645                 NaN            NaN   1.03549                 NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.607209E-002   98.8279                 NaN            NaN   1.16606                 NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.993873E-002   98.9905                 NaN            NaN  0.999539                 NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.109492E-001   98.8491                 NaN            NaN   1.13992                 NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.109947E-001   98.7997                 NaN            NaN   1.18932                 NaN            NaN            NaN            NaN            NaN
  1530.17        500.000       0.109670E-001   98.2068                 NaN            NaN   1.17143       0.610774                 NaN            NaN            NaN            NaN
  1528.76        500.000       0.107057E-001   98.1758                 NaN            NaN  0.536965        1.27654                 NaN            NaN            NaN            NaN
  1527.34        500.000       0.104672E-001   98.2041                 NaN            NaN  0.528005        1.25740                 NaN            NaN            NaN            NaN
  1525.93        500.000       0.102239E-001   98.2362                 NaN            NaN   1.23626       0.517300                 NaN            NaN            NaN            NaN
  1524.51        500.000       0.100338E-001   98.2614                 NaN            NaN  0.509908        1.21863                 NaN            NaN            NaN            NaN
  1523.10        500.000       0.979360E-002   98.2873                 NaN            NaN  0.499461        1.20344                 NaN            NaN            NaN            NaN
  1521.69        500.000       0.956635E-002   98.3142                 NaN            NaN   1.18445       0.491737                 NaN            NaN            NaN            NaN
  1520.27        500.000       0.934321E-002   98.3403                 NaN            NaN  0.483099        1.16723                 NaN            NaN            NaN            NaN
  1518.86        500.000       0.912768E-002   98.3641                 NaN            NaN  0.475546        1.15124                 NaN            NaN            NaN            NaN
  1517.45        500.000       0.892293E-002   98.3881                 NaN            NaN  0.467727        1.13528                 NaN            NaN            NaN            NaN
  1516.03        500.000       0.286554E-002   98.4127       0.273929                 NaN   1.21409       0.964106E-001            NaN            NaN            NaN            NaN
  1514.62        500.000       0.646093E-003   98.4253       0.366413                 NaN   1.20765                 NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.516890E-003   98.4518       0.357777                 NaN   1.18992                 NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.299072E-003   98.4760       0.352867                 NaN   1.17079                 NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.116016E-003   98.4990       0.347679                 NaN   1.15319                 NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.922601E-003   98.5226       0.338151                 NaN   1.13829                 NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.326262E-002   98.5546       0.312505                 NaN   1.12960                 NaN            NaN            NaN            NaN            NaN
  1506.13        500.000                 NaN   98.5653       0.320138                 NaN   1.11457                 NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.5875       0.315639                 NaN   1.09681                 NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.6074       0.307031                 NaN   1.08557                 NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.6293       0.301229                 NaN   1.06952                 NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.6496       0.300223                 NaN   1.05022                 NaN            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.6676       0.287360                 NaN   1.04508                 NaN            NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.6858       0.284051                 NaN   1.03013                 NaN            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.6961       0.206217                 NaN  0.986848       0.110799                 NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.7124       0.189954                 NaN  0.970524       0.127113                 NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.7273       0.176338                 NaN  0.955486       0.140827                 NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.7430       0.163334                 NaN  0.939949       0.153721                 NaN            NaN            NaN            NaN
  1490.58        500.000                 NaN   98.7579       0.150195                 NaN  0.925889       0.165974                 NaN            NaN            NaN            NaN
  1489.17        500.000       0.250376E-002   98.7678       0.720210E-001            NaN  0.894800       0.262856                 NaN            NaN            NaN            NaN
