|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1439.10        500.000        83.7297        6.18872        10.0816                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.2262       0.297209       0.476605                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.2312       0.473538       0.295273                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.2357       0.292763       0.471556                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.2413       0.467775       0.290898                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.2449       0.466202       0.288936                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        99.2488       0.287977       0.463229                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        500.000        99.2507       0.286870       0.462469                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        500.000        98.0896       0.785270       0.653001                 NaN  0.472167                 NaN            NaN            NaN            NaN
  1429.20        500.000        98.0026       0.824509       0.637201                 NaN  0.535693                 NaN            NaN            NaN            NaN
  1428.09        500.000        97.9531       0.844898       0.653063                 NaN  0.548929                 NaN            NaN            NaN            NaN
  1426.99        500.000        97.9864       0.644245       0.829540                 NaN  0.539858                 NaN            NaN            NaN            NaN
  1425.89        500.000        98.0187       0.634035       0.816481                 NaN  0.530753                 NaN            NaN            NaN            NaN
  1424.79        500.000        98.0474       0.625522       0.804144                 NaN  0.522956                 NaN            NaN            NaN            NaN
  1423.69        500.000        98.0764       0.791690       0.616928                 NaN  0.514952                 NaN            NaN            NaN            NaN
  1422.59        500.000        98.1036       0.780070       0.608840                 NaN  0.507510                 NaN            NaN            NaN            NaN
  1421.49        500.000        98.1324       0.768224       0.599924                 NaN  0.499435                 NaN            NaN            NaN            NaN
  1420.39        500.000        98.1599       0.756472       0.591580                 NaN  0.492048                 NaN            NaN            NaN            NaN
  1419.29        500.000        98.1825       0.747112       0.584468                 NaN  0.485963                 NaN            NaN            NaN            NaN
  1418.19        500.000        98.2128       0.735091       0.574950                 NaN  0.477204                 NaN            NaN            NaN            NaN
  1417.09        500.000        98.2351       0.568887       0.725011                 NaN  0.471052                 NaN            NaN            NaN            NaN
  1415.99        500.000        98.2598       0.561295       0.714538                 NaN  0.464331                 NaN            NaN            NaN            NaN
  1414.89        500.000        98.2820       0.554520       0.705470                 NaN  0.458050                 NaN            NaN            NaN            NaN
  1413.79        500.000        98.3057       0.547502       0.695417                 NaN  0.451430                 NaN            NaN            NaN            NaN
  1412.69        500.000        98.3290       0.685438       0.540463                 NaN  0.445108                 NaN            NaN            NaN            NaN
  1411.59        500.000        98.3481       0.533756       0.678302                 NaN  0.439822                 NaN            NaN            NaN            NaN
  1410.49        500.000        98.3707       0.526946       0.668747                 NaN  0.433574       0.582850E-005            NaN            NaN            NaN
  1409.39        500.000        98.3911       0.521159       0.660175                 NaN  0.427562                 NaN            NaN            NaN            NaN
  1408.29        500.000        98.4123       0.514532       0.651551                 NaN  0.421630                 NaN            NaN            NaN            NaN
  1407.19        500.000        98.4316       0.643936       0.508348                 NaN  0.416138                 NaN            NaN            NaN            NaN
  1406.08        500.000        98.4468       0.538960       0.453835                 NaN  0.432543       0.127885                 NaN            NaN            NaN
  1404.98        500.000        98.4640       0.542432       0.404958                 NaN  0.432089       0.156508                 NaN            NaN            NaN
  1403.88        500.000        98.4816       0.537698       0.394976                 NaN  0.427554       0.158156                 NaN            NaN            NaN
  1402.78        500.000        98.4997       0.384829       0.533612                 NaN  0.422496       0.159369                 NaN            NaN            NaN
  1401.68        500.000        98.5190       0.374953       0.527984                 NaN  0.417464       0.160597                 NaN            NaN            NaN
  1400.58        500.000        98.5353       0.523924       0.365613                 NaN  0.413104       0.162072                 NaN            NaN            NaN
  1399.48        500.000        98.5528       0.519036       0.356733                 NaN  0.408339       0.163111                 NaN            NaN            NaN
  1398.38        500.000        98.5682       0.515353       0.347440                 NaN  0.404215       0.164796                 NaN            NaN            NaN
  1397.28        500.000        98.5843       0.338580       0.511698                 NaN  0.400027       0.165420                 NaN            NaN            NaN
  1396.18        500.000        98.6025       0.506519       0.329099                 NaN  0.394986       0.166847                 NaN            NaN            NaN
  1395.08        500.000        98.6173       0.502763       0.320987                 NaN  0.390921       0.167992                 NaN            NaN            NaN
  1393.98        500.000        98.6314       0.498991       0.312800                 NaN  0.387339       0.169429                 NaN            NaN            NaN
  1392.88        500.000        98.6489       0.495002       0.302973                 NaN  0.382647       0.170448                 NaN            NaN            NaN
  1391.78        500.000        98.6608       0.492400       0.294962                 NaN  0.379489       0.172366                 NaN            NaN            NaN
  1390.68        500.000        98.6784       0.487904       0.286336                 NaN  0.374417       0.172919                 NaN            NaN            NaN
  1389.58        500.000        98.6875       0.485642       0.279301                 NaN  0.372187       0.175334                 NaN            NaN            NaN
