|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1439.10        500.000        85.6227        5.42740        8.94994                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.3309       0.255032       0.414027                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.3356       0.411212       0.253232                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.3397       0.250963       0.409330                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.3448       0.405911       0.249246                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.3481       0.404405       0.247457                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        99.3519       0.246489       0.401640                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        500.000        99.3538       0.245407       0.400776                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        500.000        98.2657       0.671827       0.566147                 NaN  0.496352                 NaN            NaN            NaN            NaN
  1429.20        500.000        98.1796       0.705003       0.552244                 NaN  0.563147                 NaN            NaN            NaN            NaN
  1428.09        500.000        98.1352       0.722010       0.565736                 NaN  0.577095                 NaN            NaN            NaN            NaN
  1426.99        500.000        98.1662       0.557836       0.708420                 NaN  0.567545                 NaN            NaN            NaN            NaN
  1425.89        500.000        98.1965       0.548724       0.696782                 NaN  0.557958                 NaN            NaN            NaN            NaN
  1424.79        500.000        98.2234       0.541101       0.685775                 NaN  0.549743                 NaN            NaN            NaN            NaN
  1423.69        500.000        98.2506       0.674680       0.533384                 NaN  0.541308                 NaN            NaN            NaN            NaN
  1422.59        500.000        98.2761       0.664298       0.526127                 NaN  0.533462                 NaN            NaN            NaN            NaN
  1421.49        500.000        98.3031       0.653776       0.518168                 NaN  0.524947                 NaN            NaN            NaN            NaN
  1420.39        500.000        98.3287       0.643372       0.510732                 NaN  0.517154                 NaN            NaN            NaN            NaN
  1419.29        500.000        98.3501       0.634902       0.504281                 NaN  0.510729                 NaN            NaN            NaN            NaN
  1418.19        500.000        98.3784       0.624247       0.495854                 NaN  0.501488                 NaN            NaN            NaN            NaN
  1417.09        500.000        98.3994       0.490334       0.615244                 NaN  0.494988                 NaN            NaN            NaN            NaN
  1415.99        500.000        98.4226       0.483554       0.605979                 NaN  0.487888                 NaN            NaN            NaN            NaN
  1414.89        500.000        98.4435       0.477436       0.597831                 NaN  0.481249                 NaN            NaN            NaN            NaN
  1413.79        500.000        98.4657       0.471160       0.588929                 NaN  0.474252                 NaN            NaN            NaN            NaN
  1412.69        500.000        98.4875       0.580095       0.464851                 NaN  0.467566                 NaN            NaN            NaN            NaN
  1411.59        500.000        98.5057       0.458814       0.573564                 NaN  0.461969                 NaN            NaN            NaN            NaN
  1410.49        500.000        98.5267       0.452765       0.565125                 NaN  0.455359       0.458825E-005            NaN            NaN            NaN
  1409.39        500.000        98.5461       0.447489       0.557460                 NaN  0.448997                 NaN            NaN            NaN            NaN
  1408.29        500.000        98.5659       0.441567       0.549818                 NaN  0.442717                 NaN            NaN            NaN            NaN
  1407.19        500.000        98.5841       0.542982       0.436002                 NaN  0.436898                 NaN            NaN            NaN            NaN
