|6.6.6
Archiving\03_Data\eqfracLP/QFM/GRV/GRV_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1551.28        500.000       0.204072E-001            NaN   99.0574       0.913797       0.835033E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000       0.796261E-003            NaN   99.1630       0.783961       0.522476E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000                 NaN            NaN   99.1577       0.842262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000       0.731144E-003            NaN   99.1643       0.834996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000       0.148353E-002            NaN   99.1446       0.853867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000                 NaN            NaN   99.6676       0.332356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000                 NaN            NaN   98.6979        1.30210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000                 NaN            NaN   99.1781       0.821933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000                 NaN            NaN   99.1828       0.817172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000                 NaN            NaN   99.1846       0.815377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000       0.217954E-002            NaN   99.1921       0.805706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000                 NaN            NaN   99.1929       0.807068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000                 NaN            NaN   99.1933       0.806692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000                 NaN            NaN   99.2024       0.797609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000                 NaN            NaN   99.2034       0.796595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000                 NaN            NaN   99.2037       0.796314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000                 NaN            NaN   99.1815       0.818530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN            NaN   99.2358       0.764168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000                 NaN            NaN   99.2088       0.791183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN            NaN   99.2188       0.781200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000                 NaN            NaN   99.1998       0.800208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN            NaN   99.3585       0.641469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        500.000                 NaN            NaN   98.7123       0.847402                 NaN  0.440310                 NaN            NaN            NaN            NaN            NaN
  1519.50        500.000                 NaN            NaN   98.1972       0.611641                 NaN   1.19120                 NaN            NaN            NaN            NaN            NaN
  1518.12        500.000                 NaN            NaN   98.2245       0.602067                 NaN   1.17348                 NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN            NaN   98.2406       0.597630                 NaN   1.16174                 NaN            NaN            NaN            NaN            NaN
  1515.36        500.000                 NaN            NaN   98.2852       0.587764                 NaN   1.12704                 NaN            NaN            NaN            NaN            NaN
  1513.98        500.000                 NaN            NaN   98.3067       0.578673                 NaN   1.11460                 NaN            NaN            NaN            NaN            NaN
  1512.59        500.000                 NaN            NaN   98.3305       0.568634                 NaN   1.10090                 NaN            NaN            NaN            NaN            NaN
  1511.21        500.000                 NaN            NaN   98.3540       0.560748                 NaN   1.08525                 NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN            NaN   98.3786       0.552681                 NaN   1.06870                 NaN            NaN            NaN            NaN            NaN
  1508.45        500.000                 NaN            NaN   98.4015       0.544829                 NaN   1.05369                 NaN            NaN            NaN            NaN            NaN
  1507.07        500.000                 NaN            NaN   98.4249       0.534732                 NaN   1.04033                 NaN            NaN            NaN            NaN            NaN
