|6.6.6
Archiving\03_Data\eqfracLP/QFM/GRV/GRV_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1551.28        500.000       0.127923E-001            NaN   99.1717       0.808402       0.713759E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000       0.498967E-003            NaN   99.2616       0.693290       0.446325E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000                 NaN            NaN   99.2553       0.744698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000       0.458051E-003            NaN   99.2614       0.738170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000       0.928794E-003            NaN   99.2444       0.754661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000                 NaN            NaN   99.7065       0.293538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000                 NaN            NaN   98.8489        1.15105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000                 NaN            NaN   99.2739       0.726070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000                 NaN            NaN   99.2782       0.721786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000                 NaN            NaN   99.2800       0.720032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000       0.136410E-002            NaN   99.2874       0.711242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000                 NaN            NaN   99.2876       0.712403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000                 NaN            NaN   99.2880       0.711993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000                 NaN            NaN   99.2962       0.703830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000                 NaN            NaN   99.2972       0.702813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000                 NaN            NaN   99.2975       0.702541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000                 NaN            NaN   99.2780       0.721970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000                 NaN            NaN   99.3262       0.673805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000                 NaN            NaN   99.3026       0.697401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000                 NaN            NaN   99.3114       0.688602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000                 NaN            NaN   99.2946       0.705365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000                 NaN            NaN   99.4347       0.565288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        500.000                 NaN            NaN   98.8613       0.747022                 NaN  0.391680                 NaN            NaN            NaN            NaN            NaN
  1519.50        500.000                 NaN            NaN   98.4008       0.539262                 NaN   1.05998                 NaN            NaN            NaN            NaN            NaN
  1518.12        500.000                 NaN            NaN   98.4253       0.530620                 NaN   1.04406                 NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN            NaN   98.4401       0.526505                 NaN   1.03337                 NaN            NaN            NaN            NaN            NaN
  1515.36        500.000                 NaN            NaN   98.4800       0.517604                 NaN   1.00242                 NaN            NaN            NaN            NaN            NaN
  1513.98        500.000                 NaN            NaN   98.4994       0.509444                 NaN  0.991189                 NaN            NaN            NaN            NaN            NaN
  1512.59        500.000                 NaN            NaN   98.5208       0.500389                 NaN  0.978785                 NaN            NaN            NaN            NaN            NaN
  1511.21        500.000                 NaN            NaN   98.5421       0.493214                 NaN  0.964669                 NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN            NaN   98.5643       0.485935                 NaN  0.949788                 NaN            NaN            NaN            NaN            NaN
  1508.45        500.000                 NaN            NaN   98.5849       0.478846                 NaN  0.936225                 NaN            NaN            NaN            NaN            NaN
  1507.07        500.000                 NaN            NaN   98.6061       0.469780                 NaN  0.924130                 NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN            NaN   98.6202       0.464343                 NaN  0.915437                 NaN            NaN            NaN            NaN            NaN
  1504.30        500.000                 NaN            NaN   98.6508       0.451977                 NaN  0.897260                 NaN            NaN            NaN            NaN            NaN
  1502.92        500.000                 NaN            NaN   98.6645       0.447048                 NaN  0.888462                 NaN            NaN            NaN            NaN            NaN
  1501.54        500.000                 NaN            NaN   98.6844       0.439280                 NaN  0.876360                 NaN            NaN            NaN            NaN            NaN
  1500.16        500.000                 NaN            NaN   98.6981       0.431623                 NaN  0.870228                 NaN            NaN            NaN            NaN            NaN
  1498.78        500.000                 NaN            NaN   98.7232       0.425983                 NaN  0.850853                 NaN            NaN            NaN            NaN            NaN
