|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.25/T13/T13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00       0.461390E-002   99.3664       0.577563       0.513899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00                 NaN   99.0421       0.913694       0.442097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00                 NaN   99.0288       0.853205       0.118006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00                 NaN   99.0744       0.805402       0.120172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00                 NaN   99.0470       0.837188       0.115767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00                 NaN   99.0968       0.788431       0.114756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   99.0874       0.798619       0.113993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   99.1005       0.789345       0.110143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00                 NaN   99.1076       0.779428       0.112933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00                 NaN   99.1182       0.772216       0.109567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00                 NaN   99.1275       0.765186       0.107328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00                 NaN   99.1374       0.756393       0.106186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00                 NaN   99.1429       0.752360       0.104778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.1593       0.737554       0.103112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00                 NaN   99.1642       0.733535       0.102231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00                 NaN   98.6882        1.15440       0.157424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00                 NaN   99.6701       0.289276       0.406112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.1910       0.710609       0.984217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
