|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/K22/K22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  2000.00        500.000        98.5000        1.48577       0.142353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        98.4922        1.49354       0.142366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        98.4845        1.50129       0.142380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        98.4767        1.50902       0.142393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        98.4690        1.51674       0.142406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        98.4613        1.52444       0.142419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        98.4536        1.53211       0.142432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        98.4460        1.53978       0.142445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        98.4383        1.54743       0.142458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        98.4307        1.55505       0.142471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        98.4231        1.56265       0.142484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        98.4155        1.57024       0.142497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        98.4079        1.57782       0.142510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        98.4004        1.58537       0.142523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        98.3928        1.59291       0.142536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        98.3853        1.60042       0.142549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        98.3778        1.60793       0.142562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        98.3703        1.61541       0.142575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        98.3626        1.62312       0.142588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        98.3553        1.63041       0.142601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        98.3477        1.63802       0.142614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        98.3406        1.64516       0.142626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        98.3332        1.65255       0.142639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        98.3258        1.65992       0.142652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        98.3185        1.66728       0.142665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        98.2964        1.67450       0.142640E-001  0.147948E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.5566       0.100372E-001            NaN  0.433381                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.5067                 NaN            NaN  0.493309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.3786                 NaN            NaN  0.621394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.4480       0.591654E-002            NaN  0.546071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.4622       0.144612E-002            NaN  0.536338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.4640       0.355686E-002            NaN  0.532491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.4688       0.579248E-002            NaN  0.525451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.4693                 NaN            NaN  0.530656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.4797       0.186860E-002            NaN  0.518427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.4793       0.149840E-002            NaN  0.519221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.4786                 NaN            NaN  0.521374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.4969       0.239285E-002            NaN  0.500677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.4926                 NaN            NaN  0.507357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.4987                 NaN            NaN  0.501288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.5000                 NaN            NaN  0.499996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4943       0.594146E-002            NaN  0.499765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.5249       0.422938E-002            NaN  0.470915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.2314                 NaN            NaN  0.768610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.7976                 NaN            NaN  0.202436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.5189                 NaN            NaN  0.481125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.5239       0.314809E-002            NaN  0.473001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.5242                 NaN            NaN  0.475785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.5277                 NaN            NaN  0.472314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5302                 NaN            NaN  0.469801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.5331                 NaN            NaN  0.466934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.5363                 NaN            NaN  0.463722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.5262                 NaN            NaN  0.473786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        98.1530                 NaN            NaN   1.83344       0.135289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.9784       0.530453E-003            NaN  0.208959E-001  0.211750E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.9884                 NaN            NaN  0.115618E-001  0.728899E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.6363                 NaN            NaN  0.354840       0.887165E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5434                 NaN            NaN  0.445873       0.107626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5462                 NaN            NaN  0.443064       0.106923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4895                 NaN            NaN  0.498406       0.121246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.6073                 NaN            NaN  0.383459       0.925398E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5505                 NaN            NaN  0.438889       0.106139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5519                 NaN            NaN  0.437564       0.105839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5535                 NaN            NaN  0.435955       0.105589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.6750                 NaN            NaN  0.317359       0.768450E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4357                 NaN            NaN  0.550958       0.133036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5563                 NaN            NaN  0.433277       0.104649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.5583                 NaN            NaN  0.431267       0.104062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5583                 NaN            NaN  0.431339       0.103932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5601                 NaN            NaN  0.429519       0.103349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
