|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.0071       0.371445       0.582012       0.394433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        98.9733       0.371481       0.615740       0.394471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        98.9396       0.371517       0.649475       0.394509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        98.9058       0.371553       0.683216       0.394547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        98.8720       0.371589       0.716964       0.394586E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        98.8382       0.371625       0.750718       0.394624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        98.8044       0.371661       0.784479       0.394662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        98.7706       0.371697       0.818246       0.394700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        98.7368       0.371733       0.852020       0.394738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        98.7037       0.371768       0.885012       0.394776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        98.6707       0.371803       0.918010       0.394813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.6377       0.371838       0.951014       0.394850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.6046       0.371873       0.984025       0.394888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.5716       0.371909        1.01704       0.394925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.5385       0.371944        1.05006       0.394962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.5054       0.371979        1.08309       0.395000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.4724       0.372014        1.11613       0.395037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.4279       0.372061        1.16058       0.395087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.3833       0.372109        1.20504       0.395138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.3388       0.372156        1.24951       0.395188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.2943       0.372203        1.29399       0.395238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.2497       0.372251        1.33848       0.395288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.2052       0.372298        1.38298       0.395339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.1606       0.372346        1.42750       0.395389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.1160       0.372393        1.47202       0.395439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.0967       0.372414        1.49135       0.395461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.0773       0.372434        1.51068       0.395483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.0580       0.372455        1.53002       0.395505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.0386       0.372475        1.54935       0.395527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.0193       0.372496        1.56869       0.395549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.9999       0.372516        1.58803       0.395570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.9805       0.372537        1.60737       0.395592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.9612       0.372558        1.62671       0.395614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        97.9301       0.372591        1.65779       0.395649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        97.8989       0.372624        1.68887       0.395684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        97.8606       0.366649        1.72210       0.395722E-001            NaN  0.111009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        96.1975       0.252265E-001   1.82639       0.384018E-001   1.27060       0.641914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        95.3781                 NaN   1.82954       0.376517E-001   2.06619       0.688513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        94.6684                 NaN   1.82525       0.369685E-001   2.78085       0.688504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.9703                 NaN   1.81913       0.362815E-001   3.48582       0.688492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        93.2722                 NaN   1.81301       0.355945E-001   4.19077       0.688479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        92.5956                 NaN   1.80354       0.349040E-001   4.87747       0.688460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        91.9191                 NaN   1.79408       0.342136E-001   5.56412       0.688440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        91.2427                 NaN   1.78462       0.335233E-001   6.25074       0.688421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        90.5663                 NaN   1.77516       0.328329E-001   6.93732       0.688402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        89.9068                 NaN   1.76169       0.321279E-001   7.61100       0.688375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        89.2474                 NaN   1.74821       0.314230E-001   8.28463       0.688348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        88.5909                 NaN   1.73242       0.307246E-001   8.94838       0.688316       0.925105E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        87.9301                 NaN   1.71415       0.300228E-001   9.60900       0.688279       0.284234E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        87.2867                 NaN   1.68941       0.292927E-001   10.2594       0.688230       0.470142E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        86.6433                 NaN   1.66468       0.285627E-001   10.9097       0.688180       0.656023E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        86.0000                 NaN   1.63996       0.278328E-001   11.5599       0.688131       0.841878E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        85.3568                 NaN   1.61523       0.271030E-001   12.2100       0.688082       0.102771                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        84.7137                 NaN   1.59051       0.263733E-001   12.8600       0.688032       0.121351                 NaN            NaN            NaN            NaN            NaN            NaN
