|6.6.6
Archiving\03_Data\eq/QFM_m5/TAY13/TAY13_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           iron           Ni             pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        97.0182       0.269929        2.70301       0.884677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.9991       0.265019        2.71432       0.884791E-002  0.127496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        96.9442       0.239821        2.72937       0.884964E-002  0.777446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        96.8899       0.214851        2.74428       0.885135E-002  0.142157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        96.8355       0.189870        2.75920       0.885307E-002  0.206606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        96.7820       0.165310        2.77385       0.885475E-002  0.269978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        96.7285       0.140738        2.78850       0.885644E-002  0.333385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        96.6750       0.116154        2.80317       0.885813E-002  0.396828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        96.6214       0.915594E-001   2.81784       0.885982E-002  0.460307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        96.5687       0.673482E-001   2.83225       0.886149E-002  0.522803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        96.5160       0.431259E-001   2.84668       0.886315E-002  0.585334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        96.4638       0.191358E-001   2.86097       0.886480E-002  0.647273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        96.4201                 NaN   2.87432       0.886631E-002  0.696711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        96.4102                 NaN   2.88411       0.886726E-002  0.696849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        96.4003                 NaN   2.89389       0.886821E-002  0.696987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.3903                 NaN   2.90369       0.886916E-002  0.697125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.3804                 NaN   2.91348       0.887012E-002  0.697263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.3707                 NaN   2.92307       0.887105E-002  0.697400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.3609                 NaN   2.93267       0.887199E-002  0.697536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.3512                 NaN   2.94227       0.887293E-002  0.697673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        96.3414                 NaN   2.95187       0.887387E-002  0.697809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        96.3317                 NaN   2.96148       0.887481E-002  0.697946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        96.3220                 NaN   2.97109       0.887575E-002  0.698083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        96.3122                 NaN   2.98070       0.887670E-002  0.698219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        96.3025                 NaN   2.99031       0.887764E-002  0.698356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        96.2929                 NaN   2.99976       0.887857E-002  0.698491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        96.2833                 NaN   3.00922       0.887950E-002  0.698627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.2821                 NaN   3.01030       0.887972E-002  0.698706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.1556                 NaN   3.02681       0.884890E-002  0.698932       0.109805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        95.5297                 NaN   3.02840       0.866057E-002  0.699262       0.733949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        94.9033                 NaN   3.02999       0.847209E-002  0.699591        1.35866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        94.2763                 NaN   3.03157       0.828345E-002  0.699920        1.98393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        93.6488                 NaN   3.03315       0.809466E-002  0.700247        2.60975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        93.0652                 NaN   3.03235       0.790526E-002  0.700542        3.19397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        92.4812                 NaN   3.03156       0.771573E-002  0.700836        3.77865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        91.8968                 NaN   3.03075       0.752605E-002  0.701129        4.36379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        91.3119                 NaN   3.02994       0.733625E-002  0.701421        4.94938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        90.7266                 NaN   3.02913       0.714630E-002  0.701713        5.53544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        90.1408                 NaN   3.02831       0.695622E-002  0.702003        6.12195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.5545                 NaN   3.02749       0.676601E-002  0.702292        6.70892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        88.9679                 NaN   3.02666       0.657567E-002  0.702581        7.29633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        88.4244                 NaN   3.02253       0.638090E-002  0.702832        7.84390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        87.8805                 NaN   3.01839       0.618602E-002  0.703082        8.39182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        87.3363                 NaN   3.01425       0.599103E-002  0.703331        8.94010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        86.7918                 NaN   3.01010       0.579592E-002  0.703579        9.48873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        86.2469                 NaN   3.00595       0.560071E-002  0.703826        10.0377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        85.7017                 NaN   3.00178       0.540538E-002  0.704072        10.5870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        85.1561                 NaN   2.99761       0.520994E-002  0.704317        11.1367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        84.6102                 NaN   2.99344       0.501439E-002  0.704561        11.6867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        84.0872                 NaN   2.98671       0.481381E-002  0.704780        12.2164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        83.5640                 NaN   2.97998       0.461313E-002  0.704998        12.7464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        83.0404                 NaN   2.97324       0.441235E-002  0.705215        13.2767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        82.5166                 NaN   2.96649       0.421148E-002  0.705431        13.8073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        82.0014                 NaN   2.95848       0.400807E-002  0.705635        14.3304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        81.4861                 NaN   2.95046       0.380457E-002  0.705837        14.8538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        80.9641                 NaN   2.94094       0.359539E-002  0.706042        15.3770       0.836880E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        80.4426                 NaN   2.93101       0.338754E-002  0.706244        15.8971       0.196100E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        79.9263                 NaN   2.91865       0.317021E-002  0.706430        16.4149       0.305038E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        79.4098                 NaN   2.90629       0.295280E-002  0.706614        16.9329       0.414034E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        78.8931                 NaN   2.89392       0.273530E-002  0.706798        17.4511       0.523089E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        78.3762                 NaN   2.88153       0.251773E-002  0.706980        17.9696       0.632201E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        77.8590                 NaN   2.86914       0.230008E-002  0.707161        18.4883       0.741370E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        77.3416                 NaN   2.85674       0.208235E-002  0.707341        19.0071       0.850595E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        76.8241                 NaN   2.84433       0.186454E-002  0.707520        19.5262       0.959877E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        76.3063                 NaN   2.83191       0.164666E-002  0.707698        20.0455       0.106921                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        75.7927                 NaN   2.81633       0.141747E-002  0.707854        20.5643       0.117400                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        75.2789                 NaN   2.80074       0.118821E-002  0.708009        21.0833       0.127883                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        74.7650                 NaN   2.78514       0.958890E-003  0.708162        21.6024       0.138371                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        74.2509                 NaN   2.76953       0.729506E-003  0.708315        22.1217       0.148863                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        73.7362                 NaN   2.75214       0.492641E-003  0.708456        22.6436       0.159137                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        73.2214                 NaN   2.73474       0.255721E-003  0.708596        23.1656       0.169416                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        72.7065                 NaN   2.71656                 NaN  0.708731        23.6886       0.179689                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        72.1952                 NaN   2.69790                 NaN  0.708861        24.2082       0.189785                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        71.6804                 NaN   2.67645                 NaN  0.708975        24.7346       0.199645                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        71.1654                 NaN   2.65499                 NaN  0.709089        25.2610       0.209508                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        70.6503                 NaN   2.63353                 NaN  0.709201        25.7876       0.219374                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        70.1352                 NaN   2.61205                 NaN  0.709311        26.3142       0.229243                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        69.6199                 NaN   2.59057                 NaN  0.709421        26.8410       0.239115                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        69.1046                 NaN   2.56908                 NaN  0.709529        27.3679       0.248989                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        68.5891                 NaN   2.54757                 NaN  0.709636        27.8948       0.258866                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        68.0736                 NaN   2.52606                 NaN  0.709742        28.4218       0.268746                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        67.5504                 NaN   2.49958                 NaN  0.709821        28.9619       0.278226                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        67.0272                 NaN   2.47309                 NaN  0.709900        29.5021       0.287707                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        66.5039                 NaN   2.44659                 NaN  0.709977        30.0423       0.297191                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        65.9806                 NaN   2.42009                 NaN  0.710053        30.5826       0.306676                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        65.4573                 NaN   2.39358                 NaN  0.710127        31.1228       0.316162                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        64.9339                 NaN   2.36706                 NaN  0.710200        31.6632       0.325650                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        64.4105                 NaN   2.34053                 NaN  0.710271        32.2035       0.335140                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        63.8871                 NaN   2.31399                 NaN  0.710341        32.7439       0.344631                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        63.3563                 NaN   2.28200                 NaN  0.710385        33.2975       0.353758                 NaN            NaN            NaN            NaN            NaN            NaN
