|6.6.6
Archiving\03_Data\eq/QFM_m2/Y98/Y98_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.2153       0.776305       0.836858E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2153       0.776376       0.836856E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2152       0.776447       0.836855E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2151       0.776517       0.836853E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2150       0.776588       0.836852E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2150       0.776659       0.836852E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2149       0.776730       0.836851E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2148       0.776801       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2148       0.776872       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2147       0.776943       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2146       0.777014       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2145       0.777085       0.836850E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2145       0.777156       0.836851E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2144       0.777227       0.836851E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2143       0.777299       0.836852E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2143       0.777370       0.836853E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2142       0.777442       0.836854E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2141       0.777513       0.836856E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2140       0.777584       0.836857E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2140       0.777656       0.836859E-002            NaN            NaN            NaN            NaN            NaN            NaN
