|6.6.6
Archiving\03_Data\eq/QFM_m2/Y98/Y98_1.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.0128       0.963561       0.236504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.0128       0.963560       0.236504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.0128       0.963559       0.236504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.0128       0.963558       0.236504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.0128       0.963557       0.236503E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.0128       0.963556       0.236503E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.0128       0.963555       0.236503E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.0128       0.963554       0.236503E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.0128       0.963553       0.236502E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.0128       0.963552       0.236502E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.0128       0.963551       0.236502E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.0128       0.963550       0.236502E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.0128       0.963549       0.236501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.0128       0.963548       0.236501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.0128       0.963547       0.236501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.0128       0.963546       0.236501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.0128       0.963545       0.236500E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.0128       0.963544       0.236500E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.0128       0.963543       0.236500E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.0128       0.963541       0.236500E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.0128       0.963540       0.236499E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.0128       0.963539       0.236499E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.0128       0.963538       0.236499E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.0128       0.963537       0.236498E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.0128       0.963535       0.236498E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.0128       0.963534       0.236498E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.0128       0.963533       0.236497E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.0128       0.963532       0.236497E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.0128       0.963530       0.236497E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.0128       0.963529       0.236497E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.0128       0.963528       0.236496E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.0128       0.963526       0.236496E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.0128       0.963525       0.236496E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.0128       0.963524       0.236495E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.0128       0.963522       0.236495E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.0128       0.963521       0.236495E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.0128       0.963520       0.236494E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.0128       0.963518       0.236494E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.0128       0.963517       0.236493E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.0128       0.963515       0.236493E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.0128       0.963514       0.236493E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.0128       0.963512       0.236492E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.0128       0.963511       0.236492E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.0128       0.963509       0.236492E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.0128       0.963508       0.236491E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.0128       0.963506       0.236491E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.0128       0.963505       0.236491E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.0128       0.963503       0.236490E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.0128       0.963502       0.236490E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.0129       0.963500       0.236489E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.0129       0.963498       0.236489E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.0129       0.963497       0.236489E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.0129       0.963495       0.236488E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.0129       0.963493       0.236488E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.0129       0.963491       0.236487E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.0129       0.963490       0.236487E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.0129       0.963488       0.236486E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.0129       0.963486       0.236486E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.0129       0.963484       0.236486E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.0129       0.963483       0.236485E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.0129       0.963481       0.236485E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.0129       0.963479       0.236484E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.0129       0.963477       0.236484E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.0129       0.963475       0.236483E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.0129       0.963473       0.236483E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.0129       0.963471       0.236482E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.0129       0.963469       0.236482E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.0129       0.963467       0.236481E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.0129       0.963465       0.236481E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.0129       0.963463       0.236480E-001            NaN            NaN            NaN            NaN            NaN            NaN
