|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1520.27        2500.00                 NaN   99.4037                 NaN            NaN            NaN            NaN  0.596275                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        2500.00                 NaN   99.4051                 NaN            NaN            NaN  0.160057E-001  0.578905                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN   99.4074                 NaN            NaN            NaN  0.845779E-001  0.507985                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00                 NaN   99.4018                 NaN            NaN            NaN  0.156924E-001  0.582548                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00                 NaN   99.4037                 NaN  0.383955E-005            NaN            NaN  0.596292                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        2500.00                 NaN   99.4010                 NaN  0.823193E-005            NaN            NaN  0.599016                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN   99.4000                 NaN  0.165444E-005            NaN            NaN  0.599954                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        2500.00                 NaN   99.3990                 NaN            NaN            NaN            NaN  0.600975                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN   99.3962                 NaN            NaN            NaN            NaN  0.603811                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        2500.00                 NaN   99.3516                 NaN            NaN            NaN            NaN  0.648446                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        2500.00                 NaN   99.4649                 NaN            NaN            NaN            NaN  0.535091                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00                 NaN   99.3582                 NaN  0.256269E-005            NaN            NaN  0.641807                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        2500.00       0.229032E-002   99.3804                 NaN            NaN            NaN            NaN  0.617303                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        2500.00       0.421462E-002   99.3714                 NaN            NaN            NaN            NaN  0.624387                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00       0.415344E-002   99.3665                 NaN            NaN            NaN            NaN  0.629366                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        2500.00       0.410444E-002   99.3589                 NaN            NaN            NaN            NaN  0.637038                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        2500.00       0.404873E-002   99.3495                 NaN            NaN            NaN            NaN  0.646416                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00       0.308049E-002   99.1730                 NaN            NaN            NaN            NaN  0.350565       0.473318                 NaN            NaN            NaN            NaN            NaN
  1494.82        2500.00       0.230599E-002   99.0509                 NaN  0.133579E-005            NaN            NaN  0.335269       0.611495                 NaN            NaN            NaN            NaN            NaN
  1493.41        2500.00       0.224276E-002   99.0593                 NaN            NaN            NaN            NaN  0.332717       0.605706                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00       0.217142E-002   99.0670                 NaN            NaN            NaN            NaN  0.330173       0.600704                 NaN            NaN            NaN            NaN            NaN
  1490.58        2500.00       0.211140E-002   99.0760                 NaN  0.162568E-005            NaN            NaN  0.594235       0.327605                 NaN            NaN            NaN            NaN            NaN
  1489.17        2500.00       0.205084E-002   99.0836                 NaN            NaN            NaN            NaN  0.325166       0.589212                 NaN            NaN            NaN            NaN            NaN
  1487.76        2500.00       0.198242E-002   99.0914                 NaN            NaN            NaN            NaN  0.322544       0.584054                 NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00       0.193050E-002   99.0997                 NaN            NaN            NaN            NaN  0.320409       0.577913                 NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00       0.188496E-002   99.1069                 NaN            NaN            NaN            NaN  0.572655       0.318579                 NaN            NaN            NaN            NaN            NaN
  1483.51        2500.00       0.181382E-002   99.1158                 NaN            NaN            NaN            NaN  0.315705       0.566719                 NaN            NaN            NaN            NaN            NaN
  1482.10        2500.00       0.175230E-002   99.1222                 NaN            NaN            NaN            NaN  0.313717       0.562367                 NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00       0.308226E-002   98.3062                 NaN            NaN            NaN            NaN   1.08706       0.603614                 NaN            NaN            NaN            NaN            NaN
  1479.27        2500.00       0.672680E-004   99.9709                 NaN            NaN            NaN            NaN  0.109939E-001  0.180163E-001            NaN            NaN            NaN            NaN            NaN
  1477.86        2500.00       0.158917E-002   99.1437                 NaN            NaN            NaN            NaN  0.548024       0.306651                 NaN            NaN            NaN            NaN            NaN
  1476.45        2500.00       0.152941E-002   99.1508                 NaN            NaN            NaN            NaN  0.304956       0.542744                 NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00       0.148134E-002   99.1571                 NaN            NaN            NaN            NaN  0.302752       0.538624                 NaN            NaN            NaN            NaN            NaN
  1473.62        2500.00       0.142688E-002   99.1632                 NaN            NaN            NaN            NaN  0.534834       0.300505                 NaN            NaN            NaN            NaN            NaN
  1472.20        2500.00       0.138126E-002   99.1700                 NaN            NaN            NaN            NaN  0.298118       0.530513                 NaN            NaN            NaN            NaN            NaN
  1470.79        2500.00       0.132543E-002   99.1746                 NaN            NaN            NaN            NaN  0.527199       0.296916                 NaN            NaN            NaN            NaN            NaN
  1469.38        2500.00       0.126119E-002   99.1830                 NaN            NaN            NaN            NaN  0.521427       0.294347                 NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00       0.125386E-002   99.1893                 NaN            NaN            NaN            NaN  0.517610       0.291836                 NaN            NaN            NaN            NaN            NaN
  1466.55        2500.00       0.120440E-002   99.1945                 NaN            NaN            NaN            NaN  0.513934       0.290348                 NaN            NaN            NaN            NaN            NaN
  1465.14        2500.00       0.114810E-002   99.2001                 NaN            NaN            NaN            NaN  0.510008       0.288718                 NaN            NaN            NaN            NaN            NaN
  1463.72        2500.00       0.110420E-002   99.2067                 NaN            NaN            NaN            NaN  0.505965       0.286235                 NaN            NaN            NaN            NaN            NaN
  1462.31        2500.00       0.107156E-002   99.2109                 NaN            NaN            NaN            NaN  0.284883       0.503137                 NaN            NaN            NaN            NaN            NaN
  1460.89        2500.00       0.102589E-002   99.2171                 NaN            NaN            NaN            NaN  0.499579       0.282312                 NaN            NaN            NaN            NaN            NaN
  1459.48        2500.00       0.989769E-003   99.2229                 NaN            NaN            NaN            NaN  0.280673       0.495430                 NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.930512E-003   99.2284                 NaN  0.162509E-005            NaN            NaN  0.491889       0.278793                 NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00       0.905455E-003   99.2321                 NaN            NaN            NaN            NaN  0.277404       0.489577                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00       0.869434E-003   99.2390                 NaN            NaN            NaN            NaN  0.275151       0.484986                 NaN            NaN            NaN            NaN            NaN
  1453.82        2500.00       0.831052E-003   99.2439                 NaN            NaN            NaN            NaN  0.481832       0.273475                 NaN            NaN            NaN            NaN            NaN
  1452.41        2500.00       0.758958E-003   99.2453                 NaN            NaN            NaN            NaN  0.272156       0.481801                 NaN            NaN            NaN            NaN            NaN
  1451.00        2500.00       0.754770E-003   99.2559                 NaN            NaN            NaN            NaN  0.269865       0.473441                 NaN            NaN            NaN            NaN            NaN
  1449.58        2500.00       0.722199E-003   99.2583                 NaN            NaN            NaN            NaN  0.268216       0.472789                 NaN            NaN            NaN            NaN            NaN
  1448.17        2500.00       0.688691E-003   99.2620                 NaN  0.222552E-004            NaN            NaN  0.266696       0.470578                 NaN            NaN            NaN            NaN            NaN
  1446.76        2500.00       0.656018E-003   99.2638                 NaN            NaN            NaN            NaN  0.470219       0.265280                 NaN            NaN            NaN            NaN            NaN
  1445.34        2500.00       0.697690E-003   99.1789                 NaN            NaN            NaN            NaN  0.294472       0.525956                 NaN            NaN            NaN            NaN            NaN
  1443.93        2500.00       0.506926E-003   99.3709                 NaN            NaN            NaN            NaN  0.227472       0.401100                 NaN            NaN            NaN            NaN            NaN
  1442.51        2500.00       0.567603E-003   99.2793                 NaN            NaN            NaN            NaN  0.260344       0.459823                 NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00       0.529530E-003   99.2835                 NaN            NaN            NaN            NaN  0.258596       0.457336                 NaN            NaN            NaN            NaN            NaN
  1439.69        2500.00       0.501872E-003   99.2885                 NaN            NaN            NaN            NaN  0.454079       0.256961                 NaN            NaN            NaN            NaN            NaN
  1438.27        2500.00       0.479862E-003   99.2920                 NaN            NaN            NaN            NaN  0.452220       0.255324                 NaN            NaN            NaN            NaN            NaN
  1436.86        2500.00       0.458889E-003   99.2951                 NaN            NaN            NaN            NaN  0.450547       0.253926                 NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00       0.432438E-003   99.2994                 NaN            NaN            NaN            NaN  0.252327       0.447891                 NaN            NaN            NaN            NaN            NaN
  1434.03        2500.00       0.402111E-003   99.3030                 NaN            NaN            NaN            NaN  0.445954       0.250636                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.359743E-003   99.3056                 NaN            NaN            NaN            NaN  0.249696       0.444383                 NaN            NaN            NaN            NaN            NaN
  1431.20        2500.00       0.315524E-003   99.3081                 NaN            NaN            NaN            NaN  0.247957       0.443620                 NaN            NaN            NaN            NaN            NaN
  1429.79        2500.00       0.291261E-003   99.3066                 NaN            NaN            NaN            NaN  0.444011       0.249084                 NaN            NaN            NaN            NaN            NaN
  1428.38        2500.00       0.309492E-003   99.3245                 NaN            NaN            NaN            NaN  0.242345       0.432861                 NaN            NaN            NaN            NaN            NaN
  1426.96        2500.00                 NaN   98.7400                 NaN            NaN            NaN            NaN  0.485675       0.416621       0.357678                 NaN            NaN            NaN            NaN
  1425.55        2500.00                 NaN   98.1475                 NaN            NaN            NaN            NaN  0.546498       0.723657       0.582311                 NaN            NaN            NaN            NaN
  1424.14        2500.00                 NaN   98.3931                 NaN            NaN            NaN            NaN  0.473926       0.628081       0.504844                 NaN            NaN            NaN            NaN
  1422.72        2500.00                 NaN   98.4181                 NaN            NaN            NaN            NaN  0.466507       0.618472       0.496877                 NaN            NaN            NaN            NaN
  1421.31        2500.00                 NaN   98.4142                 NaN  0.101700                 NaN            NaN  0.501009       0.460177       0.522941                 NaN            NaN            NaN            NaN
  1419.89        2500.00                 NaN   98.4098                 NaN  0.210589                 NaN            NaN  0.539010       0.289876       0.550706                 NaN            NaN            NaN            NaN
  1418.48        2500.00                 NaN   98.4346                 NaN  0.209511                 NaN            NaN  0.532671       0.280524       0.542676                 NaN            NaN            NaN            NaN
  1417.07        2500.00                 NaN   98.4579                 NaN  0.208934                 NaN            NaN  0.526634       0.271227       0.535314                 NaN            NaN            NaN            NaN
  1415.65        2500.00                 NaN   98.4812                 NaN  0.207710                 NaN            NaN  0.262170       0.521845       0.527047                 NaN            NaN            NaN            NaN
  1414.24        2500.00                 NaN   98.5026                 NaN  0.207176                 NaN            NaN  0.516661       0.253404       0.520110                 NaN            NaN            NaN            NaN
  1412.83        2500.00                 NaN   98.5242                 NaN  0.206575                 NaN            NaN  0.511501       0.244629       0.513128                 NaN            NaN            NaN            NaN
  1411.41        2500.00                 NaN   98.5457                 NaN  0.205483                 NaN            NaN  0.506039       0.237049       0.505718                 NaN            NaN            NaN            NaN
  1410.00        2500.00                 NaN   98.5659                 NaN  0.204870                 NaN            NaN  0.228655       0.501460       0.499087                 NaN            NaN            NaN            NaN
  1408.58        2500.00                 NaN   98.5845                 NaN  0.204265                 NaN            NaN  0.221282       0.497027       0.492903                 NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.6068                 NaN  0.203163                 NaN            NaN  0.491435       0.213221       0.485367                 NaN            NaN            NaN            NaN
  1405.76        2500.00                 NaN   98.6253                 NaN  0.202422                 NaN            NaN  0.487317       0.205816       0.479097                 NaN            NaN            NaN            NaN
  1404.34        2500.00                 NaN   98.6818                 NaN  0.197289                 NaN            NaN  0.191288       0.469553       0.460052                 NaN            NaN            NaN            NaN
  1402.93        2500.00                 NaN   98.6231                 NaN  0.205373                 NaN            NaN  0.491486       0.200438       0.479589                 NaN            NaN            NaN            NaN
  1401.51        2500.00                 NaN   98.6797                 NaN  0.200207                 NaN            NaN  0.183986       0.475008       0.461050                 NaN            NaN            NaN            NaN
  1400.10        2500.00                 NaN   98.6983                 NaN  0.199054                 NaN            NaN  0.177855       0.470288       0.454521                 NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.7152                 NaN  0.198267                 NaN            NaN  0.171425       0.466354       0.448774                 NaN            NaN            NaN            NaN
  1397.27        2500.00                 NaN   98.7305                 NaN  0.197637                 NaN            NaN  0.164548       0.463694       0.443606                 NaN            NaN            NaN            NaN
  1395.86        2500.00                 NaN   98.7481                 NaN  0.196571                 NaN            NaN  0.158850       0.458942       0.437561                 NaN            NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.7621                 NaN  0.196120                 NaN            NaN  0.152249       0.456727       0.432769                 NaN            NaN            NaN            NaN
  1393.03        2500.00                 NaN   98.7797                 NaN  0.194535                 NaN            NaN  0.147710       0.451496       0.426535                 NaN            NaN            NaN            NaN
  1391.62        2500.00                 NaN   98.7822                 NaN  0.193917                 NaN            NaN  0.452458       0.145289       0.426110                 NaN            NaN            NaN            NaN
  1390.20        2500.00                 NaN   98.8199                 NaN  0.193207                 NaN            NaN  0.441980       0.132303       0.412592                 NaN            NaN            NaN            NaN
  1388.79        2500.00                 NaN   98.8238                 NaN  0.191993                 NaN            NaN  0.442339       0.130377       0.411482                 NaN            NaN            NaN            NaN
  1387.38        2500.00                 NaN   98.8389                 NaN  0.190712                 NaN            NaN  0.125258       0.439175       0.405920                 NaN            NaN            NaN            NaN
  1385.96        2500.00                 NaN   98.8506                 NaN  0.190509                 NaN            NaN  0.436603       0.120053       0.402237                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.8671                 NaN  0.188303                 NaN            NaN  0.116601       0.431868       0.396085                 NaN            NaN            NaN            NaN
  1383.14        2500.00                 NaN   98.8793                 NaN  0.187989                 NaN            NaN  0.110876       0.429713       0.392093                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   98.8919                 NaN  0.186617                 NaN            NaN  0.106279       0.427675       0.387494                 NaN            NaN            NaN            NaN
  1380.31        2500.00                 NaN   98.9059                 NaN  0.185390                 NaN            NaN  0.101901       0.424211       0.382565                 NaN            NaN            NaN            NaN
  1378.89        2500.00                 NaN   98.9184                 NaN  0.184273                 NaN            NaN  0.421356       0.978240E-001  0.378155                 NaN            NaN            NaN            NaN
  1377.48        2500.00                 NaN   98.9271                 NaN  0.185206                 NaN            NaN  0.421607       0.904774E-001  0.375649                 NaN            NaN            NaN            NaN
  1376.07        2500.00                 NaN   98.9439                 NaN  0.179828                 NaN            NaN  0.936909E-001  0.414473       0.368125                 NaN            NaN            NaN            NaN
  1374.65        2500.00                 NaN   98.9542                 NaN  0.180360                 NaN            NaN  0.414369       0.860035E-001  0.365093                 NaN            NaN            NaN            NaN
  1373.24        2500.00                 NaN   98.9651                 NaN  0.179222                 NaN            NaN  0.412721       0.818637E-001  0.361078                 NaN            NaN            NaN            NaN
  1371.83        2500.00                 NaN   98.9738                 NaN  0.178151                 NaN            NaN  0.411181       0.786768E-001  0.358217                 NaN            NaN            NaN            NaN
  1370.41        2500.00                 NaN   98.9900                 NaN  0.175950                 NaN            NaN  0.761271E-001  0.405793       0.352085                 NaN            NaN            NaN            NaN
  1369.00        2500.00                 NaN   98.9994                 NaN  0.175024                 NaN            NaN  0.404629       0.721112E-001  0.348804                 NaN            NaN            NaN            NaN
  1367.58        2500.00                 NaN   99.0097                 NaN  0.173430                 NaN            NaN  0.402441       0.696075E-001  0.344826                 NaN            NaN            NaN            NaN
  1366.17        2500.00                 NaN   99.0207                 NaN  0.171624                 NaN            NaN  0.668704E-001  0.400218       0.340594                 NaN            NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.0300                 NaN  0.170363                 NaN            NaN  0.398563       0.639380E-001  0.337157                 NaN            NaN            NaN            NaN
  1363.34        2500.00                 NaN   99.0400                 NaN  0.168667                 NaN            NaN  0.396460       0.614776E-001  0.333414                 NaN            NaN            NaN            NaN
  1361.93        2500.00                 NaN   99.0424                 NaN  0.167839                 NaN            NaN  0.602130E-001  0.396937       0.332581                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.0666                 NaN  0.164484                 NaN            NaN  0.390330       0.554025E-001  0.323206                 NaN            NaN            NaN            NaN
  1359.10        2500.00                 NaN   99.0670                 NaN  0.163609                 NaN            NaN  0.538838E-001  0.392333       0.323184                 NaN            NaN            NaN            NaN
  1357.69        2500.00                 NaN   99.0793                 NaN  0.161207                 NaN            NaN  0.388174       0.531802E-001  0.318095                 NaN            NaN            NaN            NaN
  1356.27        2500.00                 NaN   99.0872                 NaN  0.159819                 NaN            NaN  0.386103       0.515549E-001  0.315341                 NaN            NaN            NaN            NaN
  1354.86        2500.00                 NaN   99.0964                 NaN  0.158008                 NaN            NaN  0.384827       0.489906E-001  0.311734                 NaN            NaN            NaN            NaN
  1353.45        2500.00                 NaN   99.1023                 NaN  0.155552                 NaN            NaN  0.384581       0.486807E-001  0.308851                 NaN            NaN            NaN            NaN
  1352.03        2500.00                 NaN   99.1126                 NaN  0.153799                 NaN            NaN  0.382287       0.461518E-001  0.305154                 NaN            NaN            NaN            NaN
  1350.62        2500.00                 NaN   99.1209                 NaN  0.151646                 NaN            NaN  0.379838       0.458860E-001  0.301774                 NaN            NaN            NaN            NaN
  1349.20        2500.00                 NaN   98.7444                 NaN  0.225114                 NaN            NaN  0.555801       0.408550E-001  0.433864                 NaN            NaN            NaN            NaN
  1347.79        2500.00                 NaN   99.5180                 NaN  0.705413E-001            NaN            NaN  0.553528E-001  0.195959       0.160103                 NaN            NaN            NaN            NaN
  1346.38        2500.00                 NaN   99.1443                 NaN  0.145384                 NaN            NaN  0.375786       0.421240E-001  0.292420                 NaN            NaN            NaN            NaN
  1344.96        2500.00                 NaN   99.1518                 NaN  0.142780                 NaN            NaN  0.424921E-001  0.373774       0.289131                 NaN            NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.1586                 NaN  0.140529                 NaN            NaN  0.424095E-001  0.372205       0.286282                 NaN            NaN            NaN            NaN
  1342.14        2500.00                 NaN   99.1658                 NaN  0.138237                 NaN            NaN  0.416923E-001  0.370877       0.283363                 NaN            NaN            NaN            NaN
  1340.72        2500.00                 NaN   99.1717                 NaN  0.135890                 NaN            NaN  0.413009E-001  0.370334       0.280775                 NaN            NaN            NaN            NaN
  1339.31        2500.00                 NaN   99.1798                 NaN  0.132945                 NaN            NaN  0.368208       0.418133E-001  0.277199                 NaN            NaN            NaN            NaN
  1337.89        2500.00                 NaN   99.1857                 NaN  0.130781                 NaN            NaN  0.367708       0.411040E-001  0.274687                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.1920                 NaN  0.128000                 NaN            NaN  0.365484       0.425217E-001  0.271991                 NaN            NaN            NaN            NaN
  1335.07        2500.00                 NaN   99.1983                 NaN  0.125687                 NaN            NaN  0.420660E-001  0.364581       0.269400                 NaN            NaN            NaN            NaN
  1333.65        2500.00                 NaN   99.2042                 NaN  0.122630                 NaN            NaN  0.362849       0.436795E-001  0.266687                 NaN            NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.2056                 NaN  0.115294                 NaN            NaN  0.640115E-001  0.350668       0.264444                 NaN            NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.1330                 NaN  0.118847                 NaN            NaN  0.423935                 NaN  0.286060       0.381891E-001            NaN            NaN            NaN
  1329.41        2500.00                 NaN   99.1341                 NaN  0.116817                 NaN            NaN  0.422915                 NaN  0.285234       0.409274E-001            NaN            NaN            NaN
  1328.00        2500.00                 NaN   99.1456                 NaN  0.116123                 NaN            NaN  0.416230                 NaN  0.281840       0.401944E-001            NaN            NaN            NaN
  1326.58        2500.00                 NaN   99.1569                 NaN  0.114273                 NaN            NaN  0.411748                 NaN  0.277735       0.393373E-001            NaN            NaN            NaN
  1325.17        2500.00                 NaN   99.1676                 NaN  0.113793                 NaN            NaN  0.405426                 NaN  0.274526       0.386680E-001            NaN            NaN            NaN
  1323.76        2500.00                 NaN   99.1769                 NaN  0.111577                 NaN            NaN  0.402551                 NaN  0.271132       0.378846E-001            NaN            NaN            NaN
  1322.34        2500.00                 NaN   99.1876                 NaN  0.111268                 NaN            NaN  0.395655                 NaN  0.268234       0.372468E-001            NaN            NaN            NaN
  1320.93        2500.00                 NaN   99.1978                 NaN  0.109114                 NaN            NaN  0.392775                 NaN  0.263954       0.364010E-001            NaN            NaN            NaN
  1319.52        2500.00                 NaN   99.2058                 NaN  0.106731                 NaN            NaN  0.390389                 NaN  0.261391       0.356733E-001            NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.2162                 NaN  0.105869                 NaN            NaN  0.384848                 NaN  0.258091       0.350121E-001            NaN            NaN            NaN
  1316.69        2500.00                 NaN   99.2248                 NaN  0.103954                 NaN            NaN  0.381884                 NaN  0.255053       0.343338E-001            NaN            NaN            NaN
  1315.27        2500.00                 NaN   99.2344                 NaN  0.102028                 NaN            NaN  0.378244                 NaN  0.251731       0.335727E-001            NaN            NaN            NaN
  1313.86        2500.00                 NaN   99.2586                 NaN  0.112371                 NaN            NaN  0.343946                 NaN  0.251532       0.335713E-001            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.2382                 NaN  0.899221E-001            NaN            NaN  0.396793                 NaN  0.243171       0.319298E-001            NaN            NaN            NaN
  1311.03        2500.00                 NaN   99.2607                 NaN  0.976939E-001            NaN            NaN  0.367069                 NaN  0.242916       0.316449E-001            NaN            NaN            NaN
  1309.62        2500.00                 NaN   99.2684                 NaN  0.949699E-001            NaN            NaN  0.365655                 NaN  0.240064       0.309455E-001            NaN            NaN            NaN
  1308.21        2500.00                 NaN   99.2755                 NaN  0.938892E-001            NaN            NaN  0.362276                 NaN  0.237877       0.304501E-001            NaN            NaN            NaN
  1306.79        2500.00                 NaN   99.2862                 NaN  0.911756E-001            NaN            NaN  0.358971                 NaN  0.234032       0.295804E-001            NaN            NaN            NaN
  1305.38        2500.00                 NaN   99.2921                 NaN  0.901911E-001            NaN            NaN  0.356859                 NaN  0.231739       0.291048E-001            NaN            NaN            NaN
  1303.96        2500.00                 NaN   99.2991                 NaN  0.877063E-001            NaN            NaN  0.355392                 NaN  0.229350       0.284417E-001            NaN            NaN            NaN
  1302.55        2500.00                 NaN   99.3068                 NaN  0.867505E-001            NaN            NaN  0.351600                 NaN  0.226961       0.278634E-001            NaN            NaN            NaN
  1301.14        2500.00                 NaN   77.8585                 NaN   1.32013                 NaN            NaN   3.57446                 NaN   3.05012       0.527525        13.6693                 NaN            NaN
