|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/TAY13/TAY13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000       0.130161E-001   99.9040       0.829828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000                 NaN   99.6353                 NaN  0.364737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000                 NaN   99.4091       0.443751E-002  0.586502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000                 NaN   99.4157       0.269061E-001  0.557421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000                 NaN   99.4204       0.277746E-001  0.551873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000                 NaN   99.4285       0.254785E-001  0.546004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000                 NaN   99.4318       0.247190E-001  0.543475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000                 NaN   99.4391       0.258117E-001  0.535081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000                 NaN   99.4424       0.242965E-001  0.533328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000                 NaN   99.6343       0.168137E-001  0.348936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000                 NaN   99.2687       0.327098E-001  0.698543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000                 NaN   99.4562       0.228569E-001  0.520977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000                 NaN   99.4629       0.213326E-001  0.515720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000                 NaN   99.4628       0.213477E-001  0.515862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000                 NaN   99.4719       0.208808E-001  0.507193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000                 NaN   99.4748       0.204235E-001  0.504815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000                 NaN   99.4838       0.189803E-001  0.497190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000                 NaN   99.4774       0.160311E-001  0.506606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000                 NaN   99.4934       0.186146E-001  0.487992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000                 NaN   99.4931       0.173456E-001  0.489566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000                 NaN   99.4965       0.171153E-001  0.486433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000                 NaN   99.5013       0.159846E-001  0.482731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000                 NaN   99.5040       0.147497E-001  0.481238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000                 NaN   99.5075       0.138490E-001  0.478614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000                 NaN   99.5058       0.153911E-001  0.478822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000                 NaN   99.5241       0.139912E-001  0.461940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000                 NaN   99.5191       0.121960E-001  0.468676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000                 NaN   99.5226       0.105188E-001  0.466896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000                 NaN   99.5275       0.124429E-001  0.460107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000                 NaN   99.5319       0.111013E-001  0.456960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000                 NaN   99.5335       0.974376E-002  0.456765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000                 NaN   99.5421       0.305587E-001  0.427349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000                 NaN   99.5393                 NaN  0.460709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000                 NaN   99.5490       0.391032E-001  0.411945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000                 NaN   99.5466                 NaN  0.453447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000                 NaN   99.5512                 NaN  0.448847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000                 NaN   99.5566       0.926562E-002  0.434089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000                 NaN   99.5677       0.901008E-001  0.342167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        500.000                 NaN   99.5614       0.192822E-001  0.419325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000                 NaN   99.5693                 NaN  0.430733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000                 NaN   99.5679                 NaN  0.432141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000                 NaN   99.5698                 NaN  0.430229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000                 NaN   99.6082       0.220471       0.171327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000                 NaN   99.5822                 NaN  0.417792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000                 NaN   99.5772                 NaN  0.422762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        500.000                 NaN   99.5801                 NaN  0.419856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        500.000                 NaN   99.5863                 NaN  0.413651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   99.5877                 NaN  0.412314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        500.000                 NaN   99.4816                 NaN  0.518401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000                 NaN   99.7559                 NaN  0.244090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        500.000                 NaN   99.5337                 NaN  0.466282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        500.000                 NaN   99.6008                 NaN  0.399200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        500.000                 NaN   99.6003                 NaN  0.399745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000                 NaN   99.7082                 NaN  0.291840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        500.000                 NaN   99.5004                 NaN  0.499620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
