|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1400.64        500.000        99.9702       0.473916E-002  0.250872E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1399.64        500.000        98.9460       0.100209       0.323542       0.347922       0.282322                 NaN            NaN            NaN            NaN
  1398.63        500.000        98.8426       0.953043E-001  0.338185       0.341744       0.382198                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.8743       0.952201E-001  0.329090       0.370893       0.330472                 NaN            NaN            NaN            NaN
  1396.62        500.000        98.8618       0.918951E-001  0.332297       0.340229       0.373795                 NaN            NaN            NaN            NaN
  1395.62        500.000        98.9145       0.100232       0.318620       0.361571       0.305045                 NaN            NaN            NaN            NaN
  1394.62        500.000        98.9067       0.971640E-001  0.320346       0.313085       0.362677                 NaN            NaN            NaN            NaN
  1393.61        500.000        98.9182       0.972741E-001  0.317085       0.360060       0.307384                 NaN            NaN            NaN            NaN
  1392.61        500.000        98.9303       0.982110E-001  0.313675       0.356715       0.301144                 NaN            NaN            NaN            NaN
  1391.60        500.000        98.9424       0.985597E-001  0.310284       0.295496       0.353274                 NaN            NaN            NaN            NaN
  1390.60        500.000        98.9541       0.991430E-001  0.306978       0.289090       0.350639                 NaN            NaN            NaN            NaN
  1389.59        500.000        98.9620       0.982367E-001  0.304817       0.347964       0.286985                 NaN            NaN            NaN            NaN
  1388.59        500.000        98.9795       0.100719       0.299845       0.343678       0.276262                 NaN            NaN            NaN            NaN
  1387.59        500.000        98.9868       0.100136       0.297691       0.341679       0.273683                 NaN            NaN            NaN            NaN
  1386.58        500.000        98.9974       0.100828       0.294760       0.339222       0.267775                 NaN            NaN            NaN            NaN
  1385.58        500.000        99.0094       0.101000       0.291348       0.336049       0.262181                 NaN            NaN            NaN            NaN
  1384.57        500.000        99.0182       0.101497       0.288922       0.257588       0.333815                 NaN            NaN            NaN            NaN
  1383.57        500.000        99.0293       0.102107       0.285812       0.251953       0.330872                 NaN            NaN            NaN            NaN
  1382.57        500.000        98.8784       0.461591E-002  0.305947       0.497062       0.314003                 NaN            NaN            NaN            NaN
  1381.56        500.000        99.1667       0.179932       0.268250       0.816951E-001  0.303469                 NaN            NaN            NaN            NaN
  1380.56        500.000        99.1167       0.126944       0.263097       0.140510       0.352755                 NaN            NaN            NaN            NaN
  1379.55        500.000        99.0683       0.103222       0.274549       0.233216       0.320747                 NaN            NaN            NaN            NaN
  1378.55        500.000        99.0765       0.103475       0.272245       0.318688       0.229117                 NaN            NaN            NaN            NaN
  1377.55        500.000        99.0874       0.103852       0.269078       0.315959       0.223753                 NaN            NaN            NaN            NaN
  1376.54        500.000        98.9824       0.116663       0.299896       0.247703       0.353375                 NaN            NaN            NaN            NaN
  1375.54        500.000        99.2158       0.917409E-001  0.231321       0.188342       0.272843                 NaN            NaN            NaN            NaN
  1374.53        500.000        99.1137       0.104536       0.261475       0.309113       0.211156                 NaN            NaN            NaN            NaN
  1373.53        500.000        99.1222       0.105517       0.259195       0.307097       0.206035                 NaN            NaN            NaN            NaN
  1372.52        500.000        99.1310       0.105272       0.256620       0.303851       0.203218                 NaN            NaN            NaN            NaN
  1371.52        500.000        99.1399       0.105419       0.253923       0.198907       0.301895                 NaN            NaN            NaN            NaN
  1370.52        500.000        99.1487       0.106067       0.251526       0.299912       0.193831                 NaN            NaN            NaN            NaN
  1369.51        500.000        98.3293       0.215980       0.494745       0.364754       0.595194                 NaN            NaN            NaN            NaN
  1368.51        500.000        99.9963       0.195887E-002  0.173150E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1367.50        500.000        99.1811       0.100599       0.240902       0.188297       0.289093                 NaN            NaN            NaN            NaN
  1366.50        500.000        99.1794       0.105750       0.242292       0.292400       0.180173                 NaN            NaN            NaN            NaN
  1365.50        500.000        99.1855       0.106102       0.240509       0.291487       0.176361                 NaN            NaN            NaN            NaN
  1364.49        500.000        99.1944       0.106450       0.238038       0.288624       0.172511                 NaN            NaN            NaN            NaN
