|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          an             Cpx(TH)        Cpx(TH)        Cpx(TH)        San(TH)        ilm            q             
  1400.64        500.000        99.9710       0.362281E-002  0.254202E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1399.64        500.000        99.0752       0.766047E-001  0.328103       0.285110       0.234958                 NaN            NaN            NaN            NaN
  1398.63        500.000        98.9870       0.726933E-001  0.342828       0.279706       0.317741                 NaN            NaN            NaN            NaN
  1397.63        500.000        99.0155       0.725737E-001  0.333424       0.308195       0.270330                 NaN            NaN            NaN            NaN
  1396.62        500.000        99.0051       0.699334E-001  0.336504       0.278066       0.310369                 NaN            NaN            NaN            NaN
  1395.62        500.000        99.0524       0.761556E-001  0.322468       0.299939       0.249051                 NaN            NaN            NaN            NaN
  1394.62        500.000        99.0462       0.737337E-001  0.324050       0.255388       0.300624                 NaN            NaN            NaN            NaN
  1393.61        500.000        99.0571       0.737011E-001  0.320578       0.298174       0.250494                 NaN            NaN            NaN            NaN
  1392.61        500.000        99.0684       0.742936E-001  0.316958       0.295138       0.245169                 NaN            NaN            NaN            NaN
  1391.60        500.000        99.0798       0.744516E-001  0.313361       0.240346       0.292074                 NaN            NaN            NaN            NaN
  1390.60        500.000        99.0908       0.747830E-001  0.309851       0.234916       0.289673                 NaN            NaN            NaN            NaN
  1389.59        500.000        99.0983       0.739748E-001  0.307501       0.287213       0.232998                 NaN            NaN            NaN            NaN
  1388.59        500.000        99.1145       0.757377E-001  0.302316       0.283402       0.224049                 NaN            NaN            NaN            NaN
  1387.59        500.000        99.1216       0.751770E-001  0.299978       0.281509       0.221741                 NaN            NaN            NaN            NaN
  1386.58        500.000        99.1315       0.755962E-001  0.296857       0.279277       0.216769                 NaN            NaN            NaN            NaN
  1385.58        500.000        99.1427       0.756125E-001  0.293255       0.276414       0.212031                 NaN            NaN            NaN            NaN
  1384.57        500.000        99.1510       0.758794E-001  0.290650       0.208106       0.274325                 NaN            NaN            NaN            NaN
  1383.57        500.000        99.1613       0.762236E-001  0.287357       0.203383       0.271704                 NaN            NaN            NaN            NaN
  1382.57        500.000        99.0301       0.344170E-002  0.307488       0.401226       0.257777                 NaN            NaN            NaN            NaN
  1381.56        500.000        99.2821       0.133966       0.269347       0.657853E-001  0.248795                 NaN            NaN            NaN            NaN
  1380.56        500.000        99.2397       0.943074E-001  0.264046       0.113079       0.288874                 NaN            NaN            NaN            NaN
  1379.55        500.000        99.1980       0.765832E-001  0.275401       0.187513       0.262461                 NaN            NaN            NaN            NaN
  1378.55        500.000        99.2058       0.766319E-001  0.272931       0.260545       0.184050                 NaN            NaN            NaN            NaN
