|6.6.6
Archiving\03_Data\DfracLP/QFM_m0.75/T13/T13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.9765       0.235196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.9765       0.235195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.8813       0.154077E-001  0.103270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.7687                 NaN  0.231331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.3130                 NaN  0.687041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.3165                 NaN  0.683504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.3210                 NaN  0.678958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.5998                 NaN  0.400155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.0606                 NaN  0.939427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3345                 NaN  0.665531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3446                 NaN  0.655407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3461                 NaN  0.653858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3508                 NaN  0.649218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3547                 NaN  0.645320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.3577                 NaN  0.641308       0.957787E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.3574                 NaN  0.642258       0.309584E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.3603                 NaN  0.625195       0.144590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3582                 NaN  0.627192       0.146299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.3610                 NaN  0.624442       0.145814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3649                 NaN  0.620594       0.145438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.3670                 NaN  0.618481       0.145232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.3717                 NaN  0.613806       0.144449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.3754                 NaN  0.610275       0.143676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.3772                 NaN  0.608438       0.144073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.3808                 NaN  0.604903       0.143042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3822                 NaN  0.603461       0.143106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        98.7272                 NaN   1.24173       0.310920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.9185                 NaN  0.754873E-001  0.601143E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.5424                 NaN  0.451826       0.580401E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.3134                 NaN  0.670563       0.159914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5992                 NaN  0.391465       0.933629E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.2700                 NaN  0.713013       0.169781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.3988                 NaN  0.587147       0.140181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.3992                 NaN  0.586721       0.140408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4017                 NaN  0.584332       0.139518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4015                 NaN  0.584536       0.139651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4032                 NaN  0.582881       0.139152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4062                 NaN  0.579934       0.138486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4053                 NaN  0.580852       0.138851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
