|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1576.92        2500.00       0.457418E-002            NaN   99.5453       0.434007       0.160889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        2500.00       0.108504E-001            NaN   99.9097       0.341598E-001  0.453353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        2500.00                 NaN            NaN   98.8012        1.07371       0.125113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        2500.00                 NaN            NaN   99.3398       0.589723       0.704596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        2500.00                 NaN            NaN   99.3409       0.590932       0.682160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        2500.00                 NaN            NaN   99.3514       0.578759       0.698155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        2500.00                 NaN            NaN   99.3538       0.578801       0.673775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        2500.00                 NaN            NaN   99.3625       0.569621       0.678685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        2500.00                 NaN            NaN   99.3644       0.569324       0.662404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN            NaN   99.3693       0.565392       0.653439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        2500.00                 NaN            NaN   99.3589       0.577626       0.634562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        2500.00                 NaN            NaN   99.3914       0.544703       0.639104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        2500.00                 NaN            NaN   99.3856       0.551299       0.631171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        2500.00                 NaN            NaN   99.3937       0.563718       0.425934E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN            NaN   99.3933       0.526000       0.807321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00                 NaN            NaN   99.3988       0.552185       0.490456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        2500.00                 NaN            NaN   99.4026       0.527104       0.703276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00                 NaN            NaN   99.4077       0.534051       0.582345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        2500.00                 NaN            NaN   99.4121       0.530408       0.575092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN            NaN   99.4154       0.528141       0.564309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00                 NaN            NaN   99.4204       0.523087       0.565375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN            NaN   99.4254       0.519948       0.546858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN            NaN   99.4291       0.517139       0.537453E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN            NaN   99.4328       0.513966       0.532723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00                 NaN            NaN   99.4362       0.500473       0.632965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00                 NaN            NaN   99.4405       0.518746       0.407467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00                 NaN            NaN   99.4439       0.506456       0.496481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN            NaN   99.4487       0.501340       0.499245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00                 NaN            NaN   99.4511       0.500197       0.486704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN            NaN   99.4549       0.505853       0.392492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00                 NaN            NaN   99.4589       0.485742       0.553323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN            NaN   99.4628       0.495450       0.417484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        2500.00                 NaN            NaN   99.4646       0.484605       0.508157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        2500.00                 NaN            NaN   99.4672       0.487220       0.455517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        2500.00                 NaN            NaN   99.4738       0.484332       0.419100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00                 NaN            NaN   99.4762       0.481703       0.421168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00                 NaN            NaN   99.4814       0.476779       0.418273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        2500.00                 NaN            NaN   99.4837       0.473510       0.427683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        2500.00                 NaN            NaN   98.9748       0.904783       0.120397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.53        2500.00                 NaN            NaN   99.9951       0.486986E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        2500.00                 NaN            NaN   99.4923       0.489205       0.185002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        2500.00                 NaN            NaN   99.4938       0.505737       0.427838E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN            NaN   99.4969       0.466525       0.366178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        2500.00                 NaN            NaN   99.3663       0.585597       0.481036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.30        2500.00                 NaN            NaN   99.6417       0.332201       0.261386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.85        2500.00                 NaN            NaN   99.5071       0.457315       0.355889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.41        2500.00                 NaN            NaN   99.5085       0.456098       0.354079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN            NaN   99.5146       0.452690       0.326935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00                 NaN            NaN   99.5137       0.454914       0.314317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        2500.00                 NaN            NaN   99.5186       0.449012       0.323956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.62        2500.00                 NaN            NaN   99.5197       0.450203       0.301458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        2500.00                 NaN            NaN   99.5221       0.448565       0.293098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.73        2500.00                 NaN            NaN   99.5250       0.445855       0.291172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        2500.00                 NaN            NaN   99.5274       0.444142       0.284643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.84        2500.00                 NaN            NaN   99.5293       0.444437       0.262616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.39        2500.00                 NaN            NaN   99.5312       0.442839       0.259557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.95        2500.00                 NaN            NaN   99.5334       0.441742       0.248700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        2500.00                 NaN            NaN   99.5470       0.429231       0.237197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00                 NaN            NaN   99.5256       0.452053       0.223443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        2500.00                 NaN            NaN   99.5404       0.437204       0.224043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.17        2500.00                 NaN            NaN   99.5379       0.459632       0.248409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00                 NaN            NaN   99.5450       0.430442       0.245097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.27        2500.00                 NaN            NaN   99.5476       0.417850       0.345711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN            NaN   99.5477       0.433822       0.184703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.38        2500.00                 NaN            NaN   99.5495       0.432644       0.178784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.94        2500.00                 NaN            NaN   99.1247       0.253141       0.542008E-001  0.568005                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00                 NaN            NaN   99.0864       0.167851       0.498601E-001  0.949920E-001  0.600866                 NaN            NaN            NaN            NaN            NaN
  1480.04        2500.00                 NaN            NaN   99.0661       0.481113E-001  0.324203E-001  0.569737       0.283671                 NaN            NaN            NaN            NaN            NaN
  1478.60        2500.00                 NaN            NaN   99.0751       0.457340E-001  0.312332E-001  0.284115       0.563787                 NaN            NaN            NaN            NaN            NaN
  1477.15        2500.00                 NaN            NaN   99.3126       0.246693E-001  0.234043E-001  0.221355       0.418014                 NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN            NaN   98.8570       0.187230       0.305351E-001  0.216873       0.708404                 NaN            NaN            NaN            NaN            NaN
  1474.26        2500.00                 NaN            NaN   99.0982                 NaN  0.293271E-001  0.544285       0.328206                 NaN            NaN            NaN            NaN            NaN
  1472.81        2500.00                 NaN            NaN   99.1040       0.582689E-001  0.255477E-001  0.266904       0.545300                 NaN            NaN            NaN            NaN            NaN
  1471.37        2500.00                 NaN            NaN   99.1092                 NaN  0.271673E-001  0.537006       0.326582                 NaN            NaN            NaN            NaN            NaN
  1469.92        2500.00                 NaN            NaN   99.1170                 NaN  0.260403E-001  0.532897       0.324074                 NaN            NaN            NaN            NaN            NaN
  1468.48        2500.00                 NaN            NaN   99.1235                 NaN  0.249717E-001  0.322870       0.528656                 NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00                 NaN            NaN   99.1298       0.896280E-002  0.235451E-001  0.525301       0.312368                 NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00                 NaN            NaN   99.1359       0.241090E-001  0.217303E-001  0.295657       0.522562                 NaN            NaN            NaN            NaN            NaN
  1464.14        2500.00                 NaN            NaN   99.1425       0.248573E-001  0.205739E-001  0.293406       0.518640                 NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00                 NaN            NaN   99.1474       0.219433E-001  0.197545E-001  0.295744       0.515188                 NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00                 NaN            NaN   99.1371       0.627902E-001  0.596255E-002  0.284338       0.509842                 NaN            NaN            NaN            NaN            NaN
  1459.80        2500.00                 NaN            NaN   99.1795                 NaN  0.285742E-001  0.507369       0.284527                 NaN            NaN            NaN            NaN            NaN
  1458.35        2500.00                 NaN            NaN   99.1665                 NaN  0.188203E-001  0.502465       0.312214                 NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN            NaN   99.1711       0.182277E-001  0.160392E-001  0.294220       0.500364                 NaN            NaN            NaN            NaN            NaN
  1455.46        2500.00                 NaN            NaN   99.1780       0.216325E-001  0.147615E-001  0.496423       0.289185                 NaN            NaN            NaN            NaN            NaN
  1454.02        2500.00                 NaN            NaN   99.1831       0.189941E-001  0.140418E-001  0.290650       0.493234                 NaN            NaN            NaN            NaN            NaN
  1452.57        2500.00                 NaN            NaN   99.1878       0.199878E-001  0.131266E-001  0.490423       0.288690                 NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00                 NaN            NaN   99.1944       0.187622E-001  0.121887E-001  0.486274       0.288409                 NaN            NaN            NaN            NaN            NaN
