|6.6.6
Archiving\03_Data\eqLP/QFM_m4/TAY13/TAY13_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.5351       0.441279       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5351       0.441279       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5351       0.441279       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.5351       0.441278       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5351       0.441278       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5351       0.441278       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5351       0.441277       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5351       0.441277       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5351       0.441277       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5351       0.441276       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5351       0.441276       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.5351       0.441276       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.5351       0.441275       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.5351       0.441275       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.5351       0.441275       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.5351       0.441274       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.5351       0.441274       0.236421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.5351       0.441274       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.5351       0.441275       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.5351       0.441275       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.5351       0.441276       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.5351       0.441276       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.5351       0.441277       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.5351       0.441277       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.5351       0.441278       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.5351       0.441274       0.236421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.5351       0.441270       0.236419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1528       0.441269       0.228928E-001  0.383068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.2676       0.441268       0.211390E-001   1.26999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.4086       0.441267       0.193816E-001   2.13076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        96.5496       0.441267       0.176242E-001   2.99152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        95.6906       0.441266       0.158668E-001   3.85228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        94.8316       0.441265       0.141094E-001   4.71303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        94.0109       0.441264       0.123403E-001   5.53549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        93.1902       0.441263       0.105712E-001   6.35793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        92.3696       0.441262       0.880210E-002   7.18038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        91.5489       0.441261       0.703301E-002   8.00282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        90.7520       0.441260       0.523368E-002   8.80147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        89.9552       0.441259       0.343436E-002   9.60012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        89.1759       0.441259       0.165110E-002   10.3812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        88.3900       0.441258                 NaN   11.1687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        87.6541       0.438665                 NaN   11.9024                 NaN  0.479184E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        85.5583       0.106332                 NaN   13.7167                 NaN  0.618615                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        84.3990                 NaN            NaN   14.7860                 NaN  0.815013                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        83.6768                 NaN            NaN   15.5082                 NaN  0.815016                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        82.9633                 NaN            NaN   16.2144       0.726837E-002  0.815018                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        82.2218                 NaN            NaN   16.9390       0.242260E-001  0.815020                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        81.4952                 NaN            NaN   17.6489       0.408983E-001  0.815023                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        80.7686                 NaN            NaN   18.3588       0.575707E-001  0.815025                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        80.0720                 NaN            NaN   19.0396       0.733650E-001  0.815027                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        79.3754                 NaN            NaN   19.7204       0.891594E-001  0.815030                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        78.6787                 NaN            NaN   20.4013       0.104954       0.815032                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        77.9821                 NaN            NaN   21.0821       0.120749       0.815034                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        77.2855                 NaN            NaN   21.7629       0.136543       0.815036                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        76.5888                 NaN            NaN   22.4438       0.152338       0.815039                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        75.8922                 NaN            NaN   23.1246       0.168133       0.815041                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        75.1955                 NaN            NaN   23.8055       0.183928       0.815043                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        74.5337                 NaN            NaN   24.4528       0.198444       0.815046                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        73.8719                 NaN            NaN   25.1001       0.212961       0.815048                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        73.2101                 NaN            NaN   25.7474       0.227477       0.815051                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        72.5482                 NaN            NaN   26.3947       0.241994       0.815053                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        71.8864                 NaN            NaN   27.0420       0.256511       0.815055                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        71.2246                 NaN            NaN   27.6893       0.271028       0.815058                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        70.5627                 NaN            NaN   28.3367       0.285545       0.815060                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        69.9009                 NaN            NaN   28.9840       0.300062       0.815063                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        69.2721                 NaN            NaN   29.5993       0.313473       0.815065                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        68.6434                 NaN            NaN   30.2147       0.326885       0.815067                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        68.0146                 NaN            NaN   30.8300       0.340297       0.815070                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        67.3859                 NaN            NaN   31.4454       0.353709       0.815072                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        66.7571                 NaN            NaN   32.0607       0.367121       0.815075                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        66.1283                 NaN            NaN   32.6761       0.380534       0.815077                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        65.4995                 NaN            NaN   33.2914       0.393946       0.815080                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        64.8708                 NaN            NaN   33.9068       0.407358       0.815082                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        64.2743                 NaN            NaN   34.4910       0.419662       0.815084                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        63.6778                 NaN            NaN   35.0752       0.431966       0.815087                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        63.0813                 NaN            NaN   35.6593       0.444270       0.815089                 NaN            NaN            NaN            NaN            NaN            NaN
