|6.6.6
Archiving\03_Data\eq/QFM_m4.75/GRV/GRV_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.1673       0.832746                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1673       0.832746                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1673       0.832745                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1673       0.832745                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1673       0.832745                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1673       0.832745                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1673       0.832744                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1673       0.832744                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1673       0.832744                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1673       0.832744                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1673       0.832743                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1673       0.832743                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1673       0.832743                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1673       0.832743                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1673       0.832742                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1673       0.832742                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1673       0.832742                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1673       0.832741                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1673       0.832740                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1673       0.832740                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1673       0.832740                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1673       0.832739                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1673       0.832739                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1673       0.832739                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1673       0.832738                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1627       0.832749       0.458860E-002            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1071       0.832882       0.600470E-001            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.0515       0.833014       0.115523                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        98.9958       0.833147       0.171017                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        98.9402       0.833280       0.226528                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        98.9281       0.833309       0.238590                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        98.9160       0.833337       0.250653                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        98.9039       0.833366       0.262717                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        98.8918       0.833395       0.274781                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        98.8797       0.833423       0.286847                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        98.8676       0.833452       0.298913                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        98.8555       0.833481       0.310980                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        98.8434       0.833510       0.323047                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        98.8011       0.833610       0.365263                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        98.7588       0.833711       0.407489                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        98.7165       0.833812       0.449726                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        98.6741       0.833913       0.491972                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        98.6318       0.834014       0.534229                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        98.5894       0.834115       0.576496                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        98.5470       0.834216       0.618773                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        98.5046       0.834317       0.661061                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        98.4732       0.834391       0.692395                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        98.4418       0.834466       0.723734                 NaN            NaN            NaN            NaN            NaN
