|6.6.6
Archiving\03_Data\eqfrac/QFM/TIS/TIS_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1455.13        2500.00       0.250906E-001            NaN   99.5402       0.235097                 NaN  0.199625       0.277190E-005            NaN            NaN            NaN            NaN
  1453.99        2500.00       0.932266E-003            NaN   99.3993       0.599776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.85        2500.00       0.771114E-003            NaN   99.8289                 NaN            NaN  0.143714       0.265797E-001            NaN            NaN            NaN            NaN
  1451.71        2500.00                 NaN            NaN   98.7013       0.967744                 NaN  0.330994                 NaN            NaN            NaN            NaN            NaN
  1450.57        2500.00                 NaN            NaN   99.3070       0.427055E-001  0.510743       0.139546                 NaN            NaN            NaN            NaN            NaN
  1449.43        2500.00                 NaN            NaN   99.2655       0.497202       0.170797       0.206706E-002  0.644313E-001            NaN            NaN            NaN            NaN
  1448.29        2500.00                 NaN            NaN   99.2568       0.477341       0.222403       0.375807E-002  0.397309E-001            NaN            NaN            NaN            NaN
  1447.15        2500.00                 NaN            NaN   99.2585       0.226246       0.475846                 NaN  0.394187E-001            NaN            NaN            NaN            NaN
  1446.00        2500.00                 NaN            NaN   99.2621       0.226585       0.472983                 NaN  0.383397E-001            NaN            NaN            NaN            NaN
  1444.86        2500.00                 NaN            NaN   99.2634       0.227387       0.472044                 NaN  0.371945E-001            NaN            NaN            NaN            NaN
  1443.72        2500.00                 NaN            NaN   99.2688       0.227888       0.467389                 NaN  0.359628E-001            NaN            NaN            NaN            NaN
  1442.58        2500.00                 NaN            NaN   99.2708       0.466649       0.224766                 NaN  0.377364E-001            NaN            NaN            NaN            NaN
  1441.44        2500.00                 NaN            NaN   99.2119       0.244683       0.504902                 NaN  0.385298E-001            NaN            NaN            NaN            NaN
  1440.30        2500.00       0.250826E-002            NaN   99.5958       0.132505       0.251890                 NaN  0.172880E-001            NaN            NaN            NaN            NaN
  1439.16        2500.00                 NaN            NaN   99.0177       0.310100       0.625941                 NaN  0.463036E-001            NaN            NaN            NaN            NaN
  1438.02        2500.00                 NaN            NaN   98.5514       0.922116       0.459683                 NaN  0.668105E-001            NaN            NaN            NaN            NaN
  1436.88        2500.00                 NaN            NaN   99.9527       0.300855E-001  0.151249E-001            NaN  0.211094E-002            NaN            NaN            NaN            NaN
  1435.74        2500.00                 NaN            NaN   99.3523       0.207028       0.411744                 NaN  0.288954E-001            NaN            NaN            NaN            NaN
  1434.60        2500.00       0.919498E-003            NaN   99.2881       0.230426       0.450085                 NaN  0.304986E-001            NaN            NaN            NaN            NaN
  1433.46        2500.00       0.980772E-003            NaN   99.2902       0.448357       0.230612                 NaN  0.298236E-001            NaN            NaN            NaN            NaN
  1432.32        2500.00       0.959296E-003            NaN   99.2926       0.446478       0.230853                 NaN  0.291149E-001            NaN            NaN            NaN            NaN
  1431.18        2500.00       0.843397E-003            NaN   99.2986       0.190302       0.452729                 NaN  0.575487E-001            NaN            NaN            NaN            NaN
  1430.04        2500.00       0.984124E-003            NaN   99.2929       0.435799       0.270325                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.89        2500.00       0.894821E-003            NaN   99.2988       0.440963       0.233591                 NaN  0.257183E-001            NaN            NaN            NaN            NaN
  1427.75        2500.00       0.863563E-003            NaN   99.3016       0.439676       0.231360                 NaN  0.264727E-001            NaN            NaN            NaN            NaN
