|6.6.6
Archiving\03_Data\eqfrac/QFM/TIS/TIS_3.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        ilm            q             
  1455.13        2500.00       0.163552E-001            NaN   99.6015       0.208425                 NaN  0.173765       0.228827E-005            NaN            NaN            NaN            NaN
  1453.99        2500.00       0.607881E-003            NaN   99.4678       0.531632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.85        2500.00       0.504871E-003            NaN   99.8526                 NaN            NaN  0.124920       0.219372E-001            NaN            NaN            NaN            NaN
  1451.71        2500.00                 NaN            NaN   98.8542       0.857801                 NaN  0.287971                 NaN            NaN            NaN            NaN            NaN
  1450.57        2500.00                 NaN            NaN   99.3890       0.373958E-001  0.452322       0.121312                 NaN            NaN            NaN            NaN            NaN
  1449.43        2500.00                 NaN            NaN   99.3555       0.440213       0.149499       0.179618E-002  0.530322E-001            NaN            NaN            NaN            NaN
  1448.29        2500.00                 NaN            NaN   99.3469       0.422523       0.194607       0.326432E-002  0.326831E-001            NaN            NaN            NaN            NaN
  1447.15        2500.00                 NaN            NaN   99.3487       0.197884       0.421049                 NaN  0.324051E-001            NaN            NaN            NaN            NaN
  1446.00        2500.00                 NaN            NaN   99.3520       0.198099       0.418398                 NaN  0.314929E-001            NaN            NaN            NaN            NaN
  1444.86        2500.00                 NaN            NaN   99.3533       0.198708       0.417438                 NaN  0.305369E-001            NaN            NaN            NaN            NaN
  1443.72        2500.00                 NaN            NaN   99.3583       0.199065       0.413178                 NaN  0.295009E-001            NaN            NaN            NaN            NaN
  1442.58        2500.00                 NaN            NaN   99.3604       0.412398       0.196247                 NaN  0.309365E-001            NaN            NaN            NaN            NaN
  1441.44        2500.00                 NaN            NaN   99.3087       0.213555       0.446135                 NaN  0.315778E-001            NaN            NaN            NaN            NaN
  1440.30        2500.00       0.164290E-002            NaN   99.6463       0.115557       0.222385                 NaN  0.141472E-001            NaN            NaN            NaN            NaN
  1439.16        2500.00                 NaN            NaN   99.1387       0.270510       0.552851                 NaN  0.378910E-001            NaN            NaN            NaN            NaN
  1438.02        2500.00                 NaN            NaN   98.7300       0.814471       0.400958                 NaN  0.546190E-001            NaN            NaN            NaN            NaN
  1436.88        2500.00                 NaN            NaN   99.9586       0.265219E-001  0.131660E-001            NaN  0.172295E-002            NaN            NaN            NaN            NaN
  1435.74        2500.00                 NaN            NaN   99.4330       0.180265       0.363149                 NaN  0.235809E-001            NaN            NaN            NaN            NaN
  1434.60        2500.00       0.603988E-003            NaN   99.3771       0.200578       0.396853                 NaN  0.248764E-001            NaN            NaN            NaN            NaN
  1433.46        2500.00       0.644525E-003            NaN   99.3792       0.395188       0.200645                 NaN  0.243072E-001            NaN            NaN            NaN            NaN
  1432.32        2500.00       0.630734E-003            NaN   99.3815       0.393403       0.200766                 NaN  0.237143E-001            NaN            NaN            NaN            NaN
