|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1439.10        2500.00       0.109703E-001   85.8977                 NaN   4.34608        9.19006                 NaN            NaN  0.555186                 NaN            NaN            NaN            NaN
  1438.00        2500.00       0.343197E-004   99.9668                 NaN  0.212828E-001  0.118895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00       0.124756E-002   98.6832                 NaN  0.866517       0.396398                 NaN            NaN  0.526459E-001            NaN            NaN            NaN            NaN
  1435.80        2500.00       0.593435E-003   99.3277                 NaN  0.441797       0.204233                 NaN            NaN  0.256544E-001            NaN            NaN            NaN            NaN
  1434.70        2500.00       0.578087E-003   99.3284                 NaN  0.205460       0.440649                 NaN            NaN  0.249111E-001            NaN            NaN            NaN            NaN
  1433.60        2500.00       0.513258E-003   99.3340                 NaN  0.203158       0.437607                 NaN            NaN  0.247217E-001            NaN            NaN            NaN            NaN
  1432.50        2500.00       0.524250E-003   99.3339                 NaN  0.436833       0.205277                 NaN            NaN  0.234830E-001            NaN            NaN            NaN            NaN
  1431.40        2500.00       0.499012E-003   99.3369                 NaN  0.204447       0.434793                 NaN            NaN  0.233333E-001            NaN            NaN            NaN            NaN
  1430.30        2500.00       0.473989E-003   99.3389                 NaN  0.205326       0.432891                 NaN            NaN  0.224004E-001            NaN            NaN            NaN            NaN
  1429.20        2500.00       0.455843E-003   99.3411                 NaN  0.431589       0.204768                 NaN            NaN  0.220979E-001            NaN            NaN            NaN            NaN
  1428.09        2500.00       0.431875E-003   99.3428                 NaN  0.430035       0.205320                 NaN            NaN  0.214050E-001            NaN            NaN            NaN            NaN
  1426.99        2500.00       0.411140E-003   99.3442                 NaN  0.205372       0.429059                 NaN            NaN  0.209257E-001            NaN            NaN            NaN            NaN
  1425.89        2500.00       0.422829E-003   99.2879                 NaN  0.465712       0.223752                 NaN            NaN  0.222272E-001            NaN            NaN            NaN            NaN
  1424.79        2500.00       0.338587E-003   99.4043                 NaN  0.389096       0.188228                 NaN            NaN  0.180758E-001            NaN            NaN            NaN            NaN
  1423.69        2500.00       0.354282E-003   99.3496                 NaN  0.424850       0.205970                 NaN            NaN  0.192228E-001            NaN            NaN            NaN            NaN
  1422.59        2500.00       0.337369E-003   99.3516                 NaN  0.423273       0.206229                 NaN            NaN  0.185699E-001            NaN            NaN            NaN            NaN
  1421.49        2500.00       0.316257E-003   99.3529                 NaN  0.422416       0.206188                 NaN            NaN  0.181427E-001            NaN            NaN            NaN            NaN
  1420.39        2500.00       0.319233E-003   99.3540                 NaN  0.421285       0.207539                 NaN            NaN  0.168765E-001            NaN            NaN            NaN            NaN
  1419.29        2500.00       0.288049E-003   99.3555                 NaN  0.420588       0.206299                 NaN            NaN  0.172929E-001            NaN            NaN            NaN            NaN
  1418.19        2500.00       0.276322E-003   99.3577                 NaN  0.207017       0.418629                 NaN            NaN  0.163683E-001            NaN            NaN            NaN            NaN
  1417.09        2500.00       0.106274E-003   99.1254                 NaN  0.247182       0.490063                 NaN            NaN  0.614089E-001  0.758072E-001            NaN            NaN            NaN
  1415.99        2500.00       0.413862E-002   99.4493                 NaN  0.347881       0.186005                 NaN            NaN  0.120491E-001  0.647267E-003            NaN            NaN            NaN
  1414.89        2500.00       0.112848E-002   98.5786                 NaN  0.492558       0.260333                 NaN            NaN  0.252442       0.414959                 NaN            NaN            NaN
  1413.79        2500.00                 NaN   98.5881                 NaN  0.494512       0.249933                 NaN            NaN  0.254734       0.412711                 NaN            NaN            NaN
  1412.69        2500.00                 NaN   98.6020                 NaN  0.490627       0.243319                 NaN            NaN  0.255284       0.408791                 NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.6160                 NaN  0.236591       0.487372                 NaN            NaN  0.255362       0.404699                 NaN            NaN            NaN
