|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1439.10        2500.00       0.737749E-002   87.5174                 NaN   3.82417        8.19403                 NaN            NaN  0.457060                 NaN            NaN            NaN            NaN
  1438.00        2500.00       0.226598E-004   99.9711                 NaN  0.186201E-001  0.102628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00       0.825796E-003   98.8549                 NaN  0.759067       0.342615                 NaN            NaN  0.425469E-001            NaN            NaN            NaN            NaN
  1435.80        2500.00       0.392632E-003   99.4161                 NaN  0.386546       0.176289                 NaN            NaN  0.206975E-001            NaN            NaN            NaN            NaN
  1434.70        2500.00       0.382711E-003   99.4169                 NaN  0.177263       0.385391                 NaN            NaN  0.200837E-001            NaN            NaN            NaN            NaN
  1433.60        2500.00       0.339930E-003   99.4220                 NaN  0.175187       0.382583                 NaN            NaN  0.199167E-001            NaN            NaN            NaN            NaN
  1432.50        2500.00       0.347456E-003   99.4221                 NaN  0.381750       0.176921                 NaN            NaN  0.189039E-001            NaN            NaN            NaN            NaN
  1431.40        2500.00       0.330750E-003   99.4249                 NaN  0.176125       0.379831                 NaN            NaN  0.187668E-001            NaN            NaN            NaN            NaN
  1430.30        2500.00       0.314430E-003   99.4268                 NaN  0.176810       0.378052                 NaN            NaN  0.180040E-001            NaN            NaN            NaN            NaN
  1429.20        2500.00       0.302593E-003   99.4289                 NaN  0.376761       0.176240                 NaN            NaN  0.177502E-001            NaN            NaN            NaN            NaN
  1428.09        2500.00       0.286814E-003   99.4306                 NaN  0.375271       0.176633                 NaN            NaN  0.171810E-001            NaN            NaN            NaN            NaN
  1426.99        2500.00       0.273191E-003   99.4321                 NaN  0.176585       0.374263                 NaN            NaN  0.167813E-001            NaN            NaN            NaN            NaN
  1425.89        2500.00       0.280819E-003   99.3837                 NaN  0.405992       0.192231                 NaN            NaN  0.177975E-001            NaN            NaN            NaN            NaN
  1424.79        2500.00       0.225234E-003   99.4845                 NaN  0.339136       0.161671                 NaN            NaN  0.144728E-001            NaN            NaN            NaN            NaN
  1423.69        2500.00       0.235808E-003   99.4374                 NaN  0.370162       0.176840                 NaN            NaN  0.153814E-001            NaN            NaN            NaN            NaN
  1422.59        2500.00       0.224674E-003   99.4393                 NaN  0.368661       0.176974                 NaN            NaN  0.148466E-001            NaN            NaN            NaN            NaN
  1421.49        2500.00       0.210729E-003   99.4407                 NaN  0.367757       0.176852                 NaN            NaN  0.144930E-001            NaN            NaN            NaN            NaN
  1420.39        2500.00       0.212843E-003   99.4418                 NaN  0.366628       0.177928                 NaN            NaN  0.134734E-001            NaN            NaN            NaN            NaN
