|6.6.6
Archiving\03_Data\eq/QFM_m3/GRV/GRV_1.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.1675       0.832486                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1675       0.832485                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1675       0.832484                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1675       0.832484                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1675       0.832483                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1675       0.832482                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1675       0.832482                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1675       0.832481                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1675       0.832480                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1675       0.832480                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1675       0.832479                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1675       0.832478                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1675       0.832478                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1675       0.832477                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1675       0.832476                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1675       0.832475                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1675       0.832475                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1675       0.832474                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1675       0.832473                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1675       0.832472                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1675       0.832472                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1675       0.832471                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1675       0.832470                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1675       0.832469                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1675       0.832468                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1675       0.832468                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1675       0.832467                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1675       0.832466                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1675       0.832465                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1675       0.832464                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1675       0.832463                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1675       0.832463                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1675       0.832462                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1675       0.832461                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1675       0.832460                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1675       0.832459                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1675       0.832458                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1675       0.832457                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1675       0.832456                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1675       0.832455                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1675       0.832454                 NaN            NaN            NaN            NaN            NaN
