|6.6.6
Archiving\03_Data\eq/QFM_m3/GRV/GRV_3.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.3196       0.680406                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3195       0.680479                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3194       0.680553                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.3194       0.680627                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.3193       0.680700                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.3192       0.680774                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.3192       0.680848                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.3191       0.680922                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.3190       0.680996                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3189       0.681070                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3189       0.681144                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3188       0.681218                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3187       0.681292                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3186       0.681367                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3186       0.681441                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3185       0.681515                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.3184       0.681590                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.3183       0.681664                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.3183       0.681739                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.3182       0.681813                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.3181       0.681888                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.3180       0.681963                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.3180       0.682037                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.3179       0.682112                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.3178       0.682187                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.3177       0.682262                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.3177       0.682337                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.3176       0.682412                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.3175       0.682487                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.3174       0.682562                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.3174       0.682637                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.3173       0.682713                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.3172       0.682788                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.3171       0.682863                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.3171       0.682939                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.3170       0.683014                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.3169       0.683090                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.3168       0.683165                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.3168       0.683241                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.3167       0.683317                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.3166       0.683392                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.3165       0.683468                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.3165       0.683544                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.3164       0.683620                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.3163       0.683696                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.3162       0.683772                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.3162       0.683848                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.3161       0.683924                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.3160       0.684000                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.3159       0.684076                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.3158       0.684153                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.3158       0.684229                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.3157       0.684305                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.3156       0.684382                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.3155       0.684458                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.3155       0.684535                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.3145       0.684613       0.904685E-003            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.3016       0.684707       0.136444E-001            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.2888       0.684801       0.263879E-001            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.2760       0.684895       0.391350E-001            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.2631       0.684990       0.518857E-001            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.2503       0.685084       0.646401E-001            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.2374       0.685179       0.773982E-001            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.2246       0.685273       0.901600E-001            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.2117       0.685367       0.102925                 NaN            NaN            NaN            NaN
  1791.67        2500.00        99.1992       0.685461       0.115371                 NaN            NaN            NaN            NaN
  1788.46        2500.00        99.1866       0.685555       0.127821                 NaN            NaN            NaN            NaN
  1785.26        2500.00        99.1741       0.685649       0.140274                 NaN            NaN            NaN            NaN
  1782.05        2500.00        99.1615       0.685743       0.152730                 NaN            NaN            NaN            NaN
  1778.85        2500.00        99.1493       0.685837       0.164845                 NaN            NaN            NaN            NaN
  1775.64        2500.00        99.1371       0.685931       0.176964                 NaN            NaN            NaN            NaN
  1772.44        2500.00        99.1251       0.686024       0.188917                 NaN            NaN            NaN            NaN
  1769.23        2500.00        98.3660       0.686381       0.201006       0.746625                 NaN            NaN            NaN
  1766.03        2500.00        97.5916       0.686741       0.212568        1.50908                 NaN            NaN            NaN
  1762.82        2500.00        96.8165       0.687100       0.224142        2.27230                 NaN            NaN            NaN
  1759.62        2500.00        96.0405       0.687457       0.235727        3.03628                 NaN            NaN            NaN
  1756.41        2500.00        95.2638       0.687811       0.247323        3.80102                 NaN            NaN            NaN
  1753.21        2500.00        94.4864       0.688164       0.258931        4.56651                 NaN            NaN            NaN
  1750.00        2500.00        93.7082       0.688515       0.270550        5.33274                 NaN            NaN            NaN
  1746.79        2500.00        92.9292       0.688864       0.282180        6.09971                 NaN            NaN            NaN
  1743.59        2500.00        92.1496       0.689211       0.293821        6.86741                 NaN            NaN            NaN
  1740.38        2500.00        91.3710       0.689554       0.304449        7.63500                 NaN            NaN            NaN
  1737.18        2500.00        90.5917       0.689895       0.315087        8.40331                 NaN            NaN            NaN
  1733.97        2500.00        89.8117       0.690234       0.325735        9.17231                 NaN            NaN            NaN
  1730.77        2500.00        89.0310       0.690571       0.336392        9.94202                 NaN            NaN            NaN
  1727.56        2500.00        88.2496       0.690905       0.347058        10.7124                 NaN            NaN            NaN
  1724.36        2500.00        87.4676       0.691237       0.357734        11.4835                 NaN            NaN            NaN
  1721.15        2500.00        86.6848       0.691567       0.368418        12.2552                 NaN            NaN            NaN
  1717.95        2500.00        85.9014       0.691895       0.379112        13.0276                 NaN            NaN            NaN
