|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/LAR/LAR_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1400.64        500.000        99.8000       0.987521E-001            NaN            NaN  0.163581E-002  0.995927E-001            NaN            NaN            NaN
  1399.64        500.000        99.0670       0.487785       0.120997                 NaN            NaN  0.324254                 NaN            NaN            NaN
  1398.63        500.000        98.9772       0.307417       0.312507                 NaN  0.600509E-001  0.342848                 NaN            NaN            NaN
  1397.63        500.000        99.0066       0.276235       0.309439                 NaN  0.728838E-001  0.334879                 NaN            NaN            NaN
  1396.62        500.000        99.0166       0.267536       0.307894                 NaN  0.754608E-001  0.332472                 NaN            NaN            NaN
  1395.62        500.000        99.0255       0.305679       0.263507                 NaN  0.754932E-001  0.329772                 NaN            NaN            NaN
  1394.62        500.000        99.0369       0.302789       0.258171                 NaN  0.759455E-001  0.326197                 NaN            NaN            NaN
  1393.61        500.000        99.0479       0.300099       0.253190                 NaN  0.760778E-001  0.322734                 NaN            NaN            NaN
  1392.61        500.000        99.0496       0.251136       0.299903                 NaN  0.769705E-001  0.322433                 NaN            NaN            NaN
  1391.60        500.000        99.0812       0.290845       0.240204                 NaN  0.757428E-001  0.311959                 NaN            NaN            NaN
  1390.60        500.000        99.0811       0.238255       0.291543                 NaN  0.768776E-001  0.312191                 NaN            NaN            NaN
  1389.59        500.000        99.0928       0.288183       0.233326                 NaN  0.771400E-001  0.308509                 NaN            NaN            NaN
  1388.59        500.000        99.0703       0.296302       0.237040                 NaN  0.800280E-001  0.316349                 NaN            NaN            NaN
  1387.59        500.000        99.1460       0.273216       0.214617                 NaN  0.751690E-001  0.291005                 NaN            NaN            NaN
  1386.58        500.000        99.1226       0.280761       0.220654                 NaN  0.771178E-001  0.298884                 NaN            NaN            NaN
  1385.58        500.000        99.1343       0.278230       0.214182                 NaN  0.780751E-001  0.295248                 NaN            NaN            NaN
  1384.57        500.000        99.1007       0.289576       0.220556                 NaN  0.822351E-001  0.306930                 NaN            NaN            NaN
  1383.57        500.000        99.1938       0.194844       0.261004                 NaN  0.749454E-001  0.275449                 NaN            NaN            NaN
  1382.57        500.000        99.1640       0.201999       0.270358                 NaN  0.781095E-001  0.285540                 NaN            NaN            NaN
  1381.56        500.000        99.1714       0.197731       0.268784                 NaN  0.786699E-001  0.283379                 NaN            NaN            NaN
  1380.56        500.000        99.1802       0.267337       0.192332                 NaN  0.793986E-001  0.280747                 NaN            NaN            NaN
  1379.55        500.000        99.1908       0.263777       0.189693                 NaN  0.787299E-001  0.277008                 NaN            NaN            NaN
  1378.55        500.000        99.1975       0.262428       0.185064                 NaN  0.797168E-001  0.275322                 NaN            NaN            NaN
  1377.55        500.000        99.2083       0.259080       0.182453                 NaN  0.787767E-001  0.271353                 NaN            NaN            NaN
  1376.54        500.000        99.2160       0.257724       0.177942                 NaN  0.793743E-001  0.268962                 NaN            NaN            NaN
  1375.54        500.000        99.2239       0.255426       0.174523                 NaN  0.796162E-001  0.266510                 NaN            NaN            NaN
  1374.53        500.000        99.2319       0.255484       0.167045                 NaN  0.811983E-001  0.264331                 NaN            NaN            NaN
  1373.53        500.000        99.2424       0.170274       0.249201                 NaN  0.781292E-001  0.259998                 NaN            NaN            NaN
  1372.52        500.000        99.2482       0.249830       0.163445                 NaN  0.799734E-001  0.258518                 NaN            NaN            NaN
  1371.52        500.000        97.1045       0.973098       0.621520                 NaN  0.306257       0.994606                 NaN            NaN            NaN
  1370.52        500.000        99.9999                 NaN            NaN            NaN  0.762274E-004            NaN            NaN            NaN            NaN
  1369.51        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1368.51        500.000        99.9787       0.513500E-002  0.766972E-002            NaN  0.240580E-002  0.611598E-002            NaN            NaN            NaN
  1367.50        500.000        99.2861       0.240829       0.146092                 NaN  0.805739E-001  0.246382                 NaN            NaN            NaN
  1366.50        500.000        99.2952       0.135037       0.240125                 NaN  0.854047E-001  0.244221                 NaN            NaN            NaN
  1365.50        500.000        98.6235       0.280962       0.466508                 NaN  0.154969       0.474051                 NaN            NaN            NaN
  1364.49        500.000        99.9873       0.950377E-002  0.297254E-003            NaN  0.827744E-005  0.286896E-002            NaN            NaN            NaN
  1363.49        500.000        99.3230       0.137534       0.224406                 NaN  0.798619E-001  0.235171                 NaN            NaN            NaN
  1362.48        500.000        99.3222       0.231175       0.132002                 NaN  0.802012E-001  0.234436                 NaN            NaN            NaN
  1361.48        500.000        99.3300       0.229619       0.129065                 NaN  0.797400E-001  0.231553                 NaN            NaN            NaN
  1360.48        500.000        99.3347       0.127057       0.228182                 NaN  0.798982E-001  0.230179                 NaN            NaN            NaN
  1359.47        500.000        99.3441       0.225732       0.123813                 NaN  0.794819E-001  0.226913                 NaN            NaN            NaN
  1358.47        500.000        99.3456       0.153665       0.215427                 NaN  0.621187E-001  0.223193                 NaN            NaN            NaN
  1357.46        500.000        99.3614       0.237853       0.665014E-001            NaN  0.107728       0.226563                 NaN            NaN            NaN
  1356.46        500.000        99.3596       0.215533       0.136083                 NaN  0.689159E-001  0.219913                 NaN            NaN            NaN
  1355.46        500.000        99.3690       0.219446       0.114493                 NaN  0.786523E-001  0.218363                 NaN            NaN            NaN
