|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.320527E-001   88.9549        7.42388        3.32242                 NaN  0.266780                 NaN            NaN            NaN            NaN            NaN
  1412.42        2500.00       0.147317E-003   98.9192       0.387071       0.217425                 NaN  0.164940                 NaN  0.311254                 NaN            NaN            NaN
  1411.39        2500.00                 NaN   98.8391       0.391889       0.225581                 NaN  0.187512                 NaN  0.355932                 NaN            NaN            NaN
  1410.35        2500.00                 NaN   98.8494       0.220118       0.390195                 NaN  0.187285                 NaN  0.352984                 NaN            NaN            NaN
  1409.32        2500.00                 NaN   98.8642       0.385790       0.215354                 NaN  0.186428                 NaN  0.348275                 NaN            NaN            NaN
  1408.28        2500.00                 NaN   98.8732       0.383921       0.210441                 NaN  0.186757                 NaN  0.345632                 NaN            NaN            NaN
  1407.24        2500.00                 NaN   98.8853       0.380883       0.205836                 NaN  0.186138                 NaN  0.341833                 NaN            NaN            NaN
  1406.21        2500.00                 NaN   98.8970       0.378051       0.200803                 NaN  0.185794                 NaN  0.338376                 NaN            NaN            NaN
  1405.17        2500.00                 NaN   98.8798       0.385024       0.200830                 NaN  0.190578                 NaN  0.343752                 NaN            NaN            NaN
  1404.13        2500.00                 NaN   98.9470       0.362634       0.187049                 NaN  0.180300                 NaN  0.323009                 NaN            NaN            NaN
  1403.10        2500.00                 NaN   98.9288       0.370605       0.187095                 NaN  0.184888                 NaN  0.328610                 NaN            NaN            NaN
  1402.06        2500.00                 NaN   98.9372       0.369357       0.185400                 NaN  0.182163                 NaN  0.325837                 NaN            NaN            NaN
  1401.03        2500.00                 NaN   98.9524       0.365353       0.174195                 NaN  0.186463                 NaN  0.321539                 NaN            NaN            NaN
  1399.99        2500.00                 NaN   98.9510       0.183155       0.360351                 NaN  0.182995                 NaN  0.322515                 NaN            NaN            NaN
  1398.95        2500.00                 NaN   98.9812       0.161547       0.360412                 NaN  0.184778                 NaN  0.312046                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.9801       0.358314       0.165434                 NaN  0.183199                 NaN  0.312929                 NaN            NaN            NaN
  1396.88        2500.00                 NaN   98.9109       0.383613       0.174346                 NaN  0.196966                 NaN  0.334172                 NaN            NaN            NaN
  1395.84        2500.00                 NaN   99.0767       0.326403       0.145171                 NaN  0.168469                 NaN  0.283261                 NaN            NaN            NaN
  1394.81        2500.00                 NaN   99.0090       0.350900       0.154112                 NaN  0.182001                 NaN  0.304034                 NaN            NaN            NaN
  1393.77        2500.00                 NaN   99.0125       0.145826       0.352748                 NaN  0.184844                 NaN  0.304037                 NaN            NaN            NaN
  1392.74        2500.00       0.279355E-003   98.8643       0.409033       0.168416                 NaN  0.211043                 NaN  0.346949                 NaN            NaN            NaN
  1391.70        2500.00                 NaN   99.2010       0.121558       0.284509                 NaN  0.148356                 NaN  0.244572                 NaN            NaN            NaN
  1390.66        2500.00                 NaN   99.0442       0.342945       0.139154                 NaN  0.180686                 NaN  0.293060                 NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.0510       0.135803       0.341680                 NaN  0.180493                 NaN  0.291058                 NaN            NaN            NaN
  1388.59        2500.00                 NaN   99.0611       0.338875       0.132021                 NaN  0.180134                 NaN  0.287820                 NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.0702       0.129184       0.336943                 NaN  0.178934                 NaN  0.284750                 NaN            NaN            NaN
  1386.52        2500.00                 NaN   99.0778       0.125688       0.335090                 NaN  0.178856                 NaN  0.282542                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.0858       0.122543       0.333065                 NaN  0.178549                 NaN  0.280067                 NaN            NaN            NaN
  1384.45        2500.00                 NaN   99.0938       0.119263       0.331078                 NaN  0.178222                 NaN  0.277614                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.1014       0.330213       0.114958                 NaN  0.178279                 NaN  0.275198                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.1099       0.113667       0.327430                 NaN  0.176627                 NaN  0.272413                 NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.1164       0.326389       0.110097                 NaN  0.176789                 NaN  0.270338                 NaN            NaN            NaN
  1380.30        2500.00                 NaN   99.1245       0.324007       0.107814                 NaN  0.175871                 NaN  0.267778                 NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.1317       0.103670       0.322337                 NaN  0.176533                 NaN  0.265797                 NaN            NaN            NaN
  1378.23        2500.00                 NaN   99.1392       0.321188       0.101768                 NaN  0.174852                 NaN  0.263012                 NaN            NaN            NaN
  1377.19        2500.00                 NaN   99.1466       0.318935       0.992608E-001            NaN  0.174398                 NaN  0.260765                 NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.1522       0.318083       0.959748E-001            NaN  0.174664                 NaN  0.259055                 NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.1601       0.316040       0.942916E-001            NaN  0.173156                 NaN  0.256364                 NaN            NaN            NaN
  1374.08        2500.00                 NaN   99.1680       0.916517E-001  0.313817                 NaN  0.172619                 NaN  0.253919                 NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.1744       0.312112       0.886403E-001            NaN  0.172765                 NaN  0.252124                 NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.1813       0.873300E-001  0.309996                 NaN  0.171624                 NaN  0.249739                 NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.5313       0.178715       0.466233E-001            NaN  0.100092                 NaN  0.143235                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   98.8473       0.123210       0.438301                 NaN  0.240768                 NaN  0.350408                 NaN            NaN            NaN
  1368.90        2500.00                 NaN   99.2008       0.799159E-001  0.305932                 NaN  0.169936                 NaN  0.243458                 NaN            NaN            NaN
  1367.87        2500.00                 NaN   99.2069       0.304811       0.779411E-001            NaN  0.168967                 NaN  0.241351                 NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.2130       0.302568       0.766216E-001            NaN  0.168338                 NaN  0.239427                 NaN            NaN            NaN
  1365.79        2500.00                 NaN   99.2193       0.301584       0.744085E-001            NaN  0.167461                 NaN  0.237286                 NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.2253       0.300484       0.719419E-001            NaN  0.166819                 NaN  0.235459                 NaN            NaN            NaN
  1363.72        2500.00                 NaN   99.2312       0.298913       0.702325E-001            NaN  0.166281                 NaN  0.233404                 NaN            NaN            NaN
  1362.68        2500.00                 NaN   99.2373       0.696094E-001  0.296165                 NaN  0.165362                 NaN  0.231612                 NaN            NaN            NaN
  1361.65        2500.00                 NaN   99.2419       0.632603E-001  0.297448                 NaN  0.166831                 NaN  0.230534                 NaN            NaN            NaN
  1360.61        2500.00                 NaN   99.2513       0.291255       0.696176E-001            NaN  0.161402                 NaN  0.226412                 NaN            NaN            NaN
  1359.58        2500.00                 NaN   99.2549       0.650017E-001  0.292073                 NaN  0.162466                 NaN  0.225558                 NaN            NaN            NaN
  1358.54        2500.00                 NaN   99.6123       0.151950       0.322914E-001            NaN  0.857570E-001            NaN  0.117744                 NaN            NaN            NaN
  1357.50        2500.00                 NaN   98.9108       0.958787E-001  0.428269                 NaN  0.236450                 NaN  0.328634                 NaN            NaN            NaN
