|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.211890E-001   90.5775        6.37692        2.81421                 NaN  0.210216                 NaN            NaN            NaN            NaN            NaN
  1412.42        2500.00       0.956998E-004   99.0428       0.326701       0.180945                 NaN  0.127630                 NaN  0.321832                 NaN            NaN            NaN
  1411.39        2500.00                 NaN   98.9691       0.330507       0.187578                 NaN  0.144889                 NaN  0.367878                 NaN            NaN            NaN
  1410.35        2500.00                 NaN   98.9791       0.182886       0.328827                 NaN  0.144526                 NaN  0.364656                 NaN            NaN            NaN
  1409.32        2500.00                 NaN   98.9932       0.324856       0.178751                 NaN  0.143598                 NaN  0.359613                 NaN            NaN            NaN
  1408.28        2500.00                 NaN   99.0022       0.322998       0.174504                 NaN  0.143631                 NaN  0.356709                 NaN            NaN            NaN
  1407.24        2500.00                 NaN   99.0137       0.320191       0.170533                 NaN  0.142951                 NaN  0.352612                 NaN            NaN            NaN
  1406.21        2500.00                 NaN   99.0249       0.317536       0.166208                 NaN  0.142496                 NaN  0.348870                 NaN            NaN            NaN
  1405.17        2500.00                 NaN   99.0105       0.323153       0.166089                 NaN  0.145986                 NaN  0.354240                 NaN            NaN            NaN
  1404.13        2500.00                 NaN   99.0709       0.304105       0.154534                 NaN  0.137831                 NaN  0.332676                 NaN            NaN            NaN
  1403.10        2500.00                 NaN   99.0556       0.310516       0.154439                 NaN  0.141142                 NaN  0.338282                 NaN            NaN            NaN
  1402.06        2500.00                 NaN   99.0638       0.309152       0.152938                 NaN  0.138885                 NaN  0.335254                 NaN            NaN            NaN
  1401.03        2500.00                 NaN   99.0783       0.305589       0.143520                 NaN  0.141921                 NaN  0.330656                 NaN            NaN            NaN
  1399.99        2500.00                 NaN   99.0773       0.150820       0.301300                 NaN  0.139097                 NaN  0.331486                 NaN            NaN            NaN
  1398.95        2500.00                 NaN   99.1054       0.132859       0.300950                 NaN  0.140213                 NaN  0.320551                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   99.1050       0.298971       0.135938                 NaN  0.138817                 NaN  0.321288                 NaN            NaN            NaN
  1396.88        2500.00                 NaN   99.0451       0.319798       0.143127                 NaN  0.149019                 NaN  0.342932                 NaN            NaN            NaN
  1395.84        2500.00                 NaN   99.1914       0.271823       0.119041                 NaN  0.127252                 NaN  0.290484                 NaN            NaN            NaN
  1394.81        2500.00                 NaN   99.1328       0.292015       0.126274                 NaN  0.137295                 NaN  0.311646                 NaN            NaN            NaN
  1393.77        2500.00                 NaN   99.1367       0.119364       0.293243                 NaN  0.139201                 NaN  0.311477                 NaN            NaN            NaN
  1392.74        2500.00       0.178815E-003   99.0086       0.339701       0.137671                 NaN  0.158609                 NaN  0.355279                 NaN            NaN            NaN
  1391.70        2500.00                 NaN   99.3030       0.993103E-001  0.236102                 NaN  0.111411                 NaN  0.250223                 NaN            NaN            NaN
  1390.66        2500.00                 NaN   99.1668       0.284411       0.113591                 NaN  0.135482                 NaN  0.299725                 NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.1735       0.110743       0.283086                 NaN  0.135137                 NaN  0.297510                 NaN            NaN            NaN
  1388.59        2500.00                 NaN   99.1832       0.280520       0.107557                 NaN  0.134654                 NaN  0.294032                 NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.1918       0.105156       0.278705                 NaN  0.133566                 NaN  0.290729                 NaN            NaN            NaN
  1386.52        2500.00                 NaN   99.1992       0.102213       0.276922                 NaN  0.133311                 NaN  0.288308                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.2069       0.995583E-001  0.275012                 NaN  0.132877                 NaN  0.285617                 NaN            NaN            NaN
  1384.45        2500.00                 NaN   99.2147       0.968091E-001  0.273135                 NaN  0.132446                 NaN  0.282950                 NaN            NaN            NaN
