|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.5/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1625.00        2500.00       0.427236E-002            NaN   99.0694       0.751676       0.174631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.43        2500.00                 NaN            NaN   98.9449       0.912647       0.142494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.87        2500.00                 NaN            NaN   98.9422       0.916541       0.141259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.30        2500.00                 NaN            NaN   98.9629       0.896863       0.140265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.73        2500.00                 NaN            NaN   98.9702       0.890463       0.139290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN            NaN   98.9808       0.881430       0.137764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.60        2500.00                 NaN            NaN   98.9898       0.875029       0.135145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN            NaN   99.0007       0.866635       0.132626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN            NaN   99.0122       0.855758       0.132084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.90        2500.00                 NaN            NaN   99.0194       0.850887       0.129673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.34        2500.00                 NaN            NaN   99.0315       0.840205       0.128293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.77        2500.00                 NaN            NaN   99.0409       0.831348       0.127757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.20        2500.00                 NaN            NaN   99.0033       0.865639       0.131061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00                 NaN            NaN   99.1060       0.776000       0.117972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00                 NaN            NaN   99.0681       0.809858       0.122090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN            NaN   99.0787       0.800953       0.120379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00                 NaN            NaN   99.0876       0.794484       0.117915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00                 NaN            NaN   99.0945       0.788799       0.116746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00                 NaN            NaN   99.0931       0.792469       0.114476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00                 NaN            NaN   99.1215       0.765277       0.113209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00                 NaN            NaN   99.1142       0.773091       0.112757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN            NaN   99.1394       0.767735       0.928991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00                 NaN            NaN   99.1345       0.737751       0.127784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN            NaN   99.1457       0.744324       0.110019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00                 NaN            NaN   99.1532       0.740182       0.106620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN            NaN   99.1592       0.735055       0.105750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00                 NaN            NaN   99.1689       0.726743       0.104403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00                 NaN            NaN   99.1759       0.720686       0.103455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.14        2500.00                 NaN            NaN   99.1793       0.720581       0.100083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00                 NaN            NaN   99.1907       0.708351       0.100983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00                 NaN            NaN   99.1884       0.713293       0.983073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN            NaN   99.2104       0.692955       0.966724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00                 NaN            NaN   99.2103       0.692777       0.969026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN            NaN   99.2171       0.687348       0.955050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00                 NaN            NaN   99.2200       0.685719       0.942826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00                 NaN            NaN   99.2285       0.680101       0.913921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00                 NaN            NaN   98.9659       0.908202       0.125906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN            NaN   99.9587       0.588282E-003  0.406817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.48        2500.00                 NaN            NaN   98.8153        1.07872       0.105939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN            NaN   99.2517       0.660698       0.876043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.34        2500.00                 NaN            NaN   99.1071       0.792743       0.100193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00                 NaN            NaN   99.4201       0.512241       0.676748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.21        2500.00                 NaN            NaN   99.2711       0.645707       0.832237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00                 NaN            NaN   99.2775       0.640634       0.818271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.08        2500.00                 NaN            NaN   99.2816       0.637808       0.806095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00                 NaN            NaN   99.2881       0.632271       0.796421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.94        2500.00                 NaN            NaN   99.2940       0.627002       0.790160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN            NaN   99.2991       0.623220       0.776488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.81        2500.00                 NaN            NaN   99.3038       0.620045       0.761262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00                 NaN            NaN   99.3080       0.617157       0.748806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN            NaN   99.3120       0.615109       0.728767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN            NaN   99.3194       0.608198       0.723956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.55        2500.00                 NaN            NaN   99.3234       0.604270       0.723736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00                 NaN            NaN   99.4363       0.503701       0.600178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.41        2500.00                 NaN            NaN   99.2240       0.695972       0.800364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00                 NaN            NaN   99.3375       0.594557       0.679380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.28        2500.00                 NaN            NaN   99.3407       0.592851       0.664162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00                 NaN            NaN   99.3455       0.589357       0.651588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.15        2500.00                 NaN            NaN   99.3466       0.588561       0.647912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        2500.00                 NaN            NaN   99.3583       0.577187       0.645591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.02        2500.00                 NaN            NaN   99.3522       0.588236       0.595808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        2500.00                 NaN            NaN   99.3677       0.572347       0.599903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.88        2500.00                 NaN            NaN   99.3664       0.573267       0.603799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00                 NaN            NaN   99.3704       0.571554       0.579985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        2500.00                 NaN            NaN   99.3733       0.569545       0.571570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.18        2500.00                 NaN            NaN   99.3783       0.565268       0.564782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN            NaN   99.3819       0.562186       0.559215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.05        2500.00                 NaN            NaN   99.3837       0.562622       0.536697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.48        2500.00                 NaN            NaN   99.3895       0.557042       0.534457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00                 NaN            NaN   99.3902       0.559830       0.499413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.35        2500.00                 NaN            NaN   99.3959       0.527274       0.768065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00                 NaN            NaN   99.3986       0.577900       0.234973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.22        2500.00                 NaN            NaN   99.3939       0.554358       0.517828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.65        2500.00                 NaN            NaN   99.4139       0.538715       0.473522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.09        2500.00                 NaN            NaN   99.4077       0.551304       0.409485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00                 NaN            NaN   99.4097       0.541206       0.491181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.95        2500.00                 NaN            NaN   99.4098       0.550584       0.396334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.39        2500.00                 NaN            NaN   99.4175       0.539233       0.432625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.82        2500.00                 NaN            NaN   99.4184       0.540712       0.409067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00                 NaN            NaN   99.4201       0.537148       0.427641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        2500.00                 NaN            NaN   99.4259       0.536541       0.376025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.12        2500.00                 NaN            NaN   99.4260       0.536165       0.378748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.55        2500.00                 NaN            NaN   99.4307       0.530296       0.390023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.99        2500.00                 NaN            NaN   99.4312       0.533373       0.354031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN            NaN   99.3218       0.635815       0.423694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.85        2500.00                 NaN            NaN   99.5457       0.427219       0.270951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.29        2500.00                 NaN            NaN   99.4197       0.522953       0.321560E-001  0.252009E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00                 NaN            NaN   98.7859       0.201026       0.101746       0.911336                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.16        2500.00                 NaN            NaN   98.2142       0.280709       0.143694        1.36143                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN            NaN   99.3850       0.100270       0.508034E-001  0.463957                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.02        2500.00                 NaN            NaN   98.8076       0.197774       0.921771E-001  0.902412                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        2500.00                 NaN            NaN   98.8322       0.189845       0.949640E-001  0.883037                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.89        2500.00                 NaN            NaN   98.8366       0.187676       0.946520E-001  0.881024                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00                 NaN            NaN   98.8471       0.185106       0.932692E-001  0.874535                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00                 NaN            NaN   98.8503       0.186975       0.871785E-001  0.875554                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00                 NaN            NaN   98.8680       0.180976       0.905743E-001  0.860491                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.62        2500.00                 NaN            NaN   98.8751       0.179039       0.886433E-001  0.857230                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.06        2500.00                 NaN            NaN   98.8827       0.177158       0.873917E-001  0.852770                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.49        2500.00                 NaN            NaN   98.8917       0.175179       0.864350E-001  0.846647                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.92        2500.00                 NaN            NaN   98.8985       0.162399       0.835505E-001  0.171270E-001  0.838454                 NaN            NaN            NaN            NaN            NaN
  1468.36        2500.00                 NaN            NaN   98.8786       0.925424E-003  0.626423E-001  0.280310       0.777510                 NaN            NaN            NaN            NaN            NaN
