|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.5/WD94/WD94_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000        99.2824       0.526963       0.190615                 NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.6809       0.300651       0.184508E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        98.3243        1.57587       0.998464E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.0156       0.927536       0.568221E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.0275       0.916256       0.562851E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.0369       0.907436       0.556835E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.0423       0.903199       0.544566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.0625       0.884790       0.527119E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.0561       0.892686       0.512097E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.0835       0.867792       0.487221E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.0826       0.868385       0.490103E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.0940       0.858554       0.474911E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.0484       0.903065       0.484927E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.1675       0.788186       0.443484E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.1207       0.835571       0.436929E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.1306       0.800732       0.686959E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.1355       0.847086       0.173981E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.1450       0.813284       0.416919E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        99.1529       0.805713       0.413839E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.1598       0.801938       0.382867E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.1701       0.792239       0.376453E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.1755       0.788398       0.361000E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.1840       0.780363       0.356646E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.1905       0.775181       0.343065E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.1986       0.768168       0.332088E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.2046       0.763645       0.317454E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        97.5228        2.41166       0.655739E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.9873                 NaN  0.126972E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.3969       0.569932       0.331238E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        99.2381       0.735745       0.261556E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.2423       0.730993       0.266790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.2383       0.740208       0.215238E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.2690       0.707504       0.234515E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.2625       0.716416       0.211200E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.2704       0.708322       0.212525E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.2724       0.727279       0.311640E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.2821       0.679563       0.382938E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.2864       0.696154       0.174821E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.2903       0.693184       0.165488E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.2990       0.683511       0.174512E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.3006       0.683262       0.161407E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.3095       0.675892       0.146432E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        98.9666        1.01751       0.158931E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.6650       0.330702       0.430106E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.4008       0.592622       0.653668E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.2444       0.746246       0.938977E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        500.000        99.1379       0.655971       0.206139                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        500.000        99.5579       0.442134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        500.000        99.3413       0.658696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        500.000        99.3440       0.656040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        500.000        99.3516       0.648390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        500.000        99.3445       0.655547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000        99.5241       0.475786       0.799120E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        500.000        99.2099       0.790121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.3694       0.630622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        500.000        99.2913       0.708681       0.609268E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000        99.6276       0.372376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        500.000        99.2064       0.793571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        500.000        99.3539       0.640023       0.605535E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        500.000        99.4229       0.577086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        500.000        99.3926       0.607363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        500.000        99.3985       0.601511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        500.000        99.3980       0.601996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        500.000        99.2008       0.799212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.8711       0.128880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        500.000        99.1507       0.849284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        500.000        99.4173       0.582703       0.147967E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        500.000        99.4202       0.579838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4221       0.577943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        500.000        99.4241       0.575879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000        99.4286       0.571376       0.110772E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        500.000        99.4248       0.575174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000        99.4425       0.557461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000        99.4365       0.563465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.4398       0.560186       0.590812E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000        99.4425       0.557510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000        99.4459       0.554082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000        99.9834       0.415068E-002  0.124392E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000        98.9224        1.07762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000        99.4533       0.546673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000        99.4290       0.405093                 NaN  0.165917                 NaN            NaN            NaN            NaN            NaN
  1476.18        500.000        99.3365                 NaN            NaN  0.663461                 NaN            NaN            NaN            NaN            NaN
  1474.68        500.000        99.3169                 NaN            NaN  0.683108                 NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.3136                 NaN            NaN  0.686396                 NaN            NaN            NaN            NaN            NaN
  1471.68        500.000        99.3263                 NaN            NaN  0.673721                 NaN            NaN            NaN            NaN            NaN
  1470.17        500.000        99.2963                 NaN            NaN  0.703707                 NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.3059                 NaN            NaN  0.694093                 NaN            NaN            NaN            NaN            NaN
  1467.17        500.000        99.3034                 NaN            NaN  0.696620                 NaN            NaN            NaN            NaN            NaN
  1465.67        500.000        99.2993                 NaN            NaN  0.700679                 NaN            NaN            NaN            NaN            NaN
  1464.17        500.000        99.2904                 NaN            NaN  0.709621                 NaN            NaN            NaN            NaN            NaN
  1462.66        500.000        99.2865                 NaN            NaN  0.713495                 NaN            NaN            NaN            NaN            NaN
  1461.16        500.000        99.1076                 NaN            NaN  0.304159       0.588263                 NaN            NaN            NaN            NaN
  1459.66        500.000        98.8689                 NaN            NaN  0.396002       0.735070                 NaN            NaN            NaN            NaN
  1458.16        500.000        98.8810                 NaN            NaN  0.728605       0.390421                 NaN            NaN            NaN            NaN
  1456.66        500.000        98.8910                 NaN            NaN  0.721546       0.387418                 NaN            NaN            NaN            NaN
  1455.15        500.000        98.9013                 NaN            NaN  0.714632       0.384078                 NaN            NaN            NaN            NaN
  1453.65        500.000        98.9133                 NaN            NaN  0.379013       0.707691                 NaN            NaN            NaN            NaN
  1452.15        500.000        98.9195                 NaN            NaN  0.375812       0.704642                 NaN            NaN            NaN            NaN
  1450.65        500.000        98.9305                 NaN            NaN  0.370851       0.698679                 NaN            NaN            NaN            NaN
  1449.14        500.000        98.9423                 NaN            NaN  0.689699       0.367955                 NaN            NaN            NaN            NaN
  1447.64        500.000        98.9492                 NaN            NaN  0.686937       0.363825                 NaN            NaN            NaN            NaN
  1446.14        500.000        98.9580                 NaN            NaN  0.360585       0.681389                 NaN            NaN            NaN            NaN
  1444.64        500.000        98.9700                 NaN            NaN  0.356423       0.673608                 NaN            NaN            NaN            NaN
  1443.14        500.000        98.9763                 NaN            NaN  0.354643       0.669035                 NaN            NaN            NaN            NaN
  1441.63        500.000        98.9861                 NaN            NaN  0.664410       0.349446                 NaN            NaN            NaN            NaN
  1440.13        500.000        98.9903                 NaN            NaN  0.662597       0.347080                 NaN            NaN            NaN            NaN
  1438.63        500.000        99.0051                 NaN            NaN  0.651906       0.342979                 NaN            NaN            NaN            NaN
  1437.13        500.000        99.0101                 NaN            NaN  0.341056       0.648823                 NaN            NaN            NaN            NaN
  1435.63        500.000        99.0189                 NaN            NaN  0.336476       0.644609                 NaN            NaN            NaN            NaN
  1434.12        500.000        99.0263                 NaN            NaN  0.333887       0.639782                 NaN            NaN            NaN            NaN
  1432.62        500.000        99.0332                 NaN            NaN  0.636195       0.330581                 NaN            NaN            NaN            NaN
  1431.12        500.000        98.8656                 NaN            NaN  0.407065       0.655523       0.717797E-001            NaN            NaN            NaN
  1429.62        500.000        97.0428                 NaN            NaN   1.23724       0.893727       0.826237                 NaN            NaN            NaN
  1428.11        500.000        97.1085                 NaN            NaN   1.20961       0.873868       0.808015                 NaN            NaN            NaN
  1426.61        500.000        97.1704                 NaN            NaN   1.18223       0.857223       0.790178                 NaN            NaN            NaN
  1425.11        500.000        97.2286                 NaN            NaN  0.839545        1.15796       0.773925                 NaN            NaN            NaN
  1423.61        500.000        97.2910                 NaN            NaN  0.821901        1.13111       0.755989                 NaN            NaN            NaN
  1422.11        500.000        97.3463                 NaN            NaN  0.805716        1.10759       0.740393                 NaN            NaN            NaN
  1420.60        500.000        97.3977                 NaN            NaN   1.08584       0.790928       0.725553                 NaN            NaN            NaN
  1419.10        500.000        97.4506                 NaN            NaN  0.775340        1.06348       0.710566                 NaN            NaN            NaN
  1417.60        500.000        97.4987                 NaN            NaN  0.761152        1.04323       0.696897                 NaN            NaN            NaN
  1416.10        500.000        97.5492                 NaN            NaN   1.02288       0.744854       0.683039                 NaN            NaN            NaN
  1414.59        500.000        97.5965                 NaN            NaN   1.00247       0.732083       0.668955                 NaN            NaN            NaN
  1413.09        500.000        97.6393                 NaN            NaN  0.984680       0.719278       0.656768                 NaN            NaN            NaN
  1411.59        500.000        97.6784                 NaN            NaN  0.707302       0.968703       0.645579                 NaN            NaN            NaN
  1410.09        500.000        97.7255                 NaN            NaN  0.693190       0.949369       0.631909                 NaN            NaN            NaN
  1408.59        500.000        97.7647                 NaN            NaN  0.933040       0.681583       0.620724                 NaN            NaN            NaN
  1407.08        500.000        97.8040                 NaN            NaN  0.916804       0.669660       0.609527                 NaN            NaN            NaN
  1405.58        500.000        97.8405                 NaN            NaN  0.901912       0.658713       0.598853                 NaN            NaN            NaN
  1404.08        500.000        97.8784                 NaN            NaN  0.648210       0.885396       0.587945                 NaN            NaN            NaN
  1402.58        500.000        97.9133                 NaN            NaN  0.872255       0.636873       0.577563                 NaN            NaN            NaN
  1401.08        500.000        97.9432                 NaN            NaN  0.626846       0.860807       0.569127                 NaN            NaN            NaN
  1399.57        500.000        97.9846                 NaN            NaN  0.843774       0.614744       0.556841                 NaN            NaN            NaN
  1398.07        500.000        98.0119                 NaN            NaN  0.606643       0.832505       0.548961                 NaN            NaN            NaN
  1396.57        500.000        98.0431                 NaN            NaN  0.597207       0.819849       0.539848                 NaN            NaN            NaN
  1395.07        500.000        98.0705                 NaN            NaN  0.809353       0.588430       0.531710                 NaN            NaN            NaN
  1393.56        500.000        98.1016                 NaN            NaN  0.578634       0.797154       0.522618                 NaN            NaN            NaN
  1392.06        500.000        98.1316                 NaN            NaN  0.785284       0.569297       0.513849                 NaN            NaN            NaN
  1390.56        500.000        98.1497                 NaN  0.219914       0.663326       0.430143       0.536889                 NaN            NaN            NaN
  1389.06        500.000        98.1836                 NaN  0.263117       0.673834       0.347077       0.532402                 NaN            NaN            NaN
  1387.56        500.000        98.2059                 NaN  0.268334       0.330116       0.669396       0.526241                 NaN            NaN            NaN
  1386.05        500.000        98.2361                 NaN  0.270704       0.664499       0.310798       0.517940                 NaN            NaN            NaN
  1384.55        500.000        98.2612                 NaN  0.273701       0.294357       0.659802       0.510949                 NaN            NaN            NaN
  1383.05        500.000        98.2798                 NaN  0.278639       0.278246       0.657426       0.505872                 NaN            NaN            NaN
  1381.55        500.000        98.3165                 NaN  0.277772       0.647882       0.262739       0.495125                 NaN            NaN            NaN
  1380.05        500.000        98.3316                 NaN  0.283112       0.247855       0.646035       0.491359                 NaN            NaN            NaN
  1378.54        500.000        98.3641                 NaN  0.284367       0.639728       0.229847       0.481910                 NaN            NaN            NaN
  1377.04        500.000        98.3616                 NaN  0.300822       0.651774       0.200453       0.485373                 NaN            NaN            NaN
  1375.54        500.000        98.4318                 NaN  0.277776       0.616443       0.213289       0.460683                 NaN            NaN            NaN
  1374.04        500.000        98.4269                 NaN  0.292372       0.629620       0.186884       0.464181                 NaN            NaN            NaN
  1372.53        500.000        98.3018                 NaN  0.234621       0.354720       0.601064       0.507818                 NaN            NaN            NaN
  1371.03        500.000        98.6096                 NaN  0.350844       0.636079                 NaN  0.403468                 NaN            NaN            NaN
  1369.53        500.000        98.4943                 NaN  0.306152       0.624749       0.128815       0.445960                 NaN            NaN            NaN
  1368.03        500.000        98.5109                 NaN  0.301199       0.614422       0.133164       0.440271                 NaN            NaN            NaN
  1366.53        500.000        98.5317                 NaN  0.303222       0.610549       0.120128       0.434410                 NaN            NaN            NaN
  1365.02        500.000        98.5491                 NaN  0.305136       0.608568       0.107890       0.429309                 NaN            NaN            NaN
  1363.52        500.000        98.5676                 NaN  0.306310       0.605772       0.964387E-001  0.423865                 NaN            NaN            NaN
  1362.02        500.000        98.5878                 NaN  0.307616       0.853981E-001  0.601191       0.417984                 NaN            NaN            NaN
  1360.52        500.000        98.5256                 NaN  0.198477       0.505796       0.347578       0.422580                 NaN            NaN            NaN
  1359.02        500.000        98.6542                 NaN  0.333352       0.612403                 NaN  0.400077                 NaN            NaN            NaN
