|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.5/WD94/WD94_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1599.36        500.000        99.3714       0.465247       0.163362                 NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        500.000        99.7189       0.265293       0.157989E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        500.000        98.5223        1.39214       0.855840E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        500.000        99.1329       0.818468       0.486423E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        500.000        99.1435       0.808339       0.481651E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        500.000        99.1520       0.800361       0.476302E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        500.000        99.1570       0.796389       0.465696E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        500.000        99.1751       0.779854       0.450429E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        500.000        99.1696       0.786684       0.437433E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        500.000        99.1939       0.764465       0.415927E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        500.000        99.1934       0.764753       0.418169E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        500.000        99.2035       0.755944       0.405095E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        500.000        99.1635       0.795117       0.413603E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        500.000        99.2686       0.693628       0.377999E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        500.000        99.2276       0.735141       0.372242E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        500.000        99.2373       0.704247       0.584980E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        500.000        99.2404       0.744799       0.148091E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        500.000        99.2497       0.714870       0.354714E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        500.000        99.2567       0.708076       0.351982E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        500.000        99.2629       0.704508       0.325434E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        500.000        99.2722       0.695816       0.319928E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        500.000        99.2771       0.692279       0.306588E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        500.000        99.2847       0.685069       0.302792E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2907       0.680230       0.291073E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        500.000        99.2979       0.673942       0.281633E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        500.000        99.3033       0.669798       0.269129E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        500.000        97.8240        2.11998       0.560569E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.9892                 NaN  0.107541E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.4727       0.499235       0.280266E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        500.000        99.3335       0.644392       0.221206E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.3373       0.640145       0.225610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        500.000        99.3339       0.647924       0.181890E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        500.000        99.3611       0.619108       0.198072E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        500.000        99.3553       0.626866       0.178334E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.3626       0.619502       0.179305E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        500.000        99.3638       0.635982       0.262687E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        500.000        99.3736       0.594080       0.322901E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        500.000        99.3768       0.608423       0.147325E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        500.000        99.3804       0.605641       0.139397E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        500.000        99.3883       0.597012       0.146925E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        500.000        99.3898       0.596613       0.135836E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        500.000        99.3978       0.589898       0.123142E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        500.000        99.0981       0.888580       0.133653E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        500.000        99.7080       0.288418       0.361341E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.4776       0.516959       0.548867E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        500.000        99.3414       0.650711       0.788245E-002            NaN            NaN            NaN            NaN            NaN            NaN
