|6.6.6
Archiving\03_Data\Deq/QFM_m0.5/K22/K22_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.3753       0.624719                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3211       0.678931                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2669       0.733143                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2126       0.787355                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1584       0.841566                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1042       0.895777                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.0500       0.949988                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        98.9958        1.00420                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.9416        1.05841                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.7278        1.27221                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.5140        1.48601                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.3002        1.69981                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.0864        1.91361                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.8726        2.12741                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.6588        2.34121                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.4450        2.55501                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.2312        2.76881                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.7374        3.26257                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.2437        3.75633                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.7499        4.25010                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.2561        4.74388                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        94.6584        5.34155                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        94.0372        5.95118       0.116367E-001            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        93.3824        6.58692       0.306668E-001            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        92.7276        7.22267       0.496972E-001            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        92.0595        7.87293       0.675297E-001            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        91.3914        8.52320       0.853626E-001            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        90.7233        9.17348       0.103196                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        90.0552        9.82378       0.121029                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        89.3871        10.4741       0.138863                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        88.7189        11.1244       0.156697                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        88.0507        11.7747       0.174532                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        87.3826        12.4251       0.192367                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        86.7452        13.0462       0.208597                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        86.1078        13.6673       0.224828                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        85.4704        14.2885       0.241059                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        84.8330        14.9097       0.257290                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        84.1956        15.5308       0.273522                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        83.5582        16.1520       0.289754                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        82.9208        16.7732       0.305986                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        82.2833        17.3945       0.322219                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        81.6863        17.9766       0.337112                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        81.0892        18.5588       0.352006                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        80.4921        19.1410       0.366900                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        79.8950        19.7232       0.381794                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        79.2979        20.3054       0.396689                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        78.7007        20.8877       0.411584                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        78.1036        21.4699       0.426479                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        77.5065        22.0522       0.441374                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        76.9425        22.6024       0.455071                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        76.3786        23.1527       0.468768                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        75.8146        23.7029       0.482465                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        75.2506        24.2532       0.496162                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        74.6867        24.8035       0.509860                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        74.1227        25.3538       0.523558                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        73.5587        25.9041       0.537256                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        72.9946        26.4544       0.550955                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        72.4547        26.9816       0.563672                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        71.9148        27.5088       0.576390                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        71.3749        28.0360       0.589108                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        70.8349        28.5633       0.601826                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        70.2950        29.0905       0.614544                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        69.7550        29.6177       0.627263                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        69.2150        30.1450       0.639982                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        68.6750        30.6723       0.652702                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        68.1587        31.1769       0.664427                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        67.6424        31.6815       0.676152                 NaN            NaN            NaN            NaN            NaN
