|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        2500.00       0.201336E-001            NaN   99.6925       0.156244       0.131127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00       0.305153E-002            NaN   99.2308       0.659007       0.107121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN            NaN   99.2282       0.674214       0.976115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN            NaN   99.2329       0.670881       0.962141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN            NaN   99.2409       0.664006       0.950476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN            NaN   99.2463       0.659685       0.939783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN            NaN   99.2476       0.661216       0.911809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN            NaN   99.2651       0.643323       0.915306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN            NaN   99.2497       0.657553       0.927585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN            NaN   99.2936       0.627710       0.786690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN            NaN   99.2768       0.626788       0.963821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN            NaN   99.2850       0.629767       0.852230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN            NaN   99.2814       0.629623       0.889591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN            NaN   99.3117       0.605532       0.827810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN            NaN   99.3027       0.613949       0.833701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN            NaN   99.3103       0.606578       0.831428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN            NaN   99.3156       0.602590       0.818357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN            NaN   99.3191       0.601740       0.791769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN            NaN   99.3195       0.600955       0.795464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN            NaN   99.0483       0.842041       0.109627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00                 NaN            NaN   99.6298       0.327074       0.431641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN            NaN   99.3371       0.585582       0.773595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00                 NaN            NaN   99.3518       0.573160       0.750673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00                 NaN            NaN   99.3508       0.571071       0.780887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00                 NaN            NaN   99.3351       0.589693       0.752224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN            NaN   99.3853       0.546200       0.685009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN            NaN   99.3413       0.603219       0.555105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00                 NaN            NaN   99.3983       0.517168       0.845148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00                 NaN            NaN   99.3759       0.555428       0.686756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00                 NaN            NaN   99.3816       0.550224       0.681658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00                 NaN            NaN   99.3857       0.547251       0.670279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN            NaN   99.3904       0.543423       0.661743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN            NaN   99.3766       0.556437       0.669922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00                 NaN            NaN   99.4161       0.522318       0.616178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00                 NaN            NaN   99.3983       0.533657       0.680911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00                 NaN            NaN   99.4131       0.529973       0.569573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00                 NaN            NaN   99.4114       0.526542       0.620311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00                 NaN            NaN   99.4132       0.525628       0.612174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00                 NaN            NaN   99.4242       0.516740       0.590295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN            NaN   99.4224       0.519139       0.584301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00                 NaN            NaN   99.4287       0.514947       0.563449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00                 NaN            NaN   99.5066       0.444955       0.484433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00                 NaN            NaN   99.3598       0.577751       0.624946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00                 NaN            NaN   99.4356       0.508024       0.563508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00                 NaN            NaN   99.4434       0.505238       0.513374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00                 NaN            NaN   99.4482       0.500498       0.513067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00                 NaN            NaN   99.4484       0.499764       0.518712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN            NaN   99.4550       0.494710       0.502893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN            NaN   99.4569       0.492937       0.501150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00                 NaN            NaN   99.4823       0.470478       0.471854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00                 NaN            NaN   99.4496       0.383243       0.167193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00                 NaN            NaN   99.4607       0.519875       0.193916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00                 NaN            NaN   99.4703       0.492380       0.373090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00                 NaN            NaN   99.4680       0.520466       0.115749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00                 NaN            NaN   99.4774       0.511171       0.114454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
