|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        2500.00       0.129633E-001            NaN   99.7367       0.137874       0.112510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00       0.196560E-002            NaN   99.3245       0.581598       0.919223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN            NaN   99.3214       0.594833       0.837224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN            NaN   99.3258       0.591714       0.824839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN            NaN   99.3331       0.585474       0.814414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN            NaN   99.3380       0.581488       0.804836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN            NaN   99.3391       0.582818       0.780940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN            NaN   99.3550       0.566719       0.783092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN            NaN   99.3415       0.579150       0.793757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN            NaN   99.3801       0.552655       0.672591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN            NaN   99.3660       0.551673       0.823666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN            NaN   99.3730       0.554187       0.727927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN            NaN   99.3705       0.553608       0.759366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN            NaN   99.3970       0.532368       0.706308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN            NaN   99.3893       0.539625       0.710994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN            NaN   99.3961       0.532991       0.708952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN            NaN   99.4009       0.529315       0.697371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN            NaN   99.4042       0.528346       0.674281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN            NaN   99.4045       0.527662       0.677910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN            NaN   99.1677       0.739002       0.932806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00                 NaN            NaN   99.6765       0.286814       0.366943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN            NaN   99.4210       0.513314       0.657321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00                 NaN            NaN   99.4338       0.502464       0.637799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00                 NaN            NaN   99.4334       0.500260       0.662920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00                 NaN            NaN   99.4196       0.516563       0.638413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN            NaN   99.4635       0.478384       0.581156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN            NaN   99.4247       0.528197       0.470788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
