|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.5499       0.190266       0.259851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5427       0.197397       0.259871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5356       0.204530       0.259891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.5284       0.211665       0.259910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5213       0.218801       0.259930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5141       0.225939       0.259950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5070       0.233078       0.259970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.4998       0.240219       0.259990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.4926       0.247362       0.260010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.4780       0.262012       0.260031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.4633       0.276665       0.260052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.4486       0.291322       0.260073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.4339       0.305982       0.260094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.4192       0.320645       0.260116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.4046       0.335312       0.260137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.3899       0.349982       0.260158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3752       0.364656       0.260180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3356       0.404148       0.260205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2961       0.443651       0.260231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.2566       0.483164       0.260257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.2170       0.522688       0.260283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1775       0.562221       0.260309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1379       0.601766       0.260335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0983       0.641320       0.260361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.0587       0.680885       0.260387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.8548       0.884761       0.260443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.6508        1.08874       0.260499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.4466        1.29281       0.260555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.2424        1.49699       0.260611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.0381        1.70127       0.260667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.8336        1.90564       0.260722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.6291        2.11011       0.260778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.4245        2.31469       0.260833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.8997        2.83937       0.260948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.3744        3.36454       0.261062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        95.8486        3.89020       0.261176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        95.3224        4.41635       0.261290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        94.7080        5.03060       0.261420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        94.0930        5.64549       0.261550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        93.4500        6.28833       0.261685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        92.8035        6.93353       0.261821       0.116102E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        92.1595        7.57601       0.261957       0.255234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        91.4211        8.28202       0.250065       0.157359E-001  0.311045E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        89.2539        10.0480       0.182864E-001  0.492795E-001  0.630586                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        88.4727        10.7866                 NaN  0.624883E-001  0.678253                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        87.8207        11.4269                 NaN  0.737267E-001  0.678648                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        87.1680        12.0680                 NaN  0.849779E-001  0.679043                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        86.5146        12.7097                 NaN  0.962420E-001  0.679436                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        85.8605        13.3522                 NaN  0.107519       0.679829                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        85.2306        13.9711                 NaN  0.118052       0.680213                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        84.6001        14.5907                 NaN  0.128596       0.680597                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        83.9689        15.2109                 NaN  0.139152       0.680980                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        83.3371        15.8318                 NaN  0.149719       0.681361                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        82.7046        16.4533                 NaN  0.160298       0.681742                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        82.0715        17.0755                 NaN  0.170889       0.682121                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        81.4377        17.6983                 NaN  0.181491       0.682499                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        80.8033        18.3217                 NaN  0.192104       0.682876                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        80.1990        18.9159                 NaN  0.201818       0.683244                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        79.5942        19.5107                 NaN  0.211542       0.683611                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        78.9887        20.1061                 NaN  0.221276       0.683976                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        78.3826        20.7020                 NaN  0.231020       0.684340                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        77.7760        21.2985                 NaN  0.240774       0.684703                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        77.1688        21.8956                 NaN  0.250538       0.685065                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        76.5610        22.4932                 NaN  0.260312       0.685426                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        75.9527        23.0914                 NaN  0.270095       0.685786                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        75.3737        23.6611                 NaN  0.279043       0.686134                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        74.7942        24.2313                 NaN  0.288000       0.686481                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        74.2142        24.8020                 NaN  0.296966       0.686827                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        73.6336        25.3733                 NaN  0.305939       0.687172                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        73.0526        25.9450                 NaN  0.314921       0.687516                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        72.4710        26.5172                 NaN  0.323912       0.687858                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        71.8890        27.0899                 NaN  0.332910       0.688199                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        71.3065        27.6631                 NaN  0.341917       0.688539                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        70.7462        28.2148                 NaN  0.350186       0.688871                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        70.1854        28.7669                 NaN  0.358463       0.689202                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        69.6242        29.3195                 NaN  0.366746       0.689531                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        69.0626        29.8725                 NaN  0.375036       0.689860                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        68.5005        30.4260                 NaN  0.383334       0.690187                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        67.9379        30.9799                 NaN  0.391639       0.690512                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        67.3749        31.5343                 NaN  0.399950       0.690837                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        66.8115        32.0891                 NaN  0.408269       0.691160                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        66.2752        32.6175                 NaN  0.415828       0.691470                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        65.7386        33.1462                 NaN  0.423392       0.691780                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        65.2016        33.6754                 NaN  0.430962       0.692087                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        64.6641        34.2049                 NaN  0.438538       0.692394                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        64.1264        34.7348                 NaN  0.446120       0.692699                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        63.5882        35.2651                 NaN  0.453708       0.693003                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        63.0496        35.7957                 NaN  0.461301       0.693305                 NaN            NaN            NaN            NaN            NaN            NaN
