|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        San(TH)        ilm            q             
  1432.69        2500.00       0.367263E-001   99.8622       0.118576E-001            NaN            NaN  0.762510E-001  0.129997E-001            NaN            NaN            NaN            NaN            NaN
  1431.61        2500.00       0.581973E-003   99.5102       0.121106       0.332613                 NaN            NaN  0.354949E-001            NaN            NaN            NaN            NaN            NaN
  1430.52        2500.00       0.310981E-003   99.4555       0.136601       0.380975                 NaN            NaN  0.266064E-001            NaN            NaN            NaN            NaN            NaN
  1429.44        2500.00       0.275176E-003   99.4605       0.376984       0.134393                 NaN            NaN  0.278968E-001            NaN            NaN            NaN            NaN            NaN
  1428.35        2500.00       0.264460E-003   99.4511       0.138468       0.383160                 NaN            NaN  0.269995E-001            NaN            NaN            NaN            NaN            NaN
  1427.27        2500.00       0.239706E-003   99.4735       0.367117       0.133677                 NaN            NaN  0.254225E-001            NaN            NaN            NaN            NaN            NaN
  1426.18        2500.00       0.224774E-003   99.4654       0.372738       0.136160                 NaN            NaN  0.254429E-001            NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00       0.209056E-003   99.4666       0.136865       0.371214                 NaN            NaN  0.251579E-001            NaN            NaN            NaN            NaN            NaN
  1424.01        2500.00       0.199839E-003   99.4703       0.136940       0.368236                 NaN            NaN  0.243396E-001            NaN            NaN            NaN            NaN            NaN
  1422.93        2500.00       0.182579E-003   99.4717       0.136970       0.367243                 NaN            NaN  0.239461E-001            NaN            NaN            NaN            NaN            NaN
  1421.85        2500.00       0.124569E-003   99.4720       0.100031       0.381322                 NaN            NaN  0.465397E-001            NaN            NaN            NaN            NaN            NaN
  1420.76        2500.00       0.204681E-003   99.4743       0.174230       0.351090                 NaN            NaN  0.138759E-003            NaN            NaN            NaN            NaN            NaN
  1419.68        2500.00       0.155637E-003   99.4376       0.390013       0.147858                 NaN            NaN  0.243930E-001            NaN            NaN            NaN            NaN            NaN
  1418.59        2500.00       0.120192E-003   99.5201       0.332295       0.127348                 NaN            NaN  0.201044E-001            NaN            NaN            NaN            NaN            NaN
  1417.51        2500.00       0.781347E-003   99.4895       0.380319       0.355597E-001            NaN            NaN  0.938186E-001            NaN            NaN            NaN            NaN            NaN
  1416.42        2500.00       0.249562E-005   99.4854       0.157513       0.357070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.34        2500.00       0.169867E-003   99.4790       0.457754                 NaN            NaN            NaN  0.631009E-001            NaN            NaN            NaN            NaN            NaN
  1414.25        2500.00                 NaN   99.9680       0.265886E-001            NaN            NaN            NaN  0.541217E-002            NaN            NaN            NaN            NaN            NaN
  1413.17        2500.00                 NaN   99.0129       0.573108       0.413972                 NaN            NaN  0.555856E-005            NaN            NaN            NaN            NaN            NaN
  1412.09        2500.00                 NaN   99.4870       0.347732       0.157956                 NaN            NaN  0.730914E-002            NaN            NaN            NaN            NaN            NaN
  1411.00        2500.00                 NaN   98.9049       0.373832       0.302437                 NaN            NaN  0.114731       0.304100                 NaN            NaN            NaN            NaN
  1409.92        2500.00                 NaN   98.8038       0.234053       0.400883                 NaN            NaN  0.195074       0.366176                 NaN            NaN            NaN            NaN
  1408.83        2500.00                 NaN   98.8149       0.229015       0.398638                 NaN            NaN  0.194796       0.362676                 NaN            NaN            NaN            NaN
  1407.75        2500.00                 NaN   98.8311       0.393659       0.224239                 NaN            NaN  0.193419       0.357547                 NaN            NaN            NaN            NaN
  1406.66        2500.00                 NaN   98.8421       0.390895       0.219066                 NaN            NaN  0.193612       0.354333                 NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.8413       0.393340       0.213678                 NaN            NaN  0.196318       0.355407                 NaN            NaN            NaN            NaN
  1404.49        2500.00                 NaN   98.8772       0.207916       0.381261                 NaN            NaN  0.190602       0.343028                 NaN            NaN            NaN            NaN
  1403.41        2500.00                 NaN   98.8787       0.203851       0.382068                 NaN            NaN  0.192277       0.343088                 NaN            NaN            NaN            NaN
  1402.33        2500.00                 NaN   98.7593       0.424223       0.222085                 NaN            NaN  0.214788       0.379575                 NaN            NaN            NaN            NaN
  1401.24        2500.00                 NaN   99.0292       0.333105       0.170822                 NaN            NaN  0.169716       0.297144                 NaN            NaN            NaN            NaN
  1400.16        2500.00                 NaN   98.9107       0.188637       0.375085                 NaN            NaN  0.192059       0.333488                 NaN            NaN            NaN            NaN
  1399.07        2500.00                 NaN   98.9192       0.184572       0.373652                 NaN            NaN  0.191648       0.330915                 NaN            NaN            NaN            NaN
  1397.99        2500.00                 NaN   98.9345       0.368814       0.180171                 NaN            NaN  0.190631       0.325934                 NaN            NaN            NaN            NaN
  1396.90        2500.00                 NaN   98.9442       0.175566       0.366223                 NaN            NaN  0.190726       0.323313                 NaN            NaN            NaN            NaN
  1395.82        2500.00                 NaN   98.9477       0.170363       0.366539                 NaN            NaN  0.192837       0.322604                 NaN            NaN            NaN            NaN
  1394.73        2500.00                 NaN   98.9681       0.170037       0.359225                 NaN            NaN  0.187475       0.315175                 NaN            NaN            NaN            NaN
  1393.65        2500.00                 NaN   98.9741       0.163074       0.359180                 NaN            NaN  0.189665       0.314010                 NaN            NaN            NaN            NaN
  1392.57        2500.00                 NaN   98.9834       0.356823       0.159578                 NaN            NaN  0.189158       0.310998                 NaN            NaN            NaN            NaN
  1391.48        2500.00                 NaN   98.9935       0.154994       0.354551                 NaN            NaN  0.188941       0.307967                 NaN            NaN            NaN            NaN
  1390.40        2500.00                 NaN   99.0014       0.352531       0.150893                 NaN            NaN  0.189349       0.305856                 NaN            NaN            NaN            NaN
  1389.31        2500.00                 NaN   98.7497       0.188101       0.443854                 NaN            NaN  0.236538       0.381783                 NaN            NaN            NaN            NaN
  1388.23        2500.00                 NaN   99.2794       0.256093       0.105770                 NaN            NaN  0.138518       0.220170                 NaN            NaN            NaN            NaN
  1387.14        2500.00                 NaN   99.0315       0.140487       0.345197                 NaN            NaN  0.186803       0.296026                 NaN            NaN            NaN            NaN
  1386.06        2500.00                 NaN   99.0399       0.343624       0.136112                 NaN            NaN  0.186763       0.293557                 NaN            NaN            NaN            NaN
  1384.97        2500.00                 NaN   99.0480       0.341527       0.133167                 NaN            NaN  0.186333       0.290967                 NaN            NaN            NaN            NaN
  1383.89        2500.00                 NaN   99.0568       0.339424       0.129723                 NaN            NaN  0.185827       0.288205                 NaN            NaN            NaN            NaN
  1382.81        2500.00                 NaN   99.0633       0.337827       0.127024                 NaN            NaN  0.185695       0.286178                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.0746       0.122696       0.334776                 NaN            NaN  0.185239       0.282694                 NaN            NaN            NaN            NaN
  1380.64        2500.00                 NaN   99.0819       0.333209       0.120390                 NaN            NaN  0.184241       0.280289                 NaN            NaN            NaN            NaN
  1379.55        2500.00                 NaN   99.6025       0.803423E-001  0.126818                 NaN            NaN  0.671130E-001  0.123259                 NaN            NaN            NaN            NaN
  1378.47        2500.00                 NaN   98.5854       0.533671       0.150037                 NaN            NaN  0.300815       0.430109                 NaN            NaN            NaN            NaN
  1377.38        2500.00                 NaN   99.1076       0.326821       0.111495                 NaN            NaN  0.182069       0.272035                 NaN            NaN            NaN            NaN
  1376.30        2500.00                 NaN   98.9190       0.395198       0.131233                 NaN            NaN  0.224408       0.330139                 NaN            NaN            NaN            NaN
  1375.21        2500.00                 NaN   99.6819       0.119248       0.332059E-001            NaN            NaN  0.681978E-001  0.974720E-001            NaN            NaN            NaN            NaN
  1374.13        2500.00                 NaN   98.7642       0.153065       0.454233                 NaN            NaN  0.253094       0.375361                 NaN            NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.1362       0.320116       0.999591E-001            NaN            NaN  0.180641       0.263062                 NaN            NaN            NaN            NaN
  1371.96        2500.00                 NaN   99.1428       0.977973E-001  0.318594                 NaN            NaN  0.179873       0.260932                 NaN            NaN            NaN            NaN
  1370.88        2500.00                 NaN   99.5689       0.419898E-001  0.164904                 NaN            NaN  0.922121E-001  0.131946                 NaN            NaN            NaN            NaN
  1369.79        2500.00                 NaN   98.7310       0.473406       0.146760                 NaN            NaN  0.264730       0.384057                 NaN            NaN            NaN            NaN
  1368.71        2500.00                 NaN   99.1650       0.312854       0.902260E-001            NaN            NaN  0.178059       0.253875                 NaN            NaN            NaN            NaN
  1367.62        2500.00                 NaN   99.1714       0.884673E-001  0.311153                 NaN            NaN  0.177231       0.251793                 NaN            NaN            NaN            NaN
  1366.54        2500.00                 NaN   99.4989       0.187572       0.507644E-001            NaN            NaN  0.109805       0.152950                 NaN            NaN            NaN            NaN
  1365.45        2500.00                 NaN   98.8637       0.427371       0.122461                 NaN            NaN  0.242358       0.344132                 NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1922       0.822981E-001  0.305868                 NaN            NaN  0.174694       0.244907                 NaN            NaN            NaN            NaN
  1363.29        2500.00                 NaN   99.1988       0.304132       0.798681E-001            NaN            NaN  0.174245       0.242958                 NaN            NaN            NaN            NaN
  1362.20        2500.00                 NaN   99.2057       0.776257E-001  0.302737                 NaN            NaN  0.173264       0.240626                 NaN            NaN            NaN            NaN
  1361.12        2500.00                 NaN   99.2104       0.717664E-001  0.303184                 NaN            NaN  0.174981       0.239699                 NaN            NaN            NaN            NaN
  1360.03        2500.00                 NaN   99.2177       0.298178       0.787988E-001            NaN            NaN  0.169282       0.236026                 NaN            NaN            NaN            NaN
  1358.95        2500.00                 NaN   99.2244       0.723745E-001  0.298065                 NaN            NaN  0.170745       0.234379                 NaN            NaN            NaN            NaN
  1357.86        2500.00                 NaN   99.2301       0.296055       0.698739E-001            NaN            NaN  0.171001       0.232951                 NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.2365       0.294430       0.708404E-001            NaN            NaN  0.168089       0.230152                 NaN            NaN            NaN            NaN
  1355.70        2500.00                 NaN   99.2415       0.293600       0.673313E-001            NaN            NaN  0.168669       0.228866                 NaN            NaN            NaN            NaN
  1354.61        2500.00                 NaN   99.2475       0.677054E-001  0.291706                 NaN            NaN  0.166521       0.226588                 NaN            NaN            NaN            NaN
  1353.53        2500.00                 NaN   99.2537       0.653052E-001  0.289197                 NaN            NaN  0.166826       0.224947                 NaN            NaN            NaN            NaN
  1352.44        2500.00                 NaN   99.2591       0.288823       0.648015E-001            NaN            NaN  0.164629       0.222631                 NaN            NaN            NaN            NaN
  1351.36        2500.00                 NaN   99.2644       0.636355E-001  0.286559                 NaN            NaN  0.164261       0.221141                 NaN            NaN            NaN            NaN
  1350.27        2500.00                 NaN   99.2699       0.285925       0.622801E-001            NaN            NaN  0.162829       0.219044                 NaN            NaN            NaN            NaN
  1349.19        2500.00                 NaN   99.2750       0.609299E-001  0.284330                 NaN            NaN  0.162253       0.217514                 NaN            NaN            NaN            NaN
  1348.10        2500.00                 NaN   99.2820       0.598977E-001  0.282295                 NaN            NaN  0.160698       0.215149                 NaN            NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.2872       0.593310E-001  0.280399                 NaN            NaN  0.159672       0.213427                 NaN            NaN            NaN            NaN
  1345.94        2500.00                 NaN   99.2916       0.278846       0.593093E-001            NaN            NaN  0.158423       0.211869                 NaN            NaN            NaN            NaN
  1344.85        2500.00                 NaN   99.2985       0.552562E-001  0.277920                 NaN            NaN  0.158135       0.210228                 NaN            NaN            NaN            NaN
  1343.77        2500.00                 NaN   99.3014       0.276071       0.590589E-001            NaN            NaN  0.155470       0.207968                 NaN            NaN            NaN            NaN
  1342.68        2500.00                 NaN   99.3067       0.559815E-001  0.275183                 NaN            NaN  0.155389       0.206733                 NaN            NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.3121       0.272852       0.572607E-001            NaN            NaN  0.153120       0.204646                 NaN            NaN            NaN            NaN
  1340.51        2500.00                 NaN   99.3171       0.270780       0.562948E-001            NaN            NaN  0.152588       0.203233                 NaN            NaN            NaN            NaN
