|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/LAR/LAR_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             San(TH)        San(TH)        ilm            q             
  1432.69        2500.00       0.236698E-001   99.8924       0.100925E-001            NaN            NaN  0.636258E-001  0.102119E-001            NaN            NaN            NaN            NaN            NaN
  1431.61        2500.00       0.375399E-003   99.5869       0.101803       0.283073                 NaN            NaN  0.278836E-001            NaN            NaN            NaN            NaN            NaN
  1430.52        2500.00       0.200706E-003   99.5400       0.114787       0.324089                 NaN            NaN  0.208827E-001            NaN            NaN            NaN            NaN            NaN
  1429.44        2500.00       0.177648E-003   99.5445       0.320592       0.112857                 NaN            NaN  0.218821E-001            NaN            NaN            NaN            NaN            NaN
  1428.35        2500.00       0.170763E-003   99.5368       0.116211       0.325665                 NaN            NaN  0.211596E-001            NaN            NaN            NaN            NaN            NaN
  1427.27        2500.00       0.154847E-003   99.5559       0.311896       0.112134                 NaN            NaN  0.199105E-001            NaN            NaN            NaN            NaN            NaN
  1426.18        2500.00       0.145252E-003   99.5493       0.316532       0.114153                 NaN            NaN  0.199097E-001            NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00       0.135111E-003   99.5504       0.114675       0.315110                 NaN            NaN  0.196754E-001            NaN            NaN            NaN            NaN            NaN
  1424.01        2500.00       0.129223E-003   99.5538       0.114674       0.312408                 NaN            NaN  0.190148E-001            NaN            NaN            NaN            NaN            NaN
  1422.93        2500.00       0.118112E-003   99.5551       0.114643       0.311437                 NaN            NaN  0.186970E-001            NaN            NaN            NaN            NaN            NaN
  1421.85        2500.00       0.806340E-004   99.5568       0.836704E-001  0.323202                 NaN            NaN  0.362961E-001            NaN            NaN            NaN            NaN            NaN
  1420.76        2500.00       0.132500E-003   99.5566       0.145662       0.297463                 NaN            NaN  0.108153E-003            NaN            NaN            NaN            NaN            NaN
  1419.68        2500.00       0.100799E-003   99.5270       0.330300       0.123555                 NaN            NaN  0.189948E-001            NaN            NaN            NaN            NaN            NaN
  1418.59        2500.00       0.778666E-004   99.5966       0.281280       0.106356                 NaN            NaN  0.156476E-001            NaN            NaN            NaN            NaN            NaN
  1417.51        2500.00       0.506446E-003   99.5751       0.321790       0.296816E-001            NaN            NaN  0.729556E-001            NaN            NaN            NaN            NaN            NaN
  1416.42        2500.00       0.161792E-005   99.5667       0.131392       0.301955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.34        2500.00       0.110239E-003   99.5638       0.387119                 NaN            NaN            NaN  0.490046E-001            NaN            NaN            NaN            NaN            NaN
  1414.25        2500.00                 NaN   99.9733       0.224943E-001            NaN            NaN            NaN  0.419825E-002            NaN            NaN            NaN            NaN            NaN
  1413.17        2500.00                 NaN   99.1707       0.484299       0.344996                 NaN            NaN  0.431202E-005            NaN            NaN            NaN            NaN            NaN
  1412.09        2500.00                 NaN   99.5694       0.293509       0.131469                 NaN            NaN  0.566147E-002            NaN            NaN            NaN            NaN            NaN
  1411.00        2500.00                 NaN   99.0298       0.315442       0.251616                 NaN            NaN  0.887764E-001  0.314329                 NaN            NaN            NaN            NaN
  1409.92        2500.00                 NaN   98.9384       0.194565       0.338007                 NaN            NaN  0.150729       0.378342                 NaN            NaN            NaN            NaN
  1408.83        2500.00                 NaN   98.9491       0.190192       0.335847                 NaN            NaN  0.150277       0.374537                 NaN            NaN            NaN            NaN
  1407.75        2500.00                 NaN   98.9645       0.331364       0.186051                 NaN            NaN  0.148989       0.369050                 NaN            NaN            NaN            NaN
  1406.66        2500.00                 NaN   98.9752       0.328771       0.181592                 NaN            NaN  0.148900       0.365545                 NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.9751       0.330620       0.176998                 NaN            NaN  0.150784       0.366465                 NaN            NaN            NaN            NaN
  1404.49        2500.00                 NaN   99.0083       0.171989       0.320071                 NaN            NaN  0.146100       0.353508                 NaN            NaN            NaN            NaN
  1403.41        2500.00                 NaN   99.0104       0.168495       0.320530                 NaN            NaN  0.147171       0.353387                 NaN            NaN            NaN            NaN
  1402.33        2500.00                 NaN   98.9061       0.355619       0.183392                 NaN            NaN  0.164125       0.390795                 NaN            NaN            NaN            NaN
  1401.24        2500.00                 NaN   99.1450       0.278909       0.140901                 NaN            NaN  0.129489       0.305687                 NaN            NaN            NaN            NaN
  1400.16        2500.00                 NaN   99.0414       0.155482       0.313871                 NaN            NaN  0.146336       0.342942                 NaN            NaN            NaN            NaN
  1399.07        2500.00                 NaN   99.0499       0.151982       0.312290                 NaN            NaN  0.145729       0.340110                 NaN            NaN            NaN            NaN
  1397.99        2500.00                 NaN   99.0642       0.308046       0.148204                 NaN            NaN  0.144790       0.334804                 NaN            NaN            NaN            NaN
  1396.90        2500.00                 NaN   99.0735       0.144291       0.305645                 NaN            NaN  0.144657       0.331927                 NaN            NaN            NaN            NaN
