|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/T13/T13_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1641.03        2500.00       0.857504E-003   99.8914                 NaN  0.100490       0.578261E-002  0.143023E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.42        2500.00                 NaN   98.9814                 NaN   1.00990       0.569049E-002  0.297952E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00                 NaN   98.9722                 NaN  0.932581       0.922989E-001  0.290280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.21        2500.00                 NaN   98.9858                 NaN  0.938746       0.677669E-001  0.772024E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.60        2500.00                 NaN   99.0076                 NaN  0.889081       0.103360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.00        2500.00                 NaN   99.0066                 NaN  0.903097       0.873952E-001  0.294544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.39        2500.00                 NaN   99.0318                 NaN  0.868328       0.998286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.78        2500.00                 NaN   99.0335                 NaN  0.867637       0.988408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.18        2500.00                 NaN   99.0524                 NaN  0.850675       0.968784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00                 NaN   99.0596                 NaN  0.844175       0.962478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.96        2500.00                 NaN   99.0718                 NaN  0.833482       0.947041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.36        2500.00                 NaN   99.0806                 NaN  0.827859       0.915301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.75        2500.00                 NaN   99.0819                 NaN  0.823249       0.948167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.14        2500.00                 NaN   99.4555                 NaN  0.490753       0.537651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.54        2500.00                 NaN   98.7654                 NaN   1.11042       0.124186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.93        2500.00                 NaN   99.1190                 NaN  0.792452       0.885027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.32        2500.00                 NaN   99.1059                 NaN  0.806281       0.877807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.72        2500.00                 NaN   99.1643                 NaN  0.754252       0.814432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.11        2500.00                 NaN   99.1501                 NaN  0.765932       0.839649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.50        2500.00                 NaN   98.4161                 NaN   1.43090       0.153009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1608.90        2500.00                 NaN   99.7850                 NaN  0.197946       0.155297E-001  0.149235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.29        2500.00                 NaN   99.8697                 NaN  0.112341       0.179383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.68        2500.00                 NaN   98.6140                 NaN   1.26289       0.123109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.08        2500.00                 NaN   99.1961                 NaN  0.722386       0.815000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.47        2500.00                 NaN   99.2050                 NaN  0.718710       0.763187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1600.87        2500.00                 NaN   99.2087                 NaN  0.715848       0.754120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.26        2500.00                 NaN   99.2155                 NaN  0.710267       0.742132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.65        2500.00                 NaN   99.2257                 NaN  0.701905       0.723806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.05        2500.00                 NaN   99.2313                 NaN  0.697344       0.713251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.44        2500.00                 NaN   99.2402                 NaN  0.689167       0.705973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.83        2500.00                 NaN   99.2456                 NaN  0.685377       0.689741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.23        2500.00                 NaN   99.2446                 NaN  0.681250       0.741939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.62        2500.00                 NaN   99.0990                 NaN  0.856852       0.349168E-001  0.919374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.01        2500.00                 NaN   99.8046                 NaN  0.178138       0.172438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.41        2500.00                 NaN   98.9080                 NaN  0.991231       0.100782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.80        2500.00                 NaN   99.2856                 NaN  0.651940       0.624834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.19        2500.00                 NaN   99.2896                 NaN  0.648114       0.622925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.59        2500.00                 NaN   99.2937                 NaN  0.645384       0.608893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.98        2500.00                 NaN   99.3028                 NaN  0.636673       0.604817E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.37        2500.00                 NaN   99.3022                 NaN  0.637540       0.602733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.77        2500.00                 NaN   99.3214                 NaN  0.619542       0.590880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.16        2500.00                 NaN   99.3219                 NaN  0.620449       0.576441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.55        2500.00                 NaN   99.3275                 NaN  0.615727       0.567264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.95        2500.00                 NaN   99.3324                 NaN  0.612461       0.551537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.34        2500.00                 NaN   99.3389                 NaN  0.606222       0.548505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.73        2500.00                 NaN   99.7116                 NaN  0.266667       0.217529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.13        2500.00                 NaN   98.9793                 NaN  0.939298       0.813992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.52        2500.00                 NaN   99.3555                 NaN  0.593672       0.508244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN   99.3604                 NaN  0.589431       0.501196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.31        2500.00                 NaN   99.3665                 NaN  0.583237       0.503129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.70        2500.00                 NaN   99.3724                 NaN  0.578803       0.487847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.09        2500.00                 NaN   99.0755                 NaN  0.857924       0.665885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.49        2500.00                 NaN   99.4871                 NaN  0.470803       0.420972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.88        2500.00                 NaN   99.5818                 NaN  0.387718       0.304395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00                 NaN   99.3910                 NaN  0.564027       0.450048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.67        2500.00                 NaN   99.3946                 NaN  0.562889       0.424892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00                 NaN   99.3160                 NaN  0.635074       0.488909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN   99.4850                 NaN  0.478783       0.362540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.85        2500.00                 NaN   99.4080                 NaN  0.550888       0.411365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.24        2500.00                 NaN   99.4242                 NaN  0.535541       0.402406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.63        2500.00                 NaN   99.2627                 NaN  0.687775       0.495499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.03        2500.00                 NaN   99.7928                 NaN  0.193450       0.137080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.42        2500.00                 NaN   99.2106                 NaN  0.738451       0.509480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00                 NaN   99.4334                 NaN  0.530018       0.365831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.21        2500.00                 NaN   99.4330                 NaN  0.531879       0.350861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.60        2500.00                 NaN   99.4417                 NaN  0.523328       0.349277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN   99.4432                 NaN  0.522981       0.337863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.39        2500.00                 NaN   99.4468                 NaN  0.520132       0.331041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.78        2500.00                 NaN   99.3887                 NaN  0.577051       0.342183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.18        2500.00                 NaN   99.4572                 NaN  0.270920       0.744634E-002            NaN  0.264420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        2500.00                 NaN   99.2884                 NaN            NaN  0.576462E-002            NaN  0.705823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.96        2500.00                 NaN   99.2887                 NaN            NaN            NaN            NaN  0.711342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.36        2500.00                 NaN   99.2867                 NaN            NaN  0.543669E-003            NaN  0.712793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.75        2500.00                 NaN   99.2856                 NaN            NaN  0.237252E-004            NaN  0.714356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.14        2500.00                 NaN   99.2839                 NaN  0.190509E-001            NaN            NaN  0.697074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.54        2500.00                 NaN   99.2822                 NaN            NaN            NaN            NaN  0.717843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.93        2500.00                 NaN   99.2810                 NaN            NaN            NaN            NaN  0.718972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN   99.4326                 NaN            NaN  0.102994E-003            NaN  0.567311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
