|6.6.6
Archiving\03_Data\eq/QFM/GRV/GRV_1.tab                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        pnt           
  2000.00        2500.00        99.1692       0.830813                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1692       0.830810                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1692       0.830808                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1692       0.830805                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1692       0.830802                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1692       0.830799                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1692       0.830797                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1692       0.830794                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1692       0.830791                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1692       0.830788                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1692       0.830786                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1692       0.830783                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1692       0.830780                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1692       0.830777                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1692       0.830774                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1692       0.830771                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1692       0.830768                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1692       0.830765                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1692       0.830761                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1692       0.830758                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1692       0.830755                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1692       0.830752                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1693       0.830749                 NaN            NaN            NaN            NaN            NaN            NaN
