|6.6.6
Archiving\03_Data\eq/QFM/GRV/GRV_3.tab                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        pnt           
  2000.00        2500.00        99.3229       0.677090                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3228       0.677161                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3228       0.677232                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.3227       0.677304                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.3226       0.677375                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.3226       0.677446                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.3225       0.677517                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.3224       0.677589                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.3223       0.677660                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3223       0.677731                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3222       0.677802                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3221       0.677873                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3221       0.677945                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3220       0.678016                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3219       0.678087                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3218       0.678159                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.3218       0.678230                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.3217       0.678302                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.3216       0.678373                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.3216       0.678444                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.3215       0.678516                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.3214       0.678587                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.3213       0.678658                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.3213       0.678730                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.3212       0.678802                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.3211       0.678873                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.3211       0.678944                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.3210       0.679016                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.3209       0.679087                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.3208       0.679159                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.3208       0.679230                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.3207       0.679302                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.3206       0.679373                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.3206       0.679445                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.3205       0.679516                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.3204       0.679588                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.3203       0.679659                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.3203       0.679731                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.3202       0.679802                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.3201       0.679874                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.3201       0.679946                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.3200       0.680017                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.3199       0.680088                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.3198       0.680160                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.3198       0.680231                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.3197       0.680303                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.3196       0.680374                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.3196       0.680446                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.3195       0.680518                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.3194       0.680589                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.3193       0.680661                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.3073       0.680747       0.119941E-001            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.2918       0.680838       0.273868E-001            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.2766       0.680928       0.424803E-001            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.2614       0.681019       0.575776E-001            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.2462       0.681109       0.726789E-001            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.2310       0.681199       0.877841E-001            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.2165       0.681288       0.102182                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.2020       0.681377       0.116583                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1875       0.681466       0.130987                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.1730       0.681555       0.145396                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.1585       0.681644       0.159808                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.1440       0.681733       0.174224                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.1295       0.681821       0.188643                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.1150       0.681910       0.203066                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.1014       0.681997       0.216650                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.0877       0.682084       0.230238                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.0740       0.682171       0.243828                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.0603       0.682258       0.257422                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.0466       0.682345       0.271020                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.0329       0.682433       0.284621                 NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.0193       0.682520       0.298225                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.0056       0.682607       0.311832                 NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        98.9925       0.682692       0.324836                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        98.9794       0.682778       0.337843                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        98.9663       0.682864       0.350853                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        98.9532       0.682950       0.363867                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        98.9400       0.683034       0.376926                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        98.7079       0.683202       0.389024       0.219892                 NaN            NaN            NaN            NaN
  1746.79        2500.00        97.9840       0.683555       0.400211       0.932275                 NaN            NaN            NaN            NaN
  1743.59        2500.00        97.2593       0.683905       0.411408        1.64536                 NaN            NaN            NaN            NaN
  1740.38        2500.00        96.5249       0.684259       0.422091        2.36880                 NaN            NaN            NaN            NaN
  1737.18        2500.00        95.7897       0.684611       0.432785        3.09295                 NaN            NaN            NaN            NaN
  1733.97        2500.00        95.0537       0.684961       0.443487        3.81781                 NaN            NaN            NaN            NaN
  1730.77        2500.00        94.3171       0.685309       0.454200        4.54337                 NaN            NaN            NaN            NaN
  1727.56        2500.00        93.5798       0.685655       0.464921        5.26963                 NaN            NaN            NaN            NaN
  1724.36        2500.00        92.8418       0.685999       0.475652        5.99658                 NaN            NaN            NaN            NaN
  1721.15        2500.00        92.1031       0.686342       0.486392        6.72422                 NaN            NaN            NaN            NaN
  1717.95        2500.00        91.3636       0.686682       0.497141        7.45253                 NaN            NaN            NaN            NaN
  1714.74        2500.00        90.6159       0.687026       0.507037        8.19004                 NaN            NaN            NaN            NaN
  1711.54        2500.00        89.8674       0.687369       0.516941        8.92825                 NaN            NaN            NaN            NaN
  1708.33        2500.00        89.1183       0.687709       0.526854        9.66713                 NaN            NaN            NaN            NaN
  1705.13        2500.00        88.3685       0.688047       0.536774        10.4067                 NaN            NaN            NaN            NaN
  1701.92        2500.00        87.6180       0.688383       0.546701        11.1469                 NaN            NaN            NaN            NaN
  1698.72        2500.00        86.8669       0.688717       0.556637        11.8878                 NaN            NaN            NaN            NaN
  1695.51        2500.00        86.1151       0.689049       0.566580        12.6293                 NaN            NaN            NaN            NaN
  1692.31        2500.00        85.3626       0.689378       0.576530        13.3715                 NaN            NaN            NaN            NaN
  1689.10        2500.00        84.6232       0.689702       0.585621        14.1014                 NaN            NaN            NaN            NaN
  1685.90        2500.00        83.8832       0.690025       0.594718        14.8320                 NaN            NaN            NaN            NaN
  1682.69        2500.00        83.1426       0.690344       0.603822        15.5632                 NaN            NaN            NaN            NaN
  1679.49        2500.00        82.4014       0.690662       0.612931        16.2950                 NaN            NaN            NaN            NaN
  1676.28        2500.00        81.6596       0.690977       0.622047        17.0274                 NaN            NaN            NaN            NaN
  1673.08        2500.00        80.9172       0.691289       0.631168        17.7603                 NaN            NaN            NaN            NaN
  1669.87        2500.00        80.1743       0.691599       0.640295        18.4938                 NaN            NaN            NaN            NaN
  1666.67        2500.00        79.4308       0.691907       0.649428        19.2279                 NaN            NaN            NaN            NaN
  1663.46        2500.00        78.3893       0.692502       0.658180        19.8721       0.387838                 NaN            NaN            NaN
  1660.26        2500.00        76.1026       0.694275       0.667371        20.1923        2.34343                 NaN            NaN            NaN
  1657.05        2500.00        73.9656       0.695940       0.675542        20.4889        4.17394                 NaN            NaN            NaN
  1653.85        2500.00        71.8186       0.697610       0.683750        20.7869        6.01318                 NaN            NaN            NaN
  1650.64        2500.00        69.9350       0.699090       0.690026        21.0430        7.63290                 NaN            NaN            NaN
  1647.44        2500.00        68.0437       0.700575       0.696326        21.3000        9.25942                 NaN            NaN            NaN
  1644.23        2500.00        66.1444       0.702064       0.702650        21.5581        10.8928                 NaN            NaN            NaN
  1641.03        2500.00        64.2372       0.703557       0.708999        21.8172        12.5330                 NaN            NaN            NaN
  1637.82        2500.00        62.7188       0.704775       0.712190        22.0123        13.8520                 NaN            NaN            NaN
  1634.62        2500.00        61.1952       0.705995       0.715389        22.2079        15.1755                 NaN            NaN            NaN
  1631.41        2500.00        59.6664       0.707218       0.718598        22.4042        16.5035                 NaN            NaN            NaN
  1628.21        2500.00        58.1326       0.708443       0.721816        22.6011        17.8361                 NaN            NaN            NaN
  1625.00        2500.00        56.5935       0.709670       0.725044        22.7986        19.1731                 NaN            NaN            NaN
  1621.79        2500.00        55.0493       0.710900       0.728280        22.9967        20.5147                 NaN            NaN            NaN
  1618.59        2500.00        53.4999       0.712132       0.731526        23.1955        21.8609                 NaN            NaN            NaN
  1615.38        2500.00        51.9453       0.713367       0.734782        23.3949        23.2116                 NaN            NaN            NaN
  1612.18        2500.00        50.7202       0.714372       0.734409        23.5384        24.2926                 NaN            NaN            NaN
  1608.97        2500.00        49.4918       0.715379       0.734033        23.6823        25.3765                 NaN            NaN            NaN
  1605.77        2500.00        48.2601       0.716388       0.733656        23.8265        26.4633                 NaN            NaN            NaN
  1602.56        2500.00        47.0250       0.717398       0.733275        23.9712        27.5531                 NaN            NaN            NaN
  1599.36        2500.00        45.7867       0.718409       0.732893        24.1161        28.6459                 NaN            NaN            NaN
  1596.15        2500.00        44.5449       0.719422       0.732507        24.2614        29.7417                 NaN            NaN            NaN
  1592.95        2500.00        43.2998       0.720436       0.732120        24.4071        30.8405                 NaN            NaN            NaN
  1589.74        2500.00        42.0514       0.721452       0.731729        24.5532        31.9423                 NaN            NaN            NaN
  1586.54        2500.00        40.9598       0.722365       0.726826        24.6745        32.9165                 NaN            NaN            NaN
  1583.33        2500.00        39.8656       0.723280       0.721910        24.7961        33.8931                 NaN            NaN            NaN
  1580.13        2500.00        38.7688       0.724197       0.716981        24.9179        34.8721                 NaN            NaN            NaN
  1576.92        2500.00        37.6693       0.725114       0.712037        25.0401        35.8535                 NaN            NaN            NaN
  1573.72        2500.00        36.5672       0.726033       0.707081        25.1624        36.8372                 NaN            NaN            NaN
  1570.51        2500.00        35.4625       0.726952       0.702110        25.2851        37.8233                 NaN            NaN            NaN
  1567.31        2500.00        34.3551       0.727873       0.697126        25.4080        38.8118                 NaN            NaN            NaN
  1564.10        2500.00        33.2451       0.728795       0.692128        25.5312        39.8027                 NaN            NaN            NaN
  1560.90        2500.00        32.1640       0.729708       0.682189        25.6550        40.7691                 NaN            NaN            NaN
  1557.69        2500.00        31.0803       0.730623       0.672225        25.7790        41.7378                 NaN            NaN            NaN
  1554.49        2500.00        29.9941       0.731538       0.662234        25.9033        42.7088                 NaN            NaN            NaN
  1551.28        2500.00        28.9054       0.732455       0.652218        26.0279        43.6820                 NaN            NaN            NaN
