|6.6.6
Archiving\03_Data\DfracLP/QFM/T13/T13_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        pxmn           Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  2000.00        500.000        99.7686       0.231388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.6760       0.323993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.3792       0.620784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.3827       0.617296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.3867       0.613285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.3932       0.606840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3922       0.601496                 NaN  0.626141E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3938       0.596121                 NaN  0.100567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3985       0.591515                 NaN  0.998683E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4022       0.587791                 NaN  0.997264E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4072       0.582927                 NaN  0.990925E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4101       0.579951                 NaN  0.991130E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4135       0.576566                 NaN  0.988547E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.6282       0.365457                 NaN  0.633812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.2131       0.773640                 NaN  0.132649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4244       0.565790                 NaN  0.977332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4300       0.560347                 NaN  0.968148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4282       0.562060                 NaN  0.976989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4366       0.553755                 NaN  0.960888E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4369       0.553448                 NaN  0.964170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4419       0.548540                 NaN  0.956018E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4433       0.547123                 NaN  0.957177E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3813       0.609346                 NaN  0.939527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.5129       0.477478                 NaN  0.963217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4498       0.540652                 NaN  0.949804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4545       0.536100                 NaN  0.941955E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4552       0.535361                 NaN  0.941385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4561       0.534510                 NaN  0.942107E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4608       0.529841                 NaN  0.932131E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.6272       0.366334                 NaN  0.648422E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4859       0.505166                 NaN  0.896965E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.2790       0.708525                 NaN  0.124479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4653       0.525464                 NaN  0.926886E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4664       0.524293                 NaN  0.926732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3732       0.614694                 NaN  0.120710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5638       0.429763                 NaN  0.638937E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4683       0.522511                 NaN  0.920000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5782       0.414493                 NaN  0.731352E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.3655       0.623519                 NaN  0.109490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4704       0.520416                 NaN  0.914379E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4744       0.516566                 NaN  0.905746E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4744       0.516540                 NaN  0.903360E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4728       0.518107                 NaN  0.906225E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        98.7559        1.22276                 NaN  0.213815E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.9994       0.321597E-005            NaN  0.619772E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.6679       0.327143                 NaN  0.494781E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4716       0.519347                 NaN  0.901320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3667       0.622493                 NaN  0.108405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3847       0.605041                 NaN  0.102892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.6641       0.330236                 NaN  0.564159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4702       0.520917                 NaN  0.893206E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4659       0.525121                 NaN  0.896940E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4746       0.516667                 NaN  0.876714E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4673       0.523806                 NaN  0.887818E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4677       0.523480                 NaN  0.883493E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4643       0.526819                 NaN  0.884482E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4644       0.526760                 NaN  0.881872E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4679       0.523334                 NaN  0.873461E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4566       0.534545                 NaN  0.886060E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4586       0.532581                 NaN  0.878972E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.2758       0.712484                 NaN  0.116746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.6684       0.326286                 NaN  0.533367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4202       0.570547                 NaN  0.927366E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4518       0.539444                 NaN  0.870993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4488       0.542473                 NaN  0.873421E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4473       0.544058                 NaN  0.868920E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4434       0.547855                 NaN  0.870561E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4394       0.551855                 NaN  0.871518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
