|6.6.6
Archiving\03_Data\eq/QFM_m4.75/TIS/TIS_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        97.6824       0.987870        1.31391       0.158597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        97.6474       0.987968        1.34882       0.158613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        97.6123       0.988067        1.38373       0.158629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        97.5773       0.988166        1.41864       0.158645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        97.5423       0.988264        1.45357       0.158661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        97.5073       0.988363        1.48850       0.158677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        97.4722       0.988462        1.52344       0.158692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        97.4372       0.988561        1.55839       0.158708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        97.4021       0.988659        1.59334       0.158724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        97.3684       0.988754        1.62697       0.158739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        97.3347       0.988850        1.66060       0.158755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        97.3009       0.988945        1.69424       0.158770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        97.2672       0.989040        1.72788       0.158785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.2334       0.989135        1.76154       0.158800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.1997       0.989230        1.79520       0.158816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.1659       0.989325        1.82886       0.158831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.1322       0.989420        1.86253       0.158846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.1054       0.989496        1.88922       0.158858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        97.0786       0.989571        1.91591       0.158870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        97.0519       0.989646        1.94260       0.158883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        97.0251       0.989722        1.96929       0.158895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        96.9983       0.989797        1.99600       0.158907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        96.9715       0.989873        2.02270       0.158919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        96.9448       0.989948        2.04941       0.158931E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        96.9180       0.990024        2.07612       0.158943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        96.8811       0.990127        2.11290       0.158960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        96.8442       0.990231        2.14969       0.158976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.8073       0.990335        2.18648       0.158993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.7704       0.990439        2.22329       0.159010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.7335       0.990543        2.26010       0.159027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.6965       0.990647        2.29691       0.159043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        96.6596       0.990751        2.33374       0.159060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        96.6227       0.990855        2.37057       0.159077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        96.5927       0.990939        2.40042       0.159090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        96.5628       0.991024        2.43027       0.159104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        96.5329       0.991108        2.46013       0.159117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        96.5029       0.991192        2.48999       0.159131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        96.4730       0.991276        2.51986       0.159144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        96.4430       0.991361        2.54973       0.159158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        96.4130       0.991445        2.57960       0.159171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        96.3831       0.991529        2.60949       0.159185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        96.3544       0.991610        2.63808       0.159198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        96.3257       0.991691        2.66667       0.159211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        96.2970       0.991772        2.69527       0.159224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        96.2683       0.991852        2.72388       0.159237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        96.2397       0.991933        2.75249       0.159250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        96.2110       0.992014        2.78110       0.159263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        96.1823       0.992094        2.80972       0.159276E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        96.1536       0.992175        2.83834       0.159289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        96.1261       0.992252        2.86569       0.159301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        96.0987       0.992329        2.89304       0.159313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        96.0713       0.992407        2.92040       0.159326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        96.0438       0.992484        2.94775       0.159338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        96.0164       0.992561        2.97512       0.159350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        95.9889       0.992638        3.00249       0.159363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        95.9615       0.992715        3.02986       0.159375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        95.9340       0.992792        3.05723       0.159388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        95.9079       0.992866        3.08332       0.159399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        95.8817       0.992940        3.10942       0.159411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        95.8555       0.993013        3.13551       0.159423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        95.8294       0.993087        3.16161       0.159435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        95.8032       0.993160        3.18772       0.159447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        95.7770       0.993234        3.21383       0.159458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        95.7508       0.993307        3.23994       0.159470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        95.7246       0.993381        3.26605       0.159482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        95.6997       0.993451        3.29090       0.159493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        95.6748       0.993521        3.31575       0.159505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        95.6499       0.993591        3.34060       0.159516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        95.6249       0.993661        3.36546       0.159527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        95.6000       0.993731        3.39032       0.159538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        95.5751       0.993801        3.41518       0.159550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        95.5501       0.993871        3.44005       0.159561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        95.5252       0.993941        3.46492       0.159572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        95.5015       0.994008        3.48851       0.159583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        95.4779       0.994074        3.51211       0.159593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        95.4542       0.994140        3.53570       0.159604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        95.4305       0.994207        3.55931       0.159615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        95.4069       0.994273        3.58291       0.159625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        95.3832       0.994340        3.60652       0.159636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        95.3595       0.994406        3.63013       0.159647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        95.3358       0.994473        3.65374       0.159657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        95.3134       0.994535        3.67608       0.159667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        95.2910       0.994598        3.69842       0.159678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        95.2686       0.994661        3.72077       0.159688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        95.2462       0.994724        3.74312       0.159698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        95.2238       0.994787        3.76547       0.159708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        95.2014       0.994850        3.78782       0.159718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        95.1789       0.994912        3.81018       0.159728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        95.1565       0.994975        3.83254       0.159738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        95.1354       0.995035        3.85362       0.159748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        95.1142       0.995094        3.87470       0.159757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        95.0931       0.995153        3.89579       0.159767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        95.0719       0.995212        3.91687       0.159776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        95.0508       0.995271        3.93796       0.159786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        95.0296       0.995331        3.95906       0.159795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        95.0085       0.995390        3.98015       0.159805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        94.9873       0.995449        4.00125       0.159814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        94.9671       0.995506        4.02137       0.159823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        94.9470       0.995562        4.04150       0.159832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        94.9268       0.995619        4.06163       0.159841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        94.9066       0.995675        4.08176       0.159850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        94.8868       0.995730        4.10144       0.159859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        94.8671       0.995786        4.12112       0.159868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        94.8477       0.995840        4.14043       0.159877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        94.8265       0.995892        4.15925       0.159885E-001  0.238005E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        94.7949       0.995937        4.17531       0.159893E-001  0.179076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        94.7632       0.995982        4.19136       0.159900E-001  0.334366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        94.7316       0.996027        4.20742       0.159907E-001  0.489669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        94.7000       0.996072        4.22348       0.159914E-001  0.644987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        94.6692       0.996115        4.23911       0.159921E-001  0.796275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        94.6383       0.996159        4.25475       0.159928E-001  0.947577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        94.5925       0.996224        4.27824       0.159939E-001  0.117083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        94.4016       0.996182        4.26354       0.157180E-001  0.125200       0.197781                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        93.6197       0.995930        4.17465       0.145006E-001  0.142476        1.05276                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        92.8382       0.995677        4.08581       0.132838E-001  0.159744        1.90731                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        92.0571       0.995424        3.99701       0.120677E-001  0.177004        2.76143                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        91.2764       0.995172        3.90826       0.108521E-001  0.194254        3.61511                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        90.4960       0.994920        3.81955       0.963722E-002  0.211496        4.46836                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        89.7161       0.994667        3.73089       0.842291E-002  0.228728        5.32117                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        88.9366       0.994415        3.64228       0.720921E-002  0.245953        6.17356                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        88.1575       0.994164        3.55370       0.599613E-002  0.263168        7.02551                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        87.4065       0.993874        3.45196       0.477506E-002  0.279558        7.86338                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        86.6559       0.993586        3.35028       0.355470E-002  0.295938        8.70076                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        85.9057       0.993297        3.24865       0.233505E-002  0.312309        9.53766                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        85.1560       0.993008        3.14709       0.111611E-002  0.328671        10.3741                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        84.4222       0.992705        3.04007                 NaN  0.344635        11.2004                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        83.7116       0.992404        2.93300                 NaN  0.360437        12.0025                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        83.0068       0.992092        2.82215                 NaN  0.375944        12.8030                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        82.3024       0.991781        2.71137                 NaN  0.391441        13.6030                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        81.6071       0.991455        2.59541                 NaN  0.406732        14.3993                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        80.9123       0.991129        2.47953                 NaN  0.422013        15.1950                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        79.6626       0.991054        2.45210                 NaN  0.417449        15.4419        1.03485                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        78.3095       0.991034        2.44458                 NaN  0.407688        15.5567        2.29049                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        77.0430       0.990999        2.43152                 NaN  0.397138        15.6752        3.46213                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        75.7766       0.990964        2.41847                 NaN  0.386589        15.7937        4.63368                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        74.5103       0.990929        2.40541                 NaN  0.376040        15.9122        5.80516                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        73.2441       0.990894        2.39236                 NaN  0.365492        16.0306        6.97655                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        72.1374       0.990826        2.36796                 NaN  0.352751        16.1601        7.99102                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        71.0308       0.990759        2.34356                 NaN  0.340012        16.2895        9.00535                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        69.9244       0.990692        2.31917                 NaN  0.327274        16.4189        10.0195                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        68.8182       0.990624        2.29479                 NaN  0.314538        16.5483        11.0336                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        67.7121       0.990557        2.27040                 NaN  0.301804        16.6777        12.0475                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        66.6061       0.990490        2.24602                 NaN  0.289072        16.8070        13.0613                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        65.5003       0.990422        2.22164                 NaN  0.276341        16.9363        14.0749                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        64.3947       0.990355        2.19727                 NaN  0.263613        17.0657        15.0885                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        63.3995       0.990260        2.16300                 NaN  0.247871        17.2110        15.9884                 NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        62.4045       0.990164        2.12875                 NaN  0.232132        17.3564        16.8881                 NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        61.4097       0.990069        2.09449                 NaN  0.216397        17.5017        17.7877                 NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        60.4151       0.989973        2.06025                 NaN  0.200664        17.6469        18.6871                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        59.4511       0.989867        2.02238                 NaN  0.182653        17.8015        19.5525                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        58.4874       0.989762        1.98451                 NaN  0.164645        17.9560        20.4177                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        56.8379       0.989661        1.94724                 NaN  0.255784        17.9996        17.3785        4.59131                 NaN            NaN            NaN            NaN
  1512.82        2500.00        55.0661       0.989566        1.91186                 NaN  0.360193        18.0400        14.0077        9.62467                 NaN            NaN            NaN            NaN
  1509.62        2500.00        53.3128       0.989466        1.87471                 NaN  0.451835        18.1265        11.3673        13.8774                 NaN            NaN            NaN            NaN
  1506.41        2500.00        51.5598       0.989366        1.83757                 NaN  0.543459        18.2130        8.72744        18.1293                 NaN            NaN            NaN            NaN
  1503.21        2500.00        49.8073       0.989266        1.80044                 NaN  0.635064        18.2995        6.08811        22.3803                 NaN            NaN            NaN            NaN
  1500.00        2500.00        48.0550       0.989166        1.76332                 NaN  0.726651        18.3860        3.44932        26.6305                 NaN            NaN            NaN            NaN
  1496.79        2500.00        46.3691       0.989052        1.72107                 NaN  0.802597        18.5184        1.54355        30.0562                 NaN            NaN            NaN            NaN
  1493.59        2500.00        44.7330       0.988934        1.67784                 NaN  0.866973        18.6685       0.232641E-001  0.218659        32.8228                 NaN            NaN            NaN
  1490.38        2500.00        43.0702       0.988924        1.67338                 NaN  0.881378        18.7627                 NaN   32.9410        1.68246                 NaN            NaN            NaN
  1487.18        2500.00        41.4706       0.988895        1.66200                 NaN  0.895716        18.8678                 NaN   33.0266        3.08840                 NaN            NaN            NaN
  1483.97        2500.00        41.4706       0.988895        1.66200                 NaN  0.895716        18.8678                 NaN   33.0266        3.08840                 NaN            NaN            NaN
  1480.77        2500.00        41.4706       0.988895        1.66200                 NaN  0.895716        18.8678                 NaN   33.0266        3.08840                 NaN            NaN            NaN
