|6.6.6
Archiving\03_Data\DfracLP/QFM_m1.5/YM20/YM20_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  2000.00        500.000        99.9608       0.392427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.9608       0.392426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.9608       0.392425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.9608       0.392425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.9608       0.392424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.9608       0.392423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.9608       0.392423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.9608       0.392422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.9608       0.392421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.9608       0.392420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.9608       0.392420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.9608       0.392419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.9608       0.392418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.9608       0.392417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.9608       0.392417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.9608       0.392416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.9608       0.392415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.9608       0.392414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.9608       0.392414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.9608       0.392413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.9608       0.392412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.9608       0.392411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.9608       0.392411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.9608       0.392410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.9608       0.392409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.8756       0.360436E-001  0.883655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.9452                 NaN  0.547782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.3817                 NaN  0.618347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.3894                 NaN  0.610622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.3876                 NaN  0.612375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.4036                 NaN  0.596408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.4006                 NaN  0.599394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4015                 NaN  0.594695       0.376416E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.3956                 NaN  0.588971       0.154444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.3989                 NaN  0.585692       0.154004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3972                 NaN  0.587262       0.155375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4095                 NaN  0.575370       0.151736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4076                 NaN  0.577088       0.153312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4136                 NaN  0.571223       0.151752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4146                 NaN  0.570201       0.152063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4179                 NaN  0.566940       0.151547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.3732                 NaN  0.610364       0.164044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4723                 NaN  0.514008       0.137253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4251                 NaN  0.559833       0.150277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4284                 NaN  0.556608       0.149890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4317                 NaN  0.553400       0.149335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4330                 NaN  0.552097       0.148978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4351                 NaN  0.550106       0.148396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
