|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/TAY13/TAY13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1482.00        500.000        99.5466       0.453369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000        99.5686       0.431401                 NaN  0.236510E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        500.000        99.5348       0.465177                 NaN  0.162627E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        500.000        99.5562       0.443842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        500.000        99.5584       0.441569                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.5052       0.184648                 NaN            NaN  0.310157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        500.000        99.4658       0.590757E-002            NaN            NaN  0.528302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        500.000        99.4718       0.236774E-002            NaN            NaN  0.525791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        500.000        99.4722       0.314403E-001            NaN            NaN  0.496362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        500.000        99.4855                 NaN            NaN            NaN  0.514527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        500.000        99.4616                 NaN            NaN            NaN  0.538386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        500.000        99.4768       0.182912E-001            NaN            NaN  0.504925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        500.000        99.4773       0.175311E-001            NaN            NaN  0.505161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        500.000        99.4782                 NaN            NaN            NaN  0.521823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        500.000        99.4790                 NaN            NaN            NaN  0.520995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        500.000        99.4789                 NaN            NaN            NaN  0.521082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        500.000        99.3395                 NaN            NaN            NaN  0.660500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        500.000        99.6253       0.457558E-001            NaN            NaN  0.328929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        500.000        99.4774                 NaN            NaN            NaN  0.522575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        500.000        99.4839                 NaN            NaN            NaN  0.516072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        500.000        99.4791                 NaN            NaN            NaN  0.520899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        500.000        99.4827                 NaN            NaN            NaN  0.517343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        500.000        99.4759                 NaN            NaN            NaN  0.524056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        500.000        99.4795                 NaN            NaN            NaN  0.520459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        500.000        99.4756                 NaN            NaN            NaN  0.524424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        500.000        99.4737                 NaN            NaN            NaN  0.526324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        500.000        99.4719                 NaN            NaN            NaN  0.528093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        99.4687                 NaN            NaN            NaN  0.531340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        500.000        99.3164                 NaN            NaN            NaN  0.402390       0.281212                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.77        500.000        99.2106                 NaN            NaN            NaN  0.504124       0.285283                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.35        500.000        99.1903                 NaN            NaN            NaN  0.292046       0.517683                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.92        500.000        99.2130                 NaN            NaN            NaN  0.284752       0.502283                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000        99.2169                 NaN            NaN            NaN  0.281493       0.501559                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.08        500.000        99.2267                 NaN            NaN            NaN  0.494339       0.278990                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.66        500.000        99.2317                 NaN            NaN            NaN  0.276657       0.491641                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.24        500.000        99.2384                 NaN            NaN            NaN  0.486971       0.274607                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.81        500.000        99.2432                 NaN            NaN            NaN  0.483766       0.273038                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.39        500.000        99.2532                 NaN            NaN            NaN  0.267998       0.478807                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.97        500.000        99.2550                 NaN            NaN            NaN  0.476715       0.268315                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.55        500.000        99.2634                 NaN            NaN            NaN  0.264684       0.471950                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.13        500.000        99.2691                 NaN            NaN            NaN  0.261879       0.469001                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.71        500.000        99.2748                 NaN            NaN            NaN  0.260485       0.464693                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.28        500.000        99.2812                 NaN            NaN            NaN  0.461319       0.257473                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.86        500.000        99.2860                 NaN            NaN            NaN  0.458259       0.255763                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.44        500.000        98.9677                 NaN            NaN            NaN  0.486192       0.401793                 NaN  0.144323                 NaN            NaN            NaN            NaN
  1418.02        500.000        98.0253                 NaN            NaN            NaN  0.569614       0.836339                 NaN  0.568704                 NaN            NaN            NaN            NaN
  1416.60        500.000        98.0626                 NaN            NaN            NaN  0.559061       0.820159                 NaN  0.558161                 NaN            NaN            NaN            NaN
  1415.17        500.000        98.1019                 NaN            NaN            NaN  0.547673       0.803731                 NaN  0.546732                 NaN            NaN            NaN            NaN
  1413.75        500.000        98.1353                 NaN            NaN            NaN  0.537877       0.789538                 NaN  0.537295                 NaN            NaN            NaN            NaN
  1412.33        500.000        98.1706                 NaN            NaN            NaN  0.774532       0.527669                 NaN  0.527170                 NaN            NaN            NaN            NaN
  1410.91        500.000        98.2035                 NaN            NaN            NaN  0.517745       0.760886                 NaN  0.517859                 NaN            NaN            NaN            NaN
  1409.49        500.000        98.2369                 NaN            NaN            NaN  0.746891       0.507992                 NaN  0.508222                 NaN            NaN            NaN            NaN
  1408.07        500.000        98.2694                 NaN            NaN            NaN  0.733566       0.497989                 NaN  0.499080                 NaN            NaN            NaN            NaN
  1406.64        500.000        98.2986                 NaN            NaN            NaN  0.489569       0.721162                 NaN  0.490631                 NaN            NaN            NaN            NaN
  1405.22        500.000        98.3284                 NaN            NaN            NaN  0.481124       0.708586                 NaN  0.481871                 NaN            NaN            NaN            NaN
  1403.80        500.000        98.3572                 NaN            NaN            NaN  0.696596       0.472443                 NaN  0.473752                 NaN            NaN            NaN            NaN
  1402.38        500.000        98.3866                 NaN            NaN            NaN  0.463965       0.684192                 NaN  0.465224                 NaN            NaN            NaN            NaN
  1400.96        500.000        98.4132                 NaN            NaN            NaN  0.456017       0.673370                 NaN  0.457423                 NaN            NaN            NaN            NaN
  1399.53        500.000        98.4382                 NaN            NaN            NaN  0.662430       0.449008                 NaN  0.450391                 NaN            NaN            NaN            NaN
  1398.11        500.000        98.4671                 NaN            NaN            NaN  0.650788       0.440166                 NaN  0.441946                 NaN            NaN            NaN            NaN
  1396.69        500.000        98.4903                 NaN            NaN            NaN  0.641191       0.433330                 NaN  0.435190                 NaN            NaN            NaN            NaN
  1395.27        500.000        98.5144                 NaN            NaN            NaN  0.425788       0.631576                 NaN  0.428214                 NaN            NaN            NaN            NaN
  1393.85        500.000        98.5380                 NaN            NaN            NaN  0.418550       0.622105                 NaN  0.421347                 NaN            NaN            NaN            NaN
  1392.42        500.000        98.5598                 NaN            NaN            NaN  0.412163       0.613058                 NaN  0.414945                 NaN            NaN            NaN            NaN
  1391.00        500.000        98.5834                 NaN            NaN            NaN  0.603529       0.405001                 NaN  0.408050                 NaN            NaN            NaN            NaN
  1389.58        500.000        98.6049                 NaN            NaN            NaN  0.594534       0.398792                 NaN  0.401817                 NaN            NaN            NaN            NaN
  1388.16        500.000        98.6276                 NaN            NaN            NaN  0.392135       0.584906                 NaN  0.395331                 NaN            NaN            NaN            NaN
  1386.74        500.000        98.6467                 NaN            NaN            NaN  0.386360       0.577438                 NaN  0.389467                 NaN            NaN            NaN            NaN
  1385.32        500.000        98.6674                 NaN            NaN            NaN  0.379816       0.569221                 NaN  0.383545                 NaN            NaN            NaN            NaN
  1383.89        500.000        98.6843                 NaN            NaN            NaN  0.562238       0.374740                 NaN  0.378677                 NaN            NaN            NaN            NaN
  1382.47        500.000        98.7070                 NaN            NaN            NaN  0.551880       0.369132                 NaN  0.371953                 NaN            NaN            NaN            NaN
  1381.05        500.000        98.7259                 NaN            NaN            NaN  0.545729       0.362085                 NaN  0.366243                 NaN            NaN            NaN            NaN
  1379.63        500.000        98.7446                 NaN            NaN            NaN  0.356309       0.538179                 NaN  0.360903                 NaN            NaN            NaN            NaN
  1378.21        500.000        98.7604                 NaN            NaN            NaN  0.530861       0.352536                 NaN  0.356234                 NaN            NaN            NaN            NaN
  1376.78        500.000        98.7802                 NaN            NaN            NaN  0.523662       0.345600                 NaN  0.350545                 NaN            NaN            NaN            NaN
  1375.36        500.000        98.7965                 NaN            NaN            NaN  0.517405       0.340524                 NaN  0.345526                 NaN            NaN            NaN            NaN
  1373.94        500.000        98.8119                 NaN            NaN            NaN  0.511410       0.335513                 NaN  0.341212                 NaN            NaN            NaN            NaN
  1372.52        500.000        98.8290                 NaN            NaN            NaN  0.504480       0.330562                 NaN  0.335984                 NaN            NaN            NaN            NaN
  1371.10        500.000        98.8445                 NaN            NaN            NaN  0.326079       0.497971                 NaN  0.331426                 NaN            NaN            NaN            NaN
  1369.68        500.000        98.8597                 NaN            NaN            NaN  0.321428       0.491923                 NaN  0.326993                 NaN            NaN            NaN            NaN
  1368.25        500.000        98.8760                 NaN            NaN            NaN  0.316181       0.485690                 NaN  0.322144                 NaN            NaN            NaN            NaN
  1366.83        500.000        98.8904                 NaN            NaN            NaN  0.311978       0.479861                 NaN  0.317803                 NaN            NaN            NaN            NaN
  1365.41        500.000        98.9043                 NaN            NaN            NaN  0.474394       0.307634                 NaN  0.313627                 NaN            NaN            NaN            NaN
  1363.99        500.000        98.9191                 NaN            NaN            NaN  0.468439       0.303188                 NaN  0.309249                 NaN            NaN            NaN            NaN
  1362.57        500.000        98.9309                 NaN            NaN            NaN  0.464068       0.299330                 NaN  0.305744                 NaN            NaN            NaN            NaN
  1361.14        500.000        98.9472                 NaN            NaN            NaN  0.294623       0.457342                 NaN  0.300817                 NaN            NaN            NaN            NaN
  1359.72        500.000        98.9591                 NaN            NaN            NaN  0.290642       0.452972                 NaN  0.297292                 NaN            NaN            NaN            NaN
  1358.30        500.000        98.9729                 NaN            NaN            NaN  0.447140       0.286766                 NaN  0.293171                 NaN            NaN            NaN            NaN
  1356.88        500.000        98.9857                 NaN            NaN            NaN  0.282553       0.442333                 NaN  0.289397                 NaN            NaN            NaN            NaN
  1355.46        500.000        98.9988                 NaN            NaN            NaN  0.437551       0.278135                 NaN  0.285475                 NaN            NaN            NaN            NaN
  1354.04        500.000        99.0105                 NaN            NaN            NaN  0.274500       0.433005                 NaN  0.282008                 NaN            NaN            NaN            NaN
  1352.61        500.000        99.0228                 NaN            NaN            NaN  0.270178       0.428470                 NaN  0.278503                 NaN            NaN            NaN            NaN
  1351.19        500.000        99.0353                 NaN            NaN            NaN  0.423459       0.266733                 NaN  0.274470                 NaN            NaN            NaN            NaN
  1349.77        500.000        99.0451                 NaN            NaN  0.176763E-003  0.419165       0.263900                 NaN  0.271680                 NaN            NaN            NaN            NaN
  1348.35        500.000        99.0584                 NaN            NaN            NaN  0.259719       0.414408                 NaN  0.267516                 NaN            NaN            NaN            NaN
  1346.93        500.000        99.0684                 NaN            NaN            NaN  0.410626       0.256357                 NaN  0.264578                 NaN            NaN            NaN            NaN
  1345.50        500.000        99.0794                 NaN            NaN            NaN  0.252988       0.406334                 NaN  0.261293                 NaN            NaN            NaN            NaN
  1344.08        500.000        99.0902                 NaN            NaN            NaN  0.402280       0.249512                 NaN  0.258046                 NaN            NaN            NaN            NaN
  1342.66        500.000        99.1027                 NaN            NaN  0.131819E-001  0.253156       0.375182                 NaN  0.255758                 NaN            NaN            NaN            NaN
  1341.24        500.000        99.1262                 NaN            NaN  0.102349       0.214459       0.298528                 NaN  0.258442                 NaN            NaN            NaN            NaN
  1339.82        500.000        99.1425                 NaN            NaN  0.136894       0.149085       0.314254                 NaN  0.257237                 NaN            NaN            NaN            NaN
  1338.40        500.000        99.1527                 NaN            NaN  0.136799       0.144468       0.311981                 NaN  0.254100                 NaN            NaN            NaN            NaN
  1336.97        500.000        99.1641                 NaN            NaN  0.138485       0.308550       0.137590                 NaN  0.251236                 NaN            NaN            NaN            NaN
  1335.55        500.000        99.1741                 NaN            NaN  0.134304       0.139335       0.305132                 NaN  0.247133                 NaN            NaN            NaN            NaN
  1334.13        500.000        99.1837                 NaN            NaN  0.135289       0.133406       0.303105                 NaN  0.244464                 NaN            NaN            NaN            NaN
  1332.71        500.000        99.1940                 NaN            NaN  0.134705       0.300377       0.129652                 NaN  0.241255                 NaN            NaN            NaN            NaN
  1331.29        500.000        99.2037                 NaN            NaN  0.134011       0.126100       0.298002                 NaN  0.238137                 NaN            NaN            NaN            NaN
  1329.86        500.000        99.2041                 NaN            NaN  0.140477       0.302538       0.112021                 NaN  0.240849                 NaN            NaN            NaN            NaN
  1328.44        500.000        99.2282                 NaN            NaN  0.123443       0.288496       0.132547                 NaN  0.227305                 NaN            NaN            NaN            NaN
  1327.02        500.000        99.2320                 NaN            NaN  0.131746       0.117280       0.289734                 NaN  0.229222                 NaN            NaN            NaN            NaN
  1325.60        500.000        99.2415                 NaN            NaN  0.130995       0.287333       0.113916                 NaN  0.226244                 NaN            NaN            NaN            NaN
  1324.18        500.000        99.2446                 NaN            NaN  0.143535       0.299586       0.850806E-001            NaN  0.227178                 NaN            NaN            NaN            NaN
  1322.76        500.000        99.2634                 NaN            NaN  0.114510       0.269448       0.135764                 NaN  0.216894                 NaN            NaN            NaN            NaN
  1321.33        500.000        99.2678                 NaN            NaN  0.127986       0.279298       0.107163                 NaN  0.217769                 NaN            NaN            NaN            NaN
  1319.91        500.000        99.2759                 NaN            NaN  0.126664       0.276661       0.105636                 NaN  0.215090                 NaN            NaN            NaN            NaN
  1318.49        500.000        99.2846                 NaN            NaN  0.125592       0.273513       0.103922                 NaN  0.212402                 NaN            NaN            NaN            NaN
  1317.07        500.000        99.2924                 NaN            NaN  0.124222       0.271610       0.102020                 NaN  0.209754                 NaN            NaN            NaN            NaN
  1315.65        500.000        99.3013                 NaN            NaN  0.123479       0.268454       0.997857E-001            NaN  0.207019                 NaN            NaN            NaN            NaN
  1314.22        500.000        99.3090                 NaN            NaN  0.122000       0.265851       0.986913E-001            NaN  0.204450                 NaN            NaN            NaN            NaN
  1312.80        500.000        99.1264                 NaN            NaN  0.132608       0.168016       0.314337                 NaN  0.258598                 NaN            NaN            NaN            NaN
  1311.38        500.000        99.5198                 NaN            NaN  0.115032       0.104753E-001  0.211635                 NaN  0.143015                 NaN            NaN            NaN            NaN
  1309.96        500.000        99.3355                 NaN            NaN  0.115893       0.255810       0.974568E-001            NaN  0.195379                 NaN            NaN            NaN            NaN
  1308.54        500.000        99.3379                 NaN            NaN  0.117058       0.940874E-001  0.255898                 NaN  0.195073                 NaN            NaN            NaN            NaN
  1307.12        500.000        99.3486                 NaN            NaN  0.115164       0.923553E-001  0.252431                 NaN  0.191442                 NaN            NaN            NaN            NaN
  1305.69        500.000        99.3538                 NaN            NaN  0.114340       0.919767E-001  0.249816                 NaN  0.190033                 NaN            NaN            NaN            NaN
  1304.27        500.000        99.3616                 NaN            NaN  0.110685       0.246764       0.940177E-001            NaN  0.186885                 NaN            NaN            NaN            NaN
  1302.85        500.000        99.3681                 NaN            NaN  0.110247       0.244925       0.917265E-001            NaN  0.184991                 NaN            NaN            NaN            NaN
  1301.43        500.000        99.3749                 NaN            NaN  0.109180       0.242412       0.906766E-001            NaN  0.182828                 NaN            NaN            NaN            NaN
  1300.01        500.000        99.3810                 NaN            NaN  0.105885       0.238599       0.939187E-001            NaN  0.180610                 NaN            NaN            NaN            NaN
  1298.58        500.000        99.3888                 NaN            NaN  0.105387       0.909837E-001  0.236681                 NaN  0.178186                 NaN            NaN            NaN            NaN
  1297.16        500.000        99.3959                 NaN            NaN  0.107179       0.827999E-001  0.237999                 NaN  0.176159                 NaN            NaN            NaN            NaN
  1295.74        500.000        99.4010                 NaN            NaN  0.988917E-001  0.227968       0.983273E-001            NaN  0.173818                 NaN            NaN            NaN            NaN
  1294.32        500.000        99.4079                 NaN            NaN  0.100278       0.228943       0.910037E-001            NaN  0.171840                 NaN            NaN            NaN            NaN
  1292.90        500.000        99.4139                 NaN            NaN  0.979635E-001  0.226290       0.921525E-001            NaN  0.169696                 NaN            NaN            NaN            NaN
  1291.48        500.000        99.4200                 NaN            NaN  0.964552E-001  0.223554       0.922413E-001            NaN  0.167725                 NaN            NaN            NaN            NaN
  1290.05        500.000        99.4249                 NaN            NaN  0.954885E-001  0.909231E-001  0.222536                 NaN  0.166190                 NaN            NaN            NaN            NaN
  1288.63        500.000        89.1038                 NaN            NaN            NaN   1.16157        2.15311                 NaN   1.27302        6.30846                 NaN            NaN            NaN
  1287.21        500.000        89.3512                 NaN            NaN            NaN   1.14015        2.09339                 NaN   1.24359        6.17164                 NaN            NaN            NaN
  1285.79        500.000        90.3573                 NaN            NaN            NaN   1.04283        1.89810                 NaN   1.13234        5.56945                 NaN            NaN            NaN
  1284.37        500.000        91.2137                 NaN            NaN  0.555007E-004   1.73419       0.956045                 NaN   1.03740        5.05856                 NaN            NaN            NaN
  1282.94        500.000        91.9461                 NaN            NaN            NaN  0.882436        1.59200                 NaN  0.955521        4.62398                 NaN            NaN            NaN
  1281.52        500.000        92.5623                 NaN            NaN            NaN   1.47196       0.821210                 NaN  0.886460        4.25808                 NaN            NaN            NaN
  1280.10        500.000        93.1171                 NaN            NaN            NaN   1.36355       0.764436                 NaN  0.823973        3.93091                 NaN            NaN            NaN
  1278.68        500.000        93.5763                 NaN            NaN            NaN   1.28096       0.712091                 NaN  0.772405        3.65825                 NaN            NaN            NaN
  1277.26        500.000        93.9924                 NaN            NaN            NaN   1.20056       0.668778                 NaN  0.725183        3.41312                 NaN            NaN            NaN
  1275.83        500.000        94.3609                 NaN            NaN            NaN  0.627919        1.13142                 NaN  0.683299        3.19648                 NaN            NaN            NaN
  1274.41        500.000        94.6915                 NaN            NaN            NaN   1.07034       0.589939                 NaN  0.645346        3.00288                 NaN            NaN            NaN
  1272.99        500.000        94.9833                 NaN            NaN            NaN  0.554913        1.01822                 NaN  0.611888        2.83172                 NaN            NaN            NaN
  1271.57        500.000        95.2430                 NaN            NaN            NaN  0.977287       0.518413                 NaN  0.581899        2.67937                 NaN            NaN            NaN
  1270.15        500.000        95.4869                 NaN            NaN            NaN  0.937244       0.484779                 NaN  0.553684        2.53738                 NaN            NaN            NaN
