|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             Sp(TH)         lc            
  1589.74        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00        99.5427       0.408316       0.489515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00        99.4008       0.543420       0.557355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        98.7749        1.11611       0.108967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00        99.9990       0.101399E-002  0.296830E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        99.4674       0.479789       0.528035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00        99.4047       0.537091       0.581890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00        99.4442       0.507655       0.481280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00        99.4328       0.518583       0.485862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.4388       0.537215       0.239890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00        98.4595        1.37766       0.162824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.9068       0.864428E-001  0.674526E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00        99.9551       0.403638E-001  0.456743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.4830       0.472311       0.447047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00        99.4625       0.490348       0.471806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.4670       0.486634       0.463788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00        99.4710       0.483406       0.455479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00        99.4748       0.480304       0.448495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00        99.4802       0.475957       0.438810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00        99.4846       0.472040       0.433147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00        99.4892       0.467762       0.430357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00        99.4918       0.468091       0.400612E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00        99.4974       0.460536       0.420724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00        99.4512       0.503574       0.452268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00        99.5556       0.408642       0.357400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.5090       0.451485       0.394867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00        99.5132       0.449805       0.370164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        99.0709       0.850963       0.780996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00        99.9736       0.248118E-001  0.158856E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.5242       0.438959       0.368809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.5274       0.435002       0.375990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00        99.5332       0.432830       0.339290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00        99.5355       0.429805       0.347067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00        99.5382       0.428296       0.335123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00        99.5408       0.426979       0.322152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.5459       0.420811       0.332409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00        99.5516       0.439807       0.854561E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00        98.1757        1.63173       0.192605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00        99.9998                 NaN  0.182481E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00        99.6532       0.332803       0.140424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00        99.5729       0.400075       0.269791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00        99.5701       0.403120       0.268245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00        99.5739       0.399553       0.265050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00        99.5774       0.395471       0.271563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00        99.5795       0.395490       0.250440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00        99.5818       0.393528       0.246798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00        99.5020       0.469028       0.290001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00        99.8516       0.140592       0.776581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00        99.4091       0.557429       0.334926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00        99.5915       0.387857       0.206774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00        99.5957       0.383026       0.212851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00        99.6639       0.318217       0.178871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00        99.5334       0.443939       0.226659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.6047       0.349136       0.395605E-001            NaN  0.660437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00        99.5433       0.183550                 NaN            NaN  0.273108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00        99.4959       0.428481E-002  0.448432E-003            NaN  0.499338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00        99.4970       0.226827E-002            NaN            NaN  0.500716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00        99.5013       0.105098                 NaN            NaN  0.393575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00        99.4989                 NaN  0.305371E-005            NaN  0.501064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00        99.4992                 NaN            NaN            NaN  0.500790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00        99.5002                 NaN            NaN            NaN  0.499835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        99.5014                 NaN            NaN            NaN  0.498623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00        99.3607       0.162723                 NaN            NaN  0.476587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00        99.6500                 NaN  0.155954E-004            NaN  0.350005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
