|6.6.6
Archiving\03_Data\eq/QFM_m2.75/YM20/YM20_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.7688       0.217059       0.140998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7688       0.217073       0.141001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.7688       0.217087       0.141005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.7688       0.217101       0.141008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.7688       0.217115       0.141011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.7688       0.217129       0.141014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.7688       0.217142       0.141018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.7687       0.217156       0.141021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.7687       0.217170       0.141024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.7687       0.217184       0.141028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.7687       0.217198       0.141031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.7687       0.217212       0.141035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7687       0.217226       0.141038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.7687       0.217240       0.141042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.7686       0.217255       0.141045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.7686       0.217269       0.141049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.7686       0.217283       0.141052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.7686       0.217297       0.141056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.7686       0.217311       0.141059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.7686       0.217326       0.141063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.7686       0.217340       0.141067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.7685       0.217354       0.141070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.7685       0.217369       0.141074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.7685       0.217383       0.141078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.7685       0.217397       0.141082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.7685       0.217412       0.141086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.7685       0.217426       0.141089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.7684       0.217441       0.141093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.7684       0.217455       0.141097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.7684       0.217470       0.141101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.0414       0.217575       0.113447E-001  0.729676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        98.3036       0.217681       0.849316E-002   1.47019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        97.2996       0.176608       0.484630E-002   2.41274       0.106207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        95.5205                 NaN            NaN   3.91756       0.561985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        95.0252                 NaN            NaN   4.41256       0.562212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        94.4847                 NaN            NaN   4.95281       0.562455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        93.9438                 NaN            NaN   5.49350       0.562698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        93.3820                 NaN            NaN   6.04929       0.562950       0.573008E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.7955                 NaN            NaN   6.62256       0.563217       0.186914E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        92.2009                 NaN            NaN   7.20414       0.563485       0.314608E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        91.6058                 NaN            NaN   7.78624       0.563753       0.442426E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        91.0089                 NaN            NaN   8.37069       0.564021       0.563468E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        90.4116                 NaN            NaN   8.95566       0.564288       0.684625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        89.8137                 NaN            NaN   9.54114       0.564554       0.805897E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        89.2153                 NaN            NaN   10.1271       0.564820       0.927284E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        88.6164                 NaN            NaN   10.7136       0.565085       0.104878                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        88.0170                 NaN            NaN   11.3006       0.565349       0.117040                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        87.4170                 NaN            NaN   11.8882       0.565612       0.129213                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        86.8165                 NaN            NaN   12.4762       0.565874       0.141397                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        86.2357                 NaN            NaN   13.0455       0.566131       0.152605                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        85.6544                 NaN            NaN   13.6154       0.566386       0.163823                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        85.0727                 NaN            NaN   14.1856       0.566641       0.175051                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        84.4904                 NaN            NaN   14.7564       0.566895       0.186289                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        83.9077                 NaN            NaN   15.3276       0.567148       0.197537                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        83.3245                 NaN            NaN   15.8993       0.567400       0.208795                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        82.7409                 NaN            NaN   16.4714       0.567651       0.220063                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        82.1567                 NaN            NaN   17.0440       0.567902       0.231340                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        81.6018                 NaN            NaN   17.5883       0.568142       0.241760                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        81.0465                 NaN            NaN   18.1329       0.568381       0.252189                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        80.4908                 NaN            NaN   18.6780       0.568620       0.262626                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        79.9346                 NaN            NaN   19.2234       0.568857       0.273072                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        79.3781                 NaN            NaN   19.7693       0.569094       0.283526                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        78.8211                 NaN            NaN   20.3156       0.569329       0.293988                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        78.2638                 NaN            NaN   20.8622       0.569564       0.304458                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        77.7060                 NaN            NaN   21.4092       0.569797       0.314937                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        77.1752                 NaN            NaN   21.9302       0.570021       0.324646                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        76.6439                 NaN            NaN   22.4515       0.570244       0.334363                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        76.1124                 NaN            NaN   22.9731       0.570466       0.344087                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        75.5804                 NaN            NaN   23.4950       0.570687       0.353817                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        75.0482                 NaN            NaN   24.0174       0.570907       0.363555                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        74.5156                 NaN            NaN   24.5400       0.571127       0.373300                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        73.9826                 NaN            NaN   25.0630       0.571345       0.383051                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        73.4493                 NaN            NaN   25.5863       0.571562       0.392809                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        72.9415                 NaN            NaN   26.0849       0.571769       0.401827                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        72.4333                 NaN            NaN   26.5838       0.571975       0.410850                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        71.9249                 NaN            NaN   27.0831       0.572180       0.419878                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        71.4161                 NaN            NaN   27.5826       0.572384       0.428913                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        70.9071                 NaN            NaN   28.0823       0.572587       0.437953                 NaN            NaN            NaN            NaN            NaN            NaN
