|6.6.6
Archiving\03_Data\eqfracLP/QFM/YM20/YM20_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1535.26        500.000        99.9454       0.441992E-001  0.103977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.92        500.000        99.4160       0.514567       0.694213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        500.000        99.4196       0.580252       0.141154E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.24        500.000        99.4222       0.575484       0.227315E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.89        500.000        99.4207       0.554019       0.252844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        500.000        99.4361       0.539057       0.248675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.21        500.000        99.4360       0.537687       0.263480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        500.000        99.4387       0.535700       0.255941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.53        500.000        99.4450       0.529642       0.253145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.19        500.000        99.4446       0.533806       0.215895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.84        500.000        99.0761       0.888602       0.352991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.50        500.000        99.8283       0.165632       0.605711E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.16        500.000        99.3392       0.619331       0.414256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        500.000        99.5961       0.389083       0.148641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.4657       0.513392       0.209117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.14        500.000        99.4692       0.511492       0.192785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.80        500.000        99.4720       0.509250       0.187412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.45        500.000        99.4750       0.507239       0.177286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.11        500.000        99.4784       0.504562       0.170331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.77        500.000        99.4823       0.501749       0.159828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.43        500.000        99.4859       0.497914       0.161628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        500.000        99.5383       0.444337       0.173419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.75        500.000        99.4413       0.545831       0.129035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.41        500.000        99.4962       0.489505       0.142523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.06        500.000        99.4975       0.490365       0.121709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
