|6.6.6
Archiving\03_Data\eqfracLP/QFM/YM20/YM20_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1535.26        500.000        99.9531       0.381052E-001  0.877498E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.92        500.000        99.4976       0.443802       0.586031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        500.000        99.4996       0.500324       0.119107E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.24        500.000        99.5019       0.496153       0.191780E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.89        500.000        99.5012       0.477478       0.213234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.55        500.000        99.5145       0.464540       0.209619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.21        500.000        99.5146       0.463176       0.222023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        500.000        99.5171       0.461316       0.215560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.53        500.000        99.5227       0.455990       0.213130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.19        500.000        99.5222       0.459609       0.181710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.84        500.000        99.2052       0.765135       0.297014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.50        500.000        99.8525       0.142399       0.508948E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.16        500.000        99.4329       0.532303       0.348350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        500.000        99.6530       0.334483       0.124899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.5412       0.441258       0.175614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.14        500.000        99.5442       0.439562       0.161876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.80        500.000        99.5467       0.437529       0.157297E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.45        500.000        99.5495       0.435673       0.148750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.11        500.000        99.5525       0.433240       0.142842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.77        500.000        99.5558       0.430760       0.133998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.43        500.000        99.5591       0.427318       0.135460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        500.000        99.6043       0.381156       0.145304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.75        500.000        99.5209       0.468294       0.108033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.41        500.000        99.5683       0.419783       0.119296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.06        500.000        99.5694       0.420444       0.101842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        500.000        99.5723       0.417526       0.101258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.38        500.000        99.5722       0.420758       0.701753E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.04        500.000        99.5777       0.413375       0.896374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.70        500.000        99.5605       0.430807       0.872071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.36        500.000        99.6022       0.390297       0.752619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.01        500.000        99.5730       0.406286       0.206911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        500.000        99.6053       0.360978       0.337346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.33        500.000        99.4674       0.532645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        500.000        99.7375       0.262545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.65        500.000        99.5604       0.402898       0.367275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.31        500.000        99.5996       0.353338       0.470852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.97        500.000        99.5997       0.387660       0.126174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        500.000        99.6021       0.397863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.28        500.000        99.6025       0.397519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.94        500.000        99.6065       0.393468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.60        500.000        99.6064       0.393606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.26        500.000        99.6084       0.391595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.92        500.000        99.6102       0.389823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.58        500.000        99.6131       0.386902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.23        500.000        99.5705       0.429544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.6614       0.338616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.55        500.000        99.6202       0.379849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
