|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/K22/K22_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1589.74        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        500.000        99.2401                 NaN  0.759914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        500.000        99.1635                 NaN  0.836510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        500.000        99.1720                 NaN  0.828013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        500.000        99.1731                 NaN  0.825116       0.174470E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        500.000        99.1990                 NaN  0.780086       0.209298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        500.000        99.2007                 NaN  0.772252       0.270461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        500.000        99.2074                 NaN  0.766999       0.255894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        500.000        99.2139                 NaN  0.760752       0.253406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.2232                 NaN  0.752867       0.239806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        500.000        99.2324                 NaN  0.744006       0.235718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        500.000        99.2399                 NaN  0.714728       0.453917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        500.000        99.2384                 NaN  0.761570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        500.000        99.2399                 NaN  0.737961       0.221144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        500.000        99.2786                 NaN  0.700823       0.205878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        500.000        99.2654                 NaN  0.716149       0.184091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        500.000        99.2618                 NaN  0.720906       0.172540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        500.000        99.2901                 NaN  0.691683       0.182084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        500.000        99.2859                 NaN  0.697988       0.161232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        500.000        99.2921                 NaN  0.692219       0.156344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        500.000        99.2992                 NaN  0.685221       0.155802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        500.000        99.3025                 NaN  0.683983       0.135537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        500.000        99.3126                 NaN  0.673176       0.142467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.3122                 NaN  0.676640       0.111888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
