|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.5/K22/K22_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1589.74        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        500.000        99.1341                 NaN  0.865906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        500.000        99.0467                 NaN  0.953312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        500.000        99.0562                 NaN  0.943811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        500.000        99.0572                 NaN  0.940781       0.203024E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        500.000        99.0860                 NaN  0.889592       0.243592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        500.000        99.0876                 NaN  0.880904       0.314874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        500.000        99.0951                 NaN  0.875089       0.298068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        500.000        99.1023                 NaN  0.868143       0.295228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.1126                 NaN  0.859413       0.279510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        500.000        99.1230                 NaN  0.849473       0.274846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        500.000        99.1307                 NaN  0.816322       0.529479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        500.000        99.1299                 NaN  0.870074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        500.000        99.1311                 NaN  0.843136       0.258015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        500.000        99.1749                 NaN  0.801094       0.240429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        500.000        99.1598                 NaN  0.818683       0.215052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        500.000        99.1555                 NaN  0.824374       0.201619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        500.000        99.1875                 NaN  0.791254       0.212872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        500.000        99.1826                 NaN  0.798551       0.188536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        500.000        99.1895                 NaN  0.792180       0.182909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        500.000        99.1973                 NaN  0.784441       0.182356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        500.000        99.2010                 NaN  0.783107       0.158678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        500.000        99.2123                 NaN  0.771024       0.166842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.2118                 NaN  0.775077       0.131096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        500.000        99.2308                 NaN  0.754401       0.148218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000        99.2300                 NaN  0.756979       0.130581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        500.000        99.2340                 NaN  0.752865       0.131200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        98.7506                 NaN   1.23097       0.184620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        500.000        99.7546                 NaN  0.241697       0.368587E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000        99.2546                 NaN  0.735962       0.945088E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000        99.2621                 NaN  0.730553       0.734877E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        500.000        99.2670                 NaN  0.725511       0.747922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        500.000        99.2739                 NaN  0.719220       0.686528E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
