|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        500.000        99.6381       0.361876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000        99.1473       0.852739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000        99.1519       0.827054       0.210360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000        99.1714       0.826291       0.231116E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000        99.1755       0.808710       0.158169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000        99.1826       0.806494       0.109145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000        99.6348       0.354137       0.111047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000        98.4290        1.51830       0.527284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000        99.5005       0.483383       0.161278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000        99.2601       0.716533       0.233696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000        99.2258       0.750933       0.232489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000        99.2313       0.748088       0.205992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000        98.5200        1.41708       0.620259E-001  0.872725E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000        99.9822       0.157966E-001  0.204702E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000        99.2750       0.703908       0.210704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000        98.5678        1.38307       0.491553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000        99.9721       0.272196E-001  0.704034E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000        99.2834       0.700799       0.157844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000        99.2817       0.702851       0.154368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000        99.2884       0.696503       0.151339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000        99.2366       0.749107       0.142745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000        99.3558       0.631717       0.124620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        500.000        99.3068       0.686415       0.679868E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000        99.3135       0.669106       0.173890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000        99.3192       0.669568       0.112646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.3256       0.663567       0.108603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.3329       0.656748       0.103491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000        99.3372       0.654512       0.830611E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        500.000        99.3437       0.648145       0.820037E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        500.000        99.3472       0.645404       0.739101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        500.000        99.3525       0.640890       0.662488E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000        99.3617       0.632301       0.598423E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000        99.3649       0.629496       0.560223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000        99.3681       0.628528       0.340184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        500.000        99.9940                 NaN  0.595274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        500.000        98.7612        1.23772       0.110022E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        500.000        99.3849       0.613266       0.182052E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        500.000        99.3911       0.591286       0.175802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        500.000        99.3992       0.572009       0.287974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000        99.3993       0.600707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        500.000        99.3361       0.652235       0.116673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000        99.4762       0.519987       0.385165E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        500.000        99.4126       0.587379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        500.000        99.4183       0.581729       0.153707E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        500.000        99.3804       0.619646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.4660       0.533978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        500.000        99.4275       0.572501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000        99.4359       0.564148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        500.000        99.4411       0.558905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000        99.4419       0.558148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        500.000        99.4467       0.553307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000        99.4515       0.548543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        500.000        99.4549       0.545112       0.232932E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000        99.4588       0.541193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        500.000        99.4617       0.538245       0.185590E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        500.000        99.4652       0.534791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        500.000        99.4693       0.530682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.4716       0.528404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        500.000        99.4756       0.524353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000        99.4803       0.519699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000        99.4821       0.517915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000        99.4881       0.511862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000        99.4895       0.510531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000        99.4928       0.507169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000        99.4977       0.502298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        500.000        99.4978       0.502210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000        99.5015       0.498507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000        99.5048       0.495179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000        99.5084       0.491598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.5105       0.489467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        500.000        99.5131       0.486872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000        99.5148       0.485166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        500.000        99.4661       0.273155                 NaN            NaN  0.260760                 NaN            NaN            NaN            NaN            NaN
  1484.47        500.000        99.4187       0.273143E-001            NaN            NaN  0.553945                 NaN            NaN            NaN            NaN            NaN
  1482.98        500.000        99.3234                 NaN            NaN            NaN  0.676607                 NaN            NaN            NaN            NaN            NaN
  1481.49        500.000        99.3680                 NaN            NaN            NaN  0.632000                 NaN            NaN            NaN            NaN            NaN
  1480.01        500.000        99.3645                 NaN            NaN            NaN  0.635467                 NaN            NaN            NaN            NaN            NaN
  1478.52        500.000        99.1056                 NaN            NaN            NaN  0.370437       0.523997                 NaN            NaN            NaN            NaN
  1477.03        500.000        98.9537                 NaN            NaN            NaN  0.448889       0.597438                 NaN            NaN            NaN            NaN
  1475.55        500.000        98.9675                 NaN            NaN            NaN  0.442305       0.590218                 NaN            NaN            NaN            NaN
  1474.06        500.000        98.9764                 NaN            NaN            NaN  0.585424       0.438212                 NaN            NaN            NaN            NaN
  1472.58        500.000        98.9898                 NaN            NaN            NaN  0.578925       0.431271                 NaN            NaN            NaN            NaN
  1471.09        500.000        99.0016                 NaN            NaN            NaN  0.425792       0.572620                 NaN            NaN            NaN            NaN
  1469.60        500.000        99.0124                 NaN            NaN            NaN  0.420773       0.566869                 NaN            NaN            NaN            NaN
  1468.12        500.000        99.0228                 NaN            NaN            NaN  0.561549       0.415658                 NaN            NaN            NaN            NaN
  1466.63        500.000        99.0330                 NaN            NaN            NaN  0.556153       0.410825                 NaN            NaN            NaN            NaN
  1465.15        500.000        99.0451                 NaN            NaN            NaN  0.404946       0.549972                 NaN            NaN            NaN            NaN
  1463.66        500.000        99.0544                 NaN            NaN            NaN  0.400854       0.544764                 NaN            NaN            NaN            NaN
  1462.17        500.000        98.5072       0.544149E-002            NaN            NaN  0.864035       0.623305                 NaN            NaN            NaN            NaN
