|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        500.000        99.5871       0.412916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000        99.0276       0.972393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000        99.0322       0.943263       0.244929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000        99.0546       0.942755       0.269215E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000        99.0586       0.922993       0.184304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000        99.0666       0.920718       0.127226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000        99.5827       0.404367       0.129442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000        98.2062        1.73233       0.614319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000        99.4291       0.552085       0.188368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000        99.1537       0.819004       0.272863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000        99.1145       0.858322       0.271493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000        99.1207       0.855212       0.240697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000        98.3057        1.62059       0.723201E-001  0.136908E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000        99.9795       0.180896E-001  0.239582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000        99.1699       0.805467       0.246449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000        98.3592        1.58323       0.576042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000        99.9680       0.311920E-001  0.824768E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000        99.1791       0.802449       0.184829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000        99.1770       0.804948       0.180793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000        99.1843       0.797930       0.177323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000        99.1250       0.858312       0.167296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000        99.2611       0.724236       0.146156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        500.000        99.2051       0.786963       0.797458E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000        99.2123       0.767316       0.204038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000        99.2186       0.768205       0.132249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.2258       0.761408       0.127554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.2341       0.753754       0.121570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000        99.2389       0.751365       0.976139E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        500.000        99.2461       0.744291       0.964118E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        500.000        99.2500       0.741294       0.869501E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        500.000        99.2560       0.736228       0.779393E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000        99.2664       0.726583       0.704297E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000        99.2698       0.723581       0.659619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000        99.2733       0.722690       0.400754E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        500.000        99.9930                 NaN  0.702192E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        500.000        98.5761        1.42256       0.129590E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        500.000        99.2923       0.705564       0.214680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        500.000        99.2985       0.680716       0.207441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        500.000        99.3075       0.658545       0.339866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000        99.3082       0.691848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        500.000        99.2350       0.751237       0.137778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000        99.3963       0.599132       0.455158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        500.000        99.3231       0.676947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        500.000        99.3295       0.670504       0.181779E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        500.000        99.2856       0.714430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.3841       0.615850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        500.000        99.3396       0.660401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000        99.3490       0.650972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        500.000        99.3548       0.645179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000        99.3557       0.644297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        500.000        99.3610       0.638959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000        99.3664       0.633649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        500.000        99.3702       0.629797       0.276571E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000        99.3745       0.625507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        500.000        99.3777       0.622235       0.220471E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        500.000        99.3816       0.618367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        500.000        99.3862       0.613791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.3887       0.611346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        500.000        99.3932       0.606782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000        99.3984       0.601554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000        99.4004       0.599603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000        99.4072       0.592757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000        99.4086       0.591354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000        99.4124       0.587554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000        99.4178       0.582219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        500.000        99.4178       0.582150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000        99.4219       0.578062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000        99.4257       0.574350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000        99.4297       0.570292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4320       0.567989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        500.000        99.4349       0.565084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000        99.4367       0.563307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        500.000        99.3815       0.317226                 NaN            NaN  0.301234                 NaN            NaN            NaN            NaN            NaN
  1484.47        500.000        99.3282       0.317285E-001            NaN            NaN  0.640099                 NaN            NaN            NaN            NaN            NaN
  1482.98        500.000        99.2179                 NaN            NaN            NaN  0.782150                 NaN            NaN            NaN            NaN            NaN
  1481.49        500.000        99.2691                 NaN            NaN            NaN  0.730905                 NaN            NaN            NaN            NaN            NaN
  1480.01        500.000        99.2648                 NaN            NaN            NaN  0.735211                 NaN            NaN            NaN            NaN            NaN
  1478.52        500.000        98.9669                 NaN            NaN            NaN  0.426786       0.606321                 NaN            NaN            NaN            NaN
  1477.03        500.000        98.7920                 NaN            NaN            NaN  0.519564       0.688453                 NaN            NaN            NaN            NaN
  1475.55        500.000        98.8071                 NaN            NaN            NaN  0.512351       0.680533                 NaN            NaN            NaN            NaN
  1474.06        500.000        98.8168                 NaN            NaN            NaN  0.675338       0.507909                 NaN            NaN            NaN            NaN
  1472.58        500.000        98.8316                 NaN            NaN            NaN  0.668198       0.500198                 NaN            NaN            NaN            NaN
  1471.09        500.000        98.8447                 NaN            NaN            NaN  0.494113       0.661210                 NaN            NaN            NaN            NaN
  1469.60        500.000        98.8565                 NaN            NaN            NaN  0.488599       0.654871                 NaN            NaN            NaN            NaN
  1468.12        500.000        98.8680                 NaN            NaN            NaN  0.649063       0.482927                 NaN            NaN            NaN            NaN
  1466.63        500.000        98.8793                 NaN            NaN            NaN  0.643095       0.477612                 NaN            NaN            NaN            NaN
  1465.15        500.000        98.8926                 NaN            NaN            NaN  0.471078       0.636309                 NaN            NaN            NaN            NaN
  1463.66        500.000        98.9028                 NaN            NaN            NaN  0.466619       0.630572                 NaN            NaN            NaN            NaN
