|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1413.46        500.000       0.176991E-001   86.5516        8.32525        5.10544                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.42        500.000       0.656076E-003   99.4030       0.228240       0.368060                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000       0.622480E-003   99.4082       0.364558       0.226642                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000       0.115335E-002   98.8913       0.684060       0.423483                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.32        500.000       0.777254E-004   99.9209       0.303050E-001  0.487160E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        500.000       0.713362E-003   99.8896       0.339746E-001  0.469876E-001            NaN  0.287122E-001            NaN            NaN            NaN            NaN
  1407.24        500.000       0.525105E-003   98.2832       0.696530       0.744372                 NaN  0.275407                 NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN   98.5878       0.594874       0.439862                 NaN  0.377494                 NaN            NaN            NaN            NaN
  1405.17        500.000                 NaN   98.5314       0.618252       0.457063                 NaN  0.393257                 NaN            NaN            NaN            NaN
  1404.13        500.000                 NaN   98.6917       0.407290       0.551565                 NaN  0.349450                 NaN            NaN            NaN            NaN
  1403.10        500.000                 NaN   98.6366       0.574575       0.424876                 NaN  0.363930                 NaN            NaN            NaN            NaN
  1402.06        500.000                 NaN   98.6521       0.419795       0.568407                 NaN  0.359719                 NaN            NaN            NaN            NaN
  1401.03        500.000                 NaN   98.6650       0.415847       0.563210                 NaN  0.355939                 NaN            NaN            NaN            NaN
  1399.99        500.000                 NaN   98.6808       0.556716       0.410711                 NaN  0.351736                 NaN            NaN            NaN            NaN
  1398.95        500.000                 NaN   98.6824       0.544906       0.423272                 NaN  0.349439                 NaN            NaN            NaN            NaN
