|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1413.46        500.000       0.115612E-001   88.3505        7.25420        4.38373                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.42        500.000       0.420428E-003   99.4932       0.192060       0.314343                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000       0.398883E-003   99.4978       0.311203       0.190606                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000       0.739919E-003   99.0591       0.584006       0.356146                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.32        500.000       0.498108E-004   99.9330       0.254388E-001  0.415181E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        500.000       0.457177E-003   99.9014       0.289261E-001  0.394271E-001            NaN  0.298325E-001            NaN            NaN            NaN            NaN
  1407.24        500.000       0.337049E-003   98.4928       0.585162       0.635071                 NaN  0.286617                 NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN   98.7336       0.499061       0.374823                 NaN  0.392525                 NaN            NaN            NaN            NaN
  1405.17        500.000                 NaN   98.6835       0.518319       0.389278                 NaN  0.408856                 NaN            NaN            NaN            NaN
  1404.13        500.000                 NaN   98.8282       0.346622       0.462016                 NaN  0.363184                 NaN            NaN            NaN            NaN
  1403.10        500.000                 NaN   98.7795       0.480964       0.361399                 NaN  0.378180                 NaN            NaN            NaN            NaN
  1402.06        500.000                 NaN   98.7940       0.356864       0.475463                 NaN  0.373721                 NaN            NaN            NaN            NaN
  1401.03        500.000                 NaN   98.8063       0.353268       0.470696                 NaN  0.369712                 NaN            NaN            NaN            NaN
  1399.99        500.000                 NaN   98.8211       0.464960       0.348715                 NaN  0.365262                 NaN            NaN            NaN            NaN
  1398.95        500.000                 NaN   98.8231       0.454857       0.359209                 NaN  0.362798                 NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN   98.8627       0.326227       0.457333                 NaN  0.353790                 NaN            NaN            NaN            NaN
  1396.88        500.000                 NaN   98.7805       0.360891       0.481307                 NaN  0.377336                 NaN            NaN            NaN            NaN
  1395.84        500.000                 NaN   98.9543       0.412583       0.309345                 NaN  0.323751                 NaN            NaN            NaN            NaN
  1394.81        500.000                 NaN   98.8870       0.439636       0.329025                 NaN  0.344312                 NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN   98.8953       0.326538       0.436189                 NaN  0.341954                 NaN            NaN            NaN            NaN
  1392.74        500.000                 NaN   98.7744       0.364207       0.477226                 NaN  0.379877       0.430960E-002            NaN            NaN            NaN
  1391.70        500.000                 NaN   99.9083       0.314752E-001  0.101527E-001            NaN  0.321914E-001  0.179282E-001            NaN            NaN            NaN
  1390.66        500.000                 NaN   98.0929       0.576982       0.694724                 NaN  0.597268       0.381303E-001            NaN            NaN            NaN
  1389.63        500.000                 NaN   97.9418       0.680577       0.479427                 NaN  0.681540       0.216693                 NaN            NaN            NaN
  1388.59        500.000                 NaN   99.9755       0.568528E-002  0.806411E-002            NaN  0.802154E-002  0.271048E-002            NaN            NaN            NaN
  1387.55        500.000                 NaN   98.9718       0.341103       0.234770                 NaN  0.341238       0.111072                 NaN            NaN            NaN
  1386.52        500.000                 NaN   98.9827       0.229278       0.338270                 NaN  0.337917       0.111794                 NaN            NaN            NaN
  1385.48        500.000                 NaN   98.9942       0.335156       0.223943                 NaN  0.334487       0.112173                 NaN            NaN            NaN
  1384.45        500.000                 NaN   99.0048       0.332645       0.219046                 NaN  0.331067       0.112411                 NaN            NaN            NaN
  1383.41        500.000                 NaN   99.0142       0.329788       0.214338                 NaN  0.328403       0.113284                 NaN            NaN            NaN
  1382.37        500.000                 NaN   99.0258       0.327395       0.208768                 NaN  0.324635       0.113362                 NaN            NaN            NaN
  1381.34        500.000                 NaN   99.0361       0.203105       0.324949                 NaN  0.321704       0.114170                 NaN            NaN            NaN
  1380.30        500.000                 NaN   99.0466       0.322266       0.198701                 NaN  0.318263       0.114212                 NaN            NaN            NaN
  1379.26        500.000                 NaN   99.4539       0.110491       0.185568                 NaN  0.182863       0.671784E-001            NaN            NaN            NaN
  1378.23        500.000                 NaN   98.6653       0.273080       0.453299                 NaN  0.445642       0.162697                 NaN            NaN            NaN
  1377.19        500.000                 NaN   99.0753       0.315123       0.184216                 NaN  0.309553       0.115823                 NaN            NaN            NaN
  1376.16        500.000                 NaN   99.0847       0.179847       0.312893                 NaN  0.306556       0.115981                 NaN            NaN            NaN
  1375.12        500.000                 NaN   99.0937       0.310749       0.175257                 NaN  0.303786       0.116463                 NaN            NaN            NaN
  1374.08        500.000                 NaN   99.1032       0.170669       0.308371                 NaN  0.300899       0.116877                 NaN            NaN            NaN
  1373.05        500.000                 NaN   99.1117       0.306557       0.166194                 NaN  0.298340       0.117223                 NaN            NaN            NaN
  1372.01        500.000                 NaN   99.1203       0.162272       0.304272                 NaN  0.295589       0.117572                 NaN            NaN            NaN
  1370.97        500.000                 NaN   99.1294       0.157070       0.302473                 NaN  0.292907       0.118116                 NaN            NaN            NaN
  1369.94        500.000                 NaN   99.1385       0.299337       0.154749                 NaN  0.289780       0.117672                 NaN            NaN            NaN
