|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2/YM20/YM20_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1583.33        500.000        99.5095       0.490503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        500.000        99.2349       0.765134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        500.000        99.2421       0.724273       0.336029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        500.000        99.2502       0.749788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        500.000        99.2568       0.727075       0.161275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        500.000        99.2625       0.737532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        500.000        99.2729       0.701580       0.255244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        500.000        99.2797       0.685550       0.347398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        500.000        99.2679       0.657544       0.745361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        500.000        99.3167       0.683267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        500.000        99.3000       0.670883       0.290777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        500.000        98.7785        1.16819       0.532794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        500.000        99.7593       0.217787       0.228985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        500.000        99.4041       0.581822       0.140854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        500.000        99.3243       0.648334       0.274154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.3297       0.643431       0.268298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        500.000        99.3353       0.638935       0.257489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        500.000        99.3413       0.633152       0.255220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        500.000        99.3469       0.629572       0.235465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        500.000        99.3511       0.625781       0.231361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        500.000        99.3595       0.617690       0.228109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        500.000        99.3636       0.606156       0.302449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        500.000        99.3655       0.623692       0.108108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.3742       0.604690       0.211273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        500.000        99.3820       0.598078       0.199443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000        99.3842       0.597676       0.181608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        500.000        99.3894       0.592794       0.178234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.3939       0.589258       0.168657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        500.000        99.3616       0.621621       0.167841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        500.000        99.4395       0.547282       0.132507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        500.000        99.4029       0.547497       0.496142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000        99.4177       0.582316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        500.000        99.3858       0.614157       0.213682E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        500.000        99.4470       0.552163       0.797279E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        500.000        99.4253       0.567623       0.708868E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        500.000        99.4297       0.559609       0.107065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        500.000        99.3257       0.664732       0.958159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        500.000        99.5452       0.447375       0.745817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        500.000        99.4417       0.549552       0.877183E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000        99.4473       0.545423       0.725301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        500.000        99.4492       0.545989       0.484945E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000        99.4536       0.541309       0.512127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        500.000        99.4577       0.536301       0.600595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        500.000        99.4615       0.535287       0.317608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        500.000        99.4640       0.533580       0.240074E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        500.000        99.4672       0.531084       0.167803E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        500.000        99.4724       0.524336       0.327832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000        99.4746       0.524903       0.539548E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        500.000        99.4786       0.521405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        500.000        99.5904       0.400058       0.949256E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        500.000        99.3774       0.622587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.4886       0.509519       0.188587E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        500.000        99.3406       0.615892       0.435046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000        99.6536       0.334304       0.120757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        500.000        99.4980       0.501967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        500.000        99.4998       0.500213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        500.000        99.4872       0.472973       0.398311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        99.6478       0.352209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        500.000        99.3908       0.609212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        500.000        99.5110       0.488965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        500.000        99.5162       0.483834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        500.000        99.5194       0.480599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        500.000        99.5194       0.480596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.5250       0.474980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        500.000        99.5256       0.474374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        500.000        99.5286       0.471371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        500.000        99.5181       0.420331                 NaN  0.616033E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        500.000        99.4211       0.299654E-001            NaN  0.548886                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        500.000        99.2860       0.179918E-001  0.405138E-002  0.691950                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        500.000        99.5089                 NaN            NaN  0.491095                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        500.000        99.3945                 NaN            NaN  0.605515                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000        99.4000       0.119079                 NaN  0.480933                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.07        500.000        99.3905                 NaN            NaN  0.609497                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.61        500.000        99.3873                 NaN            NaN  0.612746                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.14        500.000        99.3747                 NaN            NaN  0.616535       0.880702E-002            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.0054                 NaN            NaN  0.558843       0.435722                 NaN            NaN            NaN            NaN            NaN
  1472.22        500.000        98.9713                 NaN            NaN  0.407831       0.620875                 NaN            NaN            NaN            NaN            NaN
  1470.76        500.000        98.9813                 NaN            NaN  0.403474       0.615189                 NaN            NaN            NaN            NaN            NaN
  1469.30        500.000        98.9873                 NaN            NaN  0.400149       0.612586                 NaN            NaN            NaN            NaN            NaN
  1467.83        500.000        98.9973                 NaN            NaN  0.607684       0.395010                 NaN            NaN            NaN            NaN            NaN
  1466.37        500.000        99.0218                 NaN            NaN  0.592229       0.385970                 NaN            NaN            NaN            NaN            NaN
  1464.91        500.000        99.0270                 NaN            NaN  0.382345       0.590681                 NaN            NaN            NaN            NaN            NaN
  1463.45        500.000        99.0342                 NaN            NaN  0.587087       0.378745                 NaN            NaN            NaN            NaN            NaN
  1461.99        500.000        99.0454                 NaN            NaN  0.580585       0.374000                 NaN            NaN            NaN            NaN            NaN
  1460.52        500.000        99.0526                 NaN            NaN  0.577239       0.370162                 NaN            NaN            NaN            NaN            NaN
  1459.06        500.000        99.0646                 NaN            NaN  0.364205       0.571222                 NaN            NaN            NaN            NaN            NaN
  1457.60        500.000        99.0732                 NaN            NaN  0.566889       0.359928                 NaN            NaN            NaN            NaN            NaN
  1456.14        500.000        99.0842                 NaN            NaN  0.355465       0.560379                 NaN            NaN            NaN            NaN            NaN
  1454.68        500.000        99.0924                 NaN            NaN  0.555400       0.352222                 NaN            NaN            NaN            NaN            NaN
  1453.21        500.000        99.1012                 NaN            NaN  0.347622       0.551161                 NaN            NaN            NaN            NaN            NaN
  1451.75        500.000        99.1101                 NaN            NaN  0.343739       0.546151                 NaN            NaN            NaN            NaN            NaN
  1450.29        500.000        99.1184                 NaN            NaN  0.339784       0.541863                 NaN            NaN            NaN            NaN            NaN
  1448.83        500.000        99.1279                 NaN            NaN  0.536661       0.335462                 NaN            NaN            NaN            NaN            NaN
  1447.37        500.000        99.1361                 NaN            NaN  0.532228       0.331660                 NaN            NaN            NaN            NaN            NaN
  1445.90        500.000        97.5276                 NaN            NaN  0.782016       0.982989                 NaN  0.707383                 NaN            NaN            NaN
  1444.44        500.000        96.9304                 NaN            NaN   1.22386       0.865744                 NaN  0.979969                 NaN            NaN            NaN
  1442.98        500.000        97.0115                 NaN            NaN  0.843151        1.19030                 NaN  0.955076                 NaN            NaN            NaN
  1441.52        500.000        97.0931                 NaN            NaN  0.820575        1.15670                 NaN  0.929650                 NaN            NaN            NaN
  1440.06        500.000        97.1685                 NaN            NaN  0.799868        1.12523                 NaN  0.906365                 NaN            NaN            NaN
  1438.59        500.000        97.2425                 NaN            NaN  0.780247        1.09409                 NaN  0.883186                 NaN            NaN            NaN
  1437.13        500.000        97.3120                 NaN            NaN  0.760900        1.06557                 NaN  0.861496                 NaN            NaN            NaN
  1435.67        500.000        97.3778                 NaN            NaN  0.742573        1.03855                 NaN  0.841050                 NaN            NaN            NaN
  1434.21        500.000        97.4427                 NaN            NaN   1.01140       0.725343                 NaN  0.820521                 NaN            NaN            NaN
  1432.75        500.000        97.5035                 NaN            NaN  0.986772       0.707841                 NaN  0.801844                 NaN            NaN            NaN
