|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.9993                 NaN  0.664051E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.2498                 NaN  0.365155       0.385015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1575                 NaN  0.291574       0.550876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1625                 NaN  0.290132       0.547329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1681                 NaN  0.543727       0.288131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.1738                 NaN  0.286390       0.539779                 NaN  0.658435E-004            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.1793                 NaN  0.284789       0.535925                 NaN  0.501141E-005            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.1844                 NaN  0.282593       0.533010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1845                 NaN  0.282765       0.532731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.4003                 NaN  0.394013       0.205692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.9995                 NaN  0.653309       0.347160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.2043                 NaN  0.275607       0.520110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.2025                 NaN  0.276549       0.520957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.2212                 NaN  0.270158       0.508656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.2194                 NaN  0.510133       0.270503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.2238                 NaN  0.506991       0.269165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.1560                 NaN  0.561531       0.245727                 NaN  0.340970E-001  0.261507E-002            NaN            NaN            NaN            NaN
