|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.9992                 NaN  0.756893E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.1494                 NaN  0.415920       0.434703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.0458                 NaN  0.332178       0.622014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.0511                 NaN  0.330677       0.618212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.0572                 NaN  0.614304       0.328523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0634                 NaN  0.326618       0.609924                 NaN  0.790861E-004            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.0692                 NaN  0.324965       0.605823                 NaN  0.602592E-005            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.0747                 NaN  0.322590       0.602674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.0745                 NaN  0.322916       0.602540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.3191                 NaN  0.445883       0.235060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.8641                 NaN  0.739174       0.396678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.0961                 NaN  0.315144       0.588784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.0937                 NaN  0.316331       0.589956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1147                 NaN  0.309168       0.576168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1124                 NaN  0.577949       0.309652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.1171                 NaN  0.574600       0.308274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.0362                 NaN  0.636904       0.281683                 NaN  0.412694E-001  0.391946E-002            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.2162                 NaN  0.274000       0.509816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.1256                 NaN  0.306090       0.568288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.1408                 NaN  0.559256       0.299936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.1399                 NaN  0.300218       0.559909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.1432                 NaN  0.558521       0.298313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
