|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1583.33        2500.00        99.7781       0.218270       0.364479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.3327       0.642059       0.252051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00        99.3321       0.599593       0.683463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00        98.8247        1.04484       0.130434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00        99.8487       0.133218       0.180703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.3603       0.572757       0.669161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00        99.3495       0.581100       0.694296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        99.2686       0.709554       0.218517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00        99.4618       0.424797       0.113409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00        99.3720       0.561697       0.662715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00        99.3756       0.559447       0.649961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.3798       0.556923       0.632932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00        99.3500       0.583053       0.669750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00        99.4257       0.515069       0.592243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00        99.3898       0.551253       0.589647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.4048       0.533548       0.616354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00        99.3474       0.587370       0.652608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.4660       0.481144       0.528692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00        99.4121       0.530160       0.577572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00        99.4197       0.522538       0.577274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00        99.3771       0.561455       0.614650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.4732       0.475334       0.514251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00        99.4310       0.515419       0.535733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00        98.9044       0.995214       0.100398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00        99.9725       0.244968E-001  0.295400E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        99.5882       0.373583       0.382444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00        99.3004       0.634251       0.653449E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.4544       0.494923       0.506780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00        99.4486       0.497454       0.539494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        2500.00        99.4692       0.483816       0.469743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        2500.00        99.4642       0.483233       0.525511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.4658       0.491730       0.424965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        2500.00        99.3842       0.569016       0.468185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        2500.00        99.5535       0.408381       0.381204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00        99.4790       0.474523       0.464743E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        2500.00        99.4794       0.477001       0.436305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00        99.4867       0.475797       0.375308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00        99.4877       0.463564       0.487202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        2500.00        99.4916       0.466713       0.417349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00        99.4952       0.463367       0.414325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        2500.00        99.4824       0.475647       0.419162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00        99.5178       0.443292       0.388585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        2500.00        99.3239       0.548450       0.127647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        2500.00        99.1985       0.783742       0.177426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        2500.00        99.5147       0.480129       0.516197E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        2500.00        99.5159       0.446010       0.381262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00        99.5235       0.431095       0.454536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        2500.00        99.5172       0.459833       0.229676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        2500.00        99.5266       0.439352       0.340265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        2500.00        99.5281       0.441373       0.305346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.5302       0.438178       0.316075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        2500.00        99.4971       0.466571       0.363063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        2500.00        99.7953       0.192359       0.123303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        2500.00        99.2171       0.355267       0.912197E-003  0.426748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        99.3946                 NaN            NaN  0.605386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        2500.00        99.2553                 NaN  0.655241E-002  0.738129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        99.6920                 NaN  0.183804E-002  0.306192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        2500.00        99.2430                 NaN            NaN  0.757049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        2500.00        99.3690       0.293407       0.505209E-002  0.332584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        2500.00        99.4408                 NaN            NaN  0.559241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        2500.00        99.3925                 NaN            NaN  0.607485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        2500.00        99.3928                 NaN            NaN  0.607200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.3877                 NaN            NaN  0.612347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        2500.00        99.3866                 NaN            NaN  0.613444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        2500.00        99.3851                 NaN            NaN  0.614925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        2500.00        99.3790                 NaN            NaN  0.621023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        2500.00        99.3148                 NaN            NaN  0.574897       0.110335                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        2500.00        99.0654                 NaN            NaN  0.361425       0.573163                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        2500.00        99.0733                 NaN            NaN  0.358552       0.568153                 NaN            NaN            NaN            NaN            NaN            NaN
