|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1583.33        2500.00        99.8067       0.190175       0.310209E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.4189       0.559619       0.214554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00        99.4194       0.522422       0.581484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00        98.9784       0.910670       0.110959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00        99.8687       0.115936       0.153501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.4446       0.498535       0.568483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00        99.4353       0.505782       0.589576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        99.3642       0.617303       0.185405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00        99.5344       0.369415       0.962044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00        99.4554       0.488355       0.562010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00        99.4587       0.486197       0.550944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.4624       0.483960       0.536338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00        99.4368       0.506446       0.567271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00        99.5027       0.447147       0.501332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00        99.4716       0.478507       0.498693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.4848       0.463029       0.521477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00        99.4354       0.509387       0.551665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00        99.5381       0.417252       0.446844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00        99.4916       0.459606       0.487883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
